time_slice_type,time_slice,chip_family_model,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
PERIOD,HISTORICAL_DISCOVERY,ALL_CHIP,2530,2505,506,35,324,0.40758483033932136,0.5481037924151697,0.04431137724550898,0.350499001996008,0.2506986027944112,-0.0019741796745200535,0.005346581822152406,0.012123885786666113,0.020453257154990547,0.06557247247938253,0.1178317215473575,-0.052893888538435824,-0.08544528174202788,1.379031341989241,0.004231991275852843,-0.0015789625124728523,-0.05823832250057908,1.0982203671576183,0.9657555747524472,11,-0.0023687941794865094,0.9488513578993057,0.003437599709190449,1.0794329720556828,55,-0.005445381662549222,0.8844939477105616,0.0003431086622942805,1.007788374501614,20210520,-0.0018809229325527908,0.9592881027046961,202004,-0.0028149604057141815,0.9397260592595367
PERIOD,HISTORICAL_DISCOVERY,INSTITUTIONAL_ONLY,2530,2509,506,35,320,0.40175368672778,0.5512156237544839,0.04703068951773615,0.3451574332403348,0.24870466321243523,-0.001756372528597722,0.005240299550714143,0.012089601390068939,0.02144627162182885,0.06568076913411183,0.11871582038855626,-0.05312440964208529,-0.08542623908762774,1.3896880122134492,0.003631847007168814,-0.0021755847000236913,-0.05849967026555098,1.0839901303857742,0.9530012392078303,11,-0.002967485447225872,0.9361750061362877,0.002835360295855868,1.0652830950968093,54,-0.005995174502362714,0.8732747738245991,-0.00020993493685580493,0.9952495334543808,20210520,-0.0024686234743328374,0.9467770516908951,202102,-0.0032458688554924146,0.9305181053599271
PERIOD,HISTORICAL_DISCOVERY,MARGIN_SHORT_ONLY,2530,2506,506,35,307,0.4030327214684757,0.5502793296089385,0.04668794892258579,0.3415802075019952,0.24541101356743814,-0.002151559703570537,0.004231810340527102,0.010086413433724746,0.01994297927927304,0.0645356935468808,0.11681263761740865,-0.054130345583931594,-0.08659820060376204,1.3489037509208248,0.002882837481663896,-0.0029206382217440265,-0.058243752767939416,1.0661064944040421,0.9374128248887974,11,-0.003718768617342169,0.9206592637619977,0.0020801088323055546,1.0474897090369901,54,-0.006764443527257782,0.8581664215665528,-0.0009832912401282654,0.9779379666513075,20210311,-0.0032358964998482932,0.9307954206972084,202004,-0.004158865485413732,0.9120132313358298
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,ALL_CHIP,2150,2146,430,24,304,0.3825722273998136,0.5293569431500466,0.08807082945013979,0.3257222739981361,0.21854613233923578,-0.0026502675905238204,0.002219522783135207,0.007561429763791698,0.013462474409545705,0.05476668046011461,0.09685948794207781,-0.046372655634855396,-0.07551062522485129,1.282726605079154,0.003773326840100625,-0.0020355860062692788,-0.05692769661074869,1.0919255123465503,0.9538564977819789,10,-0.002880450346916762,0.9350090296803087,0.0029235628988653114,1.070891735249584,46,-0.005784061388439039,0.871695003899604,3.0025993909756803e-06,1.0000715811388299,20230711,-0.002344789496630606,0.9469711869020142,202402,-0.0029333240729641796,0.933886626506825
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,INSTITUTIONAL_ONLY,2150,2145,430,24,302,0.3850815850815851,0.5305361305361306,0.08438228438228439,0.3305361305361305,0.21724941724941724,-0.0028727628753148766,0.002246087384198871,0.007133744507567797,0.012855283313988625,0.05469669195371004,0.09653954193866655,-0.04692209332119277,-0.07577515462410125,1.274026327198822,0.0038730267807813314,-0.0019363549155678983,-0.05708447879792539,1.0943871441942603,0.9560918747947529,10,-0.002781164980325113,0.9372292573818124,0.00302331462649303,1.073335840555983,46,-0.005686307305906005,0.8738243937012117,0.00010121419261748389,1.002413731195125,20230711,-0.0022503732519725136,0.9490902498600258,202402,-0.002842163337470534,0.9359204983424471
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MARGIN_SHORT_ONLY,2150,2142,430,24,303,0.3772175536881419,0.5368814192343604,0.08590102707749767,0.3211951447245565,0.20915032679738563,-0.0034131512363070496,0.0014224681338972625,0.006656092257257059,0.014311620321598044,0.054158934778825205,0.09651575464199945,-0.047676190494691725,-0.0761523405295974,1.2674036539229885,0.002440004003270576,-0.00336099264889279,-0.05740179297014906,1.0584890168592394,0.9249767137972704,10,-0.004213038247597505,0.9063965930188737,0.0015830244595212485,1.0377693178924903,46,-0.007133134583809334,0.8441952295844676,-0.0013541354887011841,0.9682372779346181,20230711,-0.0036738759928687933,0.9181840326529892,202402,-0.004384374346762527,0.9027479625308975
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,ALL_CHIP,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,INSTITUTIONAL_ONLY,1135,1135,227,12,146,0.38678414096916297,0.5524229074889868,0.06079295154185022,0.32422907488986785,0.2026431718061674,-0.0026648222870570455,0.0010813545589849053,0.0022292357202790512,0.012101478763449075,0.05314875474628782,0.09557271549389011,-0.05131351561877902,-0.08144803290726012,1.173419566838562,0.001658924883201927,-0.004137289368468596,-0.059006584327412,1.0393764724118442,0.908549954278349,5,-0.004939485046014645,0.8912993135520749,0.0008520811392812174,1.0201360193381799,24,-0.007831126016432816,0.8305621469905087,-0.0020564221765102496,0.9522206143360449,20250422,-0.00469124382982314,0.8967622292919365,202512,-0.006750794233403115,0.8547012216114236
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MARGIN_SHORT_ONLY,1135,1134,227,12,151,0.37389770723104054,0.5617283950617284,0.06437389770723104,0.30952380952380953,0.2001763668430335,-0.0026071113993073117,0.0002132802183705705,0.0015648671609407078,0.009921856660769337,0.0515004892180947,0.09159963435348177,-0.05080333737217425,-0.08046176812238841,1.1384243286097298,-0.00017656668312476524,-0.00596208537249979,-0.05881829067746276,0.9958328142340045,0.8690890753296158,5,-0.006769919376688367,0.8520066898895877,-0.0009890977235055465,0.9767590331107203,24,-0.009704456374257658,0.7914266405934801,-0.003940751397395099,0.9089619252595581,20250422,-0.006508195363796534,0.857728087863191,202512,-0.009010626505456894,0.8069294686678301
YEAR,2020,ALL_CHIP,520,511,104,11,105,0.49902152641878667,0.4520547945205479,0.04892367906066536,0.44422700587084146,0.33659491193737767,0.0041382291501452055,0.018376449949041265,0.03771616885171487,0.05735209681159929,0.0809691092675851,0.1467018646319913,-0.04132862137107667,-0.06585720892227878,2.227574885615349,0.022672142625194555,0.01675350664630258,0.06659076566675776,1.6356972454855871,1.4387092570237114,3,0.01580794501721326,1.4115184441316735,0.021721121094502915,1.6054563153803776,14,0.012449549445366227,1.3170736843551225,0.018343169180635163,1.5002275708163542,20200602,0.01572563704405792,1.4077640559964235,202004,0.011687795772880424,1.2872469195096754
