time_slice_type,time_slice,top_k,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
PERIOD,HISTORICAL_DISCOVERY,3,False,1518,1504,506,35,261,0.42154255319148937,0.5405585106382979,0.03789893617021277,0.355718085106383,0.2646276595744681,-0.0009833687012203328,0.006324187881023649,0.015632834185277864,0.026060847346299407,0.06906814876772673,0.1244441489313198,-0.05251317367398155,-0.08495853233512626,1.4647634029321401,0.005658186370963721,-0.00016117078272199367,-0.05797534554107775,1.132208463210739,0.9964783905058178,7,-0.000989786569957089,0.9784736497733888,0.004824795942258884,1.1122108683141407,34,-0.004102709980602153,0.9123816243850102,0.001693754271192887,1.0386813756381945,20210520,-0.00047052858358374546,0.9897393765955961,202004,-0.0016232735944770916,0.9650264337203411
PERIOD,HISTORICAL_DISCOVERY,5,True,2530,2505,506,35,324,0.40758483033932136,0.5481037924151697,0.04431137724550898,0.350499001996008,0.2506986027944112,-0.0019741796745200535,0.005346581822152406,0.012123885786666113,0.020453257154990547,0.06557247247938253,0.1178317215473575,-0.052893888538435824,-0.08544528174202788,1.379031341989241,0.004231991275852843,-0.0015789625124728523,-0.05823832250057908,1.0982203671576183,0.9657555747524472,11,-0.0023687941794865094,0.9488513578993057,0.003437599709190449,1.0794329720556828,55,-0.005445381662549222,0.8844939477105616,0.0003431086622942805,1.007788374501614,20210520,-0.0018809229325527908,0.9592881027046961,202004,-0.0028149604057141815,0.9397260592595367
PERIOD,HISTORICAL_DISCOVERY,10,False,5060,5021,506,35,412,0.3800039832702649,0.5546703843855806,0.06532563234415455,0.3260306711810396,0.23361880103565028,-0.0024519361309631323,0.004187911445943502,0.010319114592839546,0.0191294705397356,0.06201227658039674,0.11134250781123244,-0.05146714183562507,-0.08302539256560994,1.3410657194212625,0.0013875208177507614,-0.004407159288170029,-0.05846699203740052,1.0320664636253325,0.905000974155203,21,-0.0051732429993235005,0.8889539625013334,0.0006170111817111625,1.014199870284513,105,-0.008163540921617828,0.8277097777192137,-0.0023906868814676826,0.9459051512444993,20210520,-0.004689025181511156,0.8991264858287102,202102,-0.00529396749348742,0.886832338254268
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,3,False,1290,1288,430,24,251,0.3998447204968944,0.5194099378881988,0.08074534161490683,0.3408385093167702,0.22826086956521738,-0.0024900014121735413,0.0028348171911672894,0.009053754245871876,0.016883932385775784,0.05651915513729195,0.10131183950686097,-0.04611786371796586,-0.07480183638123566,1.354403105700697,0.0058284346554160395,7.307081275626546e-06,-0.0567338728891481,1.1432681344049838,1.0001672664077157,6,-0.0008341793493336716,0.9809937521440063,0.00498207348198546,1.1218933364877028,29,-0.0038943713182521744,0.912861111288714,0.0019040180070793624,1.0457486825870228,20240117,-0.0003233692286286309,0.9926149957894695,202304,-0.0014558800381005016,0.9670940069180292
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,5,True,2150,2146,430,24,304,0.3825722273998136,0.5293569431500466,0.08807082945013979,0.3257222739981361,0.21854613233923578,-0.0026502675905238204,0.002219522783135207,0.007561429763791698,0.013462474409545705,0.05476668046011461,0.09685948794207781,-0.046372655634855396,-0.07551062522485129,1.282726605079154,0.003773326840100625,-0.0020355860062692788,-0.05692769661074869,1.0919255123465503,0.9538564977819789,10,-0.002880450346916762,0.9350090296803087,0.0029235628988653114,1.070891735249584,46,-0.005784061388439039,0.871695003899604,3.0025993909756803e-06,1.0000715811388299,20230711,-0.002344789496630606,0.9469711869020142,202402,-0.0029333240729641796,0.933886626506825
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,10,False,4300,4284,430,24,388,0.3800186741363212,0.5310457516339869,0.08893557422969188,0.3209617180205416,0.21288515406162464,-0.002956736388141974,0.0018548059797650698,0.007130714364042122,0.015387347533280226,0.0536927832519664,0.09616810262155293,-0.04694820118535723,-0.07420352928094719,1.2960044293505788,0.004064388839614703,-0.0017458987649736734,-0.05692607001302961,1.100597891372723,0.959822739109334,19,-0.0025468629282365198,0.9416505975764892,0.0032587842382255606,1.0803006032452187,93,-0.005548096933113789,0.8750968169172623,0.00024001174503195962,1.0058115813397726,20240806,-0.0020221582090464603,0.9535739800348708,202401,-0.002893726346142963,0.9342751990036525
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,3,False,681,681,227,12,118,0.4067547723935389,0.5447870778267254,0.048458149779735685,0.342143906020558,0.2261380323054332,-0.001707359428690522,0.004569935288026344,0.005987502846959334,0.019732540322919954,0.0568395096541812,0.10392587487868565,-0.050500244184973155,-0.08060354619668711,1.289346186147789,0.004340481717240069,-0.0014709460895298834,-0.05834371257954579,1.1048449124400728,0.9668966082668222,3,-0.002259756673075085,0.9493685929302282,0.0035470817085942992,1.0853027838949232,15,-0.005289928112064365,0.8835732901439938,0.0004992309125778201,1.0117933725097958,20250926,-0.0019994426575496464,0.955201108016067,202512,-0.005121160192640005,0.8883075718391527
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,5,True,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,10,False,2270,2269,227,12,196,0.35566328779197887,0.5605993829881005,0.08373732921992066,0.3014543851917144,0.18995152049360953,-0.0032525798393241365,-0.00014903369857707403,0.0010038619032992449,0.011273278201838419,0.04990906513395888,0.09089180601971128,-0.050603672956801765,-0.07884496294692875,1.152791536992558,-0.000605350037525191,-0.006388285811147298,-0.05882994704059418,0.9855680722634111,0.858604559583331,10,-0.007200366386105321,0.8413327123858846,-0.0014221232910846223,0.9662451054035511,46,-0.010020159127351134,0.7827145468481859,-0.004258361088349495,0.9005361596666837,20251231,-0.006809988566155773,0.8497246652202796,202512,-0.010055377437739911,0.7849812840408456
YEAR,2020,3,False,312,308,104,11,81,0.5357142857142857,0.4318181818181818,0.032467532467532464,0.4642857142857143,0.37012987012987014,0.004266428227976236,0.02120603409992873,0.04659779513264701,0.06333386814578898,0.0870729819714704,0.15842275855628984,-0.038944354149026715,-0.06389410611213579,2.479458093963375,0.027422531045322416,0.021476796935273282,0.07638074695734758,1.7941680504605444,1.581662354086099,2,0.02046839668589593,1.550751870651067,0.026408279609576448,1.759828700980981,9,0.017033024823424208,1.447830529453112,0.022952914868764916,1.6453022690991512,20200701,0.020319787744115587,1.5449664114169805,202004,0.015505015932642934,1.391295490455103
