period,cluster_type,metric,point_estimate,ci_95_low,ci_95_high,ci_crosses_zero,bootstrap_reps,cluster_count
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,success_rate_delta,0.02930320742762682,0.01628552360534017,0.042426123360949766,False,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,downside_first_rate_delta,-0.004004401697797699,-0.01684751574025132,0.008289781060634596,True,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,mfe10_delta,0.008180587978988324,0.004145073793251538,0.012419267133723202,False,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,mae10_delta,-0.0018242778381012265,-0.0040315616700248484,0.00032039981628726507,True,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,gross_mean_delta,0.0031341438353980153,0.0006241147020615141,0.005613742355824762,False,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,net_mean_delta,0.003116301081443518,0.0006923655147960461,0.005543176687061299,False,5000,506
2020_2022_HISTORICAL_DISCOVERY,SIGNAL_DATE,net_pf_delta,0.06728466685846013,0.016650718074789416,0.1180438349897615,False,5000,506
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,success_rate_delta,0.02930320742762682,0.014290745319751908,0.045253174504316936,False,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,downside_first_rate_delta,-0.004004401697797699,-0.019467023782594083,0.011336359874463367,True,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,mfe10_delta,0.008180587978988324,0.002748556271842881,0.013825159810980604,False,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,mae10_delta,-0.0018242778381012265,-0.004835808852158945,0.0012690542437365463,True,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,gross_mean_delta,0.0031341438353980153,0.00014518738074364803,0.006215647081905397,False,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,net_mean_delta,0.003116301081443518,0.00016219899883944945,0.006053733357670464,False,5000,35
2020_2022_HISTORICAL_DISCOVERY,CALENDAR_MONTH,net_pf_delta,0.06728466685846013,0.0068684860092491536,0.13625138547929522,False,5000,35
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,success_rate_delta,0.002795899347623476,-0.01229267910977894,0.017644515633342413,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,downside_first_rate_delta,0.0060577819198508465,-0.008862622441904071,0.021232386537429645,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,mfe10_delta,0.0024478134668357576,-0.0016728329148631281,0.006775634869959037,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,mae10_delta,-0.00020820759685326318,-0.002564341399542141,0.002366093967853798,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,gross_mean_delta,-0.00020702309618802085,-0.002977061642581695,0.002525287488092166,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,net_mean_delta,-0.00020602833980962404,-0.002914869484002675,0.00256748798719734,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SIGNAL_DATE,net_pf_delta,-0.0040916054553248316,-0.06481279491296343,0.058676285229764,True,5000,430
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,success_rate_delta,0.002795899347623476,-0.011954657209873213,0.017622483808725255,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,downside_first_rate_delta,0.0060577819198508465,-0.010811276921371016,0.02196034017410964,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,mfe10_delta,0.0024478134668357576,-0.002671680617925418,0.007667270632299557,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,mae10_delta,-0.00020820759685326318,-0.002564627658767696,0.002312440635327031,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,gross_mean_delta,-0.00020702309618802085,-0.0028620888728209735,0.00257910385492528,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,net_mean_delta,-0.00020602833980962404,-0.0029757853895951885,0.002554836281876663,True,5000,24
2023_2024_RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CALENDAR_MONTH,net_pf_delta,-0.0040916054553248316,-0.07061122251224247,0.05770797047570673,True,5000,24
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,success_rate_delta,0.01432787305932165,-0.006688275679727624,0.036074022041998076,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,downside_first_rate_delta,0.004309637584518966,-0.017260918796239047,0.026431718061673992,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,mfe10_delta,0.0004196573485739097,-0.004589272124687167,0.005322345951669101,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,mae10_delta,-0.003995936975981468,-0.006889803753982937,-0.001275951889599236,False,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,gross_mean_delta,0.0009384524328346418,-0.0031285348802219037,0.0049455408671088665,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,net_mean_delta,0.000932879650858102,-0.0029176432900401665,0.004836278543068359,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,SIGNAL_DATE,net_pf_delta,0.02132235741961075,-0.06364085323888234,0.10197773168570654,True,5000,227
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,success_rate_delta,0.01432787305932165,-0.007500942615599622,0.038712608210191325,True,5000,12
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,downside_first_rate_delta,0.004309637584518966,-0.021917808219178103,0.031283572757751926,True,5000,12
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,mfe10_delta,0.0004196573485739097,-0.0068556367611087585,0.008196838000043227,True,5000,12
2025_STRESS_PREVALENCE_SEEN_NOT_BLIND,CALENDAR_MONTH,mae10_delta,-0.003995936975981468,-0.007806970069298695,-0.0007240962940857031,False,5000,12
