time_slice_type,time_slice,delta_success_rate,delta_downside_first_rate,delta_mae10,delta_mfe10,delta_net_mean,delta_net_pf,ohlcv_auc,chip_auc,delta_auc,ohlcv_mean_daily_ic,chip_mean_daily_ic,delta_daily_ic,mfe_retention_vs_stage_a,mae_improvement_vs_stage_a
PERIOD,HISTORICAL_DISCOVERY,0.02930320742762682,-0.004004401697797699,-0.0018242778381012265,0.008180587978988324,0.003116301081443518,0.06728466685846013,0.5484009036084956,0.555002266746039,0.006601363137543448,0.05242803899918918,0.06738921585996006,0.014961176860770885,1.1987003716471345,-0.006731162487227188
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.002795899347623476,0.0060577819198508465,-0.00020820759685326318,0.0024478134668357576,-0.00020602833980962404,-0.0040916054553248316,0.5232527143405492,0.5232833465714962,3.063223094701417e-05,0.03289001620021673,0.0400860483873667,0.007196032187149967,1.101813720129169,-0.00565964715976873
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01432787305932165,0.004309637584518966,-0.003995936975981468,0.0004196573485739097,0.000932879650858102,0.02132235741961075,0.5327714257317304,0.5386974721953178,0.005926046463587409,0.038921034351925995,0.04288564048273153,0.0039646061308055355,1.1049453747365237,-0.004410761992540008
YEAR,2020,0.06962113957159133,-0.04310961553747916,0.0031235286700219966,0.02090433366959052,0.0115664693176581,0.31418232494036125,0.5235940538427081,0.5364065330740542,0.012812479231346097,0.0463364640917105,0.08106852304025579,0.03473205894854529,1.2956607305217758,-0.006772963076831992
YEAR,2021,0.019629094765086508,0.004979773332435045,-0.0029708764766508133,0.006747600675912679,0.0012079250598658578,0.025969171652940437,0.5417862606277027,0.5432194569349275,0.0014331963072247156,0.03948494769020395,0.05547754919970225,0.0159926015094983,1.1782089906978053,-0.004599234042662048
YEAR,2022,0.01862247640787701,0.006732335888974372,-0.0031383717125726823,0.003153470047347562,0.0007480278017891334,0.019248413882386184,0.5716470573573007,0.5729684126684692,0.001321355311168504,0.06927744078816737,0.07244961717225729,0.0031721763840899114,1.156996256202177,-0.008850569774422654
YEAR,2023,0.008984725965858031,0.0,0.0014925881338429814,0.0032412455011757296,0.0009515686061070594,0.022898172244497972,0.5306262631651624,0.5288141899737638,-0.0018120731913985333,0.03897331053068356,0.044556046292838235,0.005582735762154678,1.1007382068367,-0.0063390333395883375
YEAR,2024,-0.003872216844143239,0.012584704743465625,-0.0020407203250864397,0.0015929346147346979,-0.0014532746135804578,-0.029274785832715366,0.5153830044175127,0.5176846149922798,0.0023016105747670768,0.02639529133532218,0.03531373178297438,0.0089184404476522,1.1028717667438053,-0.004912526347329513
YEAR,2025,0.01432787305932165,0.004309637584518966,-0.003995936975981468,0.0004196573485739097,0.000932879650858102,0.02132235741961075,0.5327714257317304,0.5386974721953178,0.005926046463587409,0.038921034351925995,0.04288564048273153,0.0039646061308055355,1.1049453747365237,-0.004410761992540008
OVERALL,2020_2025,0.016529389409927653,0.001346876264421315,-0.0016435696890800267,0.004515705920912105,0.0014563046142150623,0.03260036148162826,0.5352363789796444,0.5389878353604322,0.0037514563807877765,0.04251070032999571,0.052425216108853534,0.009914515778857824,1.1470649122291847,-0.005868769906841834
