model_scope,regularization_c,feature,coefficient,intercept,training_observations
TRAIN_2020_EVAL_2021,10.0,return_3,-0.024425096952062145,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,return_5,-0.022314587035724802,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,return_10,-0.0016680074207030956,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,return_20,0.012870103601496647,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,return_60,0.02447601613626373,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,close_vs_ma5,-0.02218103189639904,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,close_vs_ma10,-0.002140881809154628,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,close_vs_ma20,0.0031996018821790462,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,close_vs_ma60,0.011467611428763036,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,distance_to_prior20_close_high,-0.00891232850995686,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,distance_to_prior60_close_high,0.015762946778723433,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,drawdown_from_20d_high,0.013618776074012644,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,drawdown_from_60d_high,0.031187573695808955,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,days_since_20d_high,0.004508295872913989,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,days_since_60d_high,-0.019565976874663996,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,ma5_slope,0.00855251274165223,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,ma10_slope,0.0012049686621621678,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,ma20_slope,0.01084882626682698,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,ma60_slope,0.025117090023453654,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,volume_ratio5,-0.07718676626431027,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,volume_ratio20,-0.07867112153760777,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,prior_volume_contraction_5_20,-0.006326588287873666,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,atr5,-0.007811623404630372,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,atr20,7.781836498246945e-05,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,atr60,0.014084635711397992,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,atr5_atr20,-0.013131094508878961,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,range_compression10,0.003890773144478107,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,range_compression20,-0.016294781115501963,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,volatility20,0.0010385629300372677,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,rs5_vs_0050,-0.022314587035724802,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,rs20_vs_0050,0.012870103601496647,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,rs60_vs_0050,0.02447601613626373,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,recent_breakout_flag,-0.01855312864009305,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,recent_retest_flag,0.006935782342346216,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,recent_local_low_distance,-0.010239423306734488,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,recent_local_high_distance,0.013618776074012642,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,bias5,-0.02218103189639904,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,bias10,-0.002140881809154628,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,bias20,0.0031996018821790462,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,frozen_stage_a_upside_score_z,0.07132853001873941,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,frozen_stage_a_rank_percentile,0.005402476924767454,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,foreign_net_volume_ratio_1d,-0.0021544583138478645,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,foreign_net_volume_ratio_3d,-0.005524365990577078,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,foreign_net_volume_ratio_5d,-0.00548753924318009,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,foreign_consecutive_buy_days_5d,0.01456695759263687,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,foreign_sign_persistence_5d,0.0011179726046510715,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,investment_trust_net_volume_ratio_1d,0.008359823629957314,-0.3905074607978852,2795
TRAIN_2020_EVAL_2021,10.0,investment_trust_net_volume_ratio_3d,0.011530171391477573,-0.3905074607978852,2795
