time_slice_type,time_slice,cohort,primary_selection,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf,auc_on_common_stage_a_pool,mean_daily_path_ic,median_daily_path_ic,positive_ic_day_rate,ic_days
PERIOD,HISTORICAL_DISCOVERY,COMMON_STAGE_A_TOP30,False,15180,15100,506,35,669,0.3486754966887417,0.5603311258278145,0.0909933774834437,0.296953642384106,0.20304635761589404,-0.0033982849325561015,0.0016496605038058656,0.006664177270601682,0.01293159129761073,0.05517175601758611,0.09829956203771333,-0.04956853830768937,-0.0787141192548007,1.2488174036415727,-0.0018813881583802663,-0.0076571127800826614,-0.058660649228427134,0.9562622719632063,0.8344502287478266,60,-0.008395459986295192,0.8192081177617246,-0.0026240008106962294,0.9392407131991389,299,-0.011248548288509932,0.7616176319951226,-0.005493718189403743,0.874813267914244,20210520,-0.007867304649392347,0.8301911402965526,202102,-0.008510319766477868,0.8174449410977872,,,,,
PERIOD,HISTORICAL_DISCOVERY,OHLCV_TOP5_COMMON_DATES,False,2530,2514,506,35,336,0.37828162291169454,0.5521081941129674,0.06961018297533811,0.3206046141607001,0.23031026252983294,-0.002166284577680038,0.0039636277296694585,0.00843671791730328,0.01564539078073172,0.060239548240385625,0.10965113356836918,-0.05143892563649123,-0.08362100390392666,1.311286978739802,0.0010978474404548277,-0.00469526359391637,-0.05820759864994168,1.0254636458908992,0.8984709078939871,11,-0.0054973480381758,0.8816469829923879,0.0002911364412721382,1.0067231180619898,53,-0.008473149074599418,0.8206416039056039,-0.002701986815529951,0.9386509053111974,20210520,-0.005008676974509536,0.8919091491564203,202004,-0.005878286443426406,0.8744630971537807,0.5484009036084956,0.05242803899918918,0.05801193511153218,0.5875251509054326,497
PERIOD,HISTORICAL_DISCOVERY,CHIP_TOP5,True,2530,2505,506,35,324,0.40758483033932136,0.5481037924151697,0.04431137724550898,0.350499001996008,0.2506986027944112,-0.0019741796745200535,0.005346581822152406,0.012123885786666113,0.020453257154990547,0.06557247247938253,0.1178317215473575,-0.052893888538435824,-0.08544528174202788,1.379031341989241,0.004231991275852843,-0.0015789625124728523,-0.05823832250057908,1.0982203671576183,0.9657555747524472,11,-0.0023687941794865094,0.9488513578993057,0.003437599709190449,1.0794329720556828,55,-0.005445381662549222,0.8844939477105616,0.0003431086622942805,1.007788374501614,20210520,-0.0018809229325527908,0.9592881027046961,202004,-0.0028149604057141815,0.9397260592595367,0.555002266746039,0.06738921585996006,0.0798368659993011,0.6237424547283702,497
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,COMMON_STAGE_A_TOP30,False,12900,12856,430,24,637,0.35213130056004976,0.5329029247044181,0.11496577473553204,0.29355942750466707,0.1950062227753578,-0.002930611672410188,0.0013385614326388148,0.006252310473389895,0.01262021659599421,0.050072962624191454,0.08790913216321421,-0.04447470616501906,-0.06985097806508256,1.2585239977786173,0.001498762713046071,-0.004296574722025901,-0.056880412268859336,1.037577582625873,0.9001931399540088,53,-0.005048704092059591,0.8832051152074444,0.0007422725423960059,1.0185338325923783,264,-0.007921467755378256,0.8197677378397799,-0.00214730069059405,0.9472675835197377,20230815,-0.0045058160176121706,0.8955390402000943,202302,-0.005460520753654031,0.8752702720655288,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,OHLCV_TOP5_COMMON_DATES,False,2150,2146,430,24,321,0.37977632805219014,0.5232991612301957,0.09692451071761417,0.3191985088536813,0.20503261882572227,-0.002449056402504229,0.0012403894540293072,0.005219426328539951,0.01100938829138174,0.05303204530497189,0.09441167447524206,-0.04667687038573732,-0.07530241762799803,1.253766843737286,0.003980349936288646,-0.0018295576664596547,-0.056610969606172165,1.0984248657495639,0.9579481032373037,10,-0.0026729757428944345,0.9388486519694678,0.0031320612937786934,1.0770877480988634,46,-0.005576235178413582,0.8745790327223375,0.0002118210845522014,1.0051255720218755,20240215,-0.0021187788253629225,0.9514138976690187,202302,-0.003572916199197971,0.9197443277935456,0.5232527143405492,0.03289001620021673,0.03816444098351045,0.5794392523364486,428
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CHIP_TOP5,True,2150,2146,430,24,304,0.3825722273998136,0.5293569431500466,0.08807082945013979,0.3257222739981361,0.21854613233923578,-0.0026502675905238204,0.002219522783135207,0.007561429763791698,0.013462474409545705,0.05476668046011461,0.09685948794207781,-0.046372655634855396,-0.07551062522485129,1.282726605079154,0.003773326840100625,-0.0020355860062692788,-0.05692769661074869,1.0919255123465503,0.9538564977819789,10,-0.002880450346916762,0.9350090296803087,0.0029235628988653114,1.070891735249584,46,-0.005784061388439039,0.871695003899604,3.0025993909756803e-06,1.0000715811388299,20230711,-0.002344789496630606,0.9469711869020142,202402,-0.0029333240729641796,0.933886626506825,0.5232833465714962,0.0400860483873667,0.039749947079094156,0.5771028037383178,428
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,COMMON_STAGE_A_TOP30,False,6810,6801,227,12,373,0.3323040729304514,0.564622849580944,0.10307307748860461,0.27672401117482726,0.18056168210557272,-0.0034486852726110725,-0.0018998475049819595,-0.00133653052805036,0.008453452107275928,0.04646868137048478,0.08503023498071538,-0.04966200779281808,-0.0770464418325964,1.1036231259772626,-0.0031419493982621552,-0.008910236412317021,-0.05866908319172126,0.9249457170185114,0.8027656813276521,27,-0.009660761381310794,0.7870012622644404,-0.0038968080015910605,0.9072833524979893,131,-0.01242572985012604,0.7302457949390707,-0.006677916495023729,0.8435518841722517,20250422,-0.009274859872149124,0.7952679643868618,202512,-0.01239793034151627,0.7340324426576984,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,OHLCV_TOP5_COMMON_DATES,False,1135,1133,227,12,159,0.36893203883495146,0.5542806707855251,0.07678729037952339,0.3124448367166814,0.19240953221535745,-0.00192254346707934,0.003207721686234298,0.005120054853667409,0.013053490744007233,0.053146569770984475,0.09353410750612731,-0.04793463019239848,-0.07746126684915494,1.2074951948342387,-0.0001769493259437129,-0.005962215471129832,-0.059060142270885116,0.995792956946601,0.8681959012424403,5,-0.006768183402384679,0.8510390075585789,-0.000987622380327337,0.9766224951123926,24,-0.009660774728164056,0.7909573798198856,-0.0038970899518377356,0.9093077638206539,20250729,-0.006338409167854531,0.860374239412108,202512,-0.008705048732662566,0.8128630381115803,0.5327714257317304,0.038921034351925995,0.05019580391789373,0.5929203539823009,226
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CHIP_TOP5,True,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413,0.5386974721953178,0.04288564048273153,0.05188035837590356,0.5929203539823009,226
YEAR,2020,COMMON_STAGE_A_TOP30,False,3120,3095,104,11,304,0.410016155088853,0.47366720516962846,0.11631663974151858,0.35379644588045234,0.2481421647819063,0.0005533823399732219,0.010839639581580076,0.024822184577422284,0.03996888439914299,0.06394396146554547,0.11322552360826199,-0.037817604939943905,-0.05908424584544679,1.916340337226924,0.01176820455013566,0.005913750188811607,-0.023886032897289654,1.3242797837874292,1.1511858602028346,15,0.005077426164830916,1.1291760142484346,0.010927052491105394,1.2996420493872372,73,0.001978618585629464,1.0493905760217535,0.007810150043257097,1.2101371560128793,20200325,0.005189530971144431,1.1316488387977155,202004,0.002798798236365942,1.0685791107040388,,,,,
