time_slice_type,time_slice,lag_sessions,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
PERIOD,HISTORICAL_DISCOVERY,1,2530,2505,506,35,324,0.40758483033932136,0.5481037924151697,0.04431137724550898,0.350499001996008,0.2506986027944112,-0.0019741796745200535,0.005346581822152406,0.012123885786666113,0.020453257154990547,0.06557247247938253,0.1178317215473575,-0.052893888538435824,-0.08544528174202788,1.379031341989241,0.004231991275852843,-0.0015789625124728523,-0.05823832250057908,1.0982203671576183,0.9657555747524472,11,-0.0023687941794865094,0.9488513578993057,0.003437599709190449,1.0794329720556828,55,-0.005445381662549222,0.8844939477105616,0.0003431086622942805,1.007788374501614,20210520,-0.0018809229325527908,0.9592881027046961,202004,-0.0028149604057141815,0.9397260592595367
PERIOD,HISTORICAL_DISCOVERY,2,2440,2417,488,35,323,0.4112536201903186,0.5440628878775341,0.04468349193214729,0.350848158874638,0.24906909391808027,-0.0011858649890351478,0.006489178415821862,0.013453192183517313,0.022233348056443118,0.06677028130412481,0.11891031652606242,-0.052104451235566944,-0.08416742712972267,1.4127830751294372,0.004990958144699658,-0.000824380665199208,-0.05799780072640552,1.117272155279013,0.9819051192656838,11,-0.0016441716221814121,0.96407522570045,0.004166451258772717,1.0974532343284749,53,-0.0047029856620347844,0.8990346386159458,0.001089840461704385,1.0250463663400755,20210520,-0.001130668075262994,0.9752335528024741,202004,-0.0019111454710152294,0.958516597046247
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,1,2150,2146,430,24,304,0.3825722273998136,0.5293569431500466,0.08807082945013979,0.3257222739981361,0.21854613233923578,-0.0026502675905238204,0.002219522783135207,0.007561429763791698,0.013462474409545705,0.05476668046011461,0.09685948794207781,-0.046372655634855396,-0.07551062522485129,1.282726605079154,0.003773326840100625,-0.0020355860062692788,-0.05692769661074869,1.0919255123465503,0.9538564977819789,10,-0.002880450346916762,0.9350090296803087,0.0029235628988653114,1.070891735249584,46,-0.005784061388439039,0.871695003899604,3.0025993909756803e-06,1.0000715811388299,20230711,-0.002344789496630606,0.9469711869020142,202402,-0.0029333240729641796,0.933886626506825
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,2,2105,2099,421,24,313,0.38446879466412576,0.5307289185326346,0.08480228680323963,0.3268222963315865,0.2120057170080991,-0.002920973648110491,0.0019655788195025565,0.007195320283793919,0.015991046268409966,0.054231544853459365,0.09825233975607206,-0.046676820271730014,-0.07513067922070109,1.3077525822367404,0.003455326204533084,-0.0023516935107340156,-0.05705218995316177,1.083808920035842,0.9468978562078508,9,-0.0031323028268932366,0.9295746646678709,0.0026701899042590725,1.0644877445266352,45,-0.006117826850537705,0.8648187320918453,-0.0003327904830537229,0.9921012186993855,20230711,-0.0026685918920071414,0.9398857082771772,202304,-0.003507269173919497,0.9216350579286623
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,1,1135,1135,227,12,152,0.3832599118942731,0.5585903083700441,0.05814977973568282,0.31894273127753303,0.2026431718061674,-0.0027206562865894385,-8.193644009621168e-05,0.0009971735280939295,0.011154106831104352,0.051458178539146734,0.09395376485470122,-0.05151812825840323,-0.08145720382513641,1.1534125951142526,0.0007615031068909289,-0.00502933582027173,-0.05898042020855047,1.0179626856936734,0.889518258662051,5,-0.0058354786060116,0.8723740645276603,-4.9311529845317045e-05,0.9988419410975704,24,-0.008739805211541852,0.8120683935862371,-0.002970604797237438,0.9314097056366303,20250422,-0.005580985269956825,0.8779400090333956,202512,-0.008289895800072836,0.8236905964529413
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,2,1130,1130,226,12,146,0.3831858407079646,0.5539823008849557,0.06283185840707965,0.32123893805309733,0.2097345132743363,-0.0027509895916491968,0.0018921127899122674,0.004587735151318695,0.01488720051269294,0.05439355278173859,0.09723868000658946,-0.050651297666793084,-0.07943294469892745,1.2241605844420171,0.0009678048348928822,-0.004824519478990049,-0.05870741490465133,1.0229820611706737,0.8933838010031245,5,-0.00563052199172779,0.876122660595586,0.00015712031353596402,1.0037145619429695,24,-0.008538632144154257,0.8153139390707879,-0.0027679340770151778,0.935667028032912,20250422,-0.0054049581049449855,0.8810853006849815,202512,-0.007898013334674683,0.8303870564633241
YEAR,2020,1,520,511,104,11,105,0.49902152641878667,0.4520547945205479,0.04892367906066536,0.44422700587084146,0.33659491193737767,0.0041382291501452055,0.018376449949041265,0.03771616885171487,0.05735209681159929,0.0809691092675851,0.1467018646319913,-0.04132862137107667,-0.06585720892227878,2.227574885615349,0.022672142625194555,0.01675350664630258,0.06659076566675776,1.6356972454855871,1.4387092570237114,3,0.01580794501721326,1.4115184441316735,0.021721121094502915,1.6054563153803776,14,0.012449549445366227,1.3170736843551225,0.018343169180635163,1.5002275708163542,20200602,0.01572563704405792,1.4077640559964235,202004,0.011687795772880424,1.2872469195096754
YEAR,2020,2,490,483,98,11,100,0.4927536231884058,0.45962732919254656,0.047619047619047616,0.42650103519668736,0.32091097308488614,0.005132336648925308,0.019373878015064683,0.0391308220949941,0.05041950021808197,0.08355387883167664,0.14343864403393397,-0.04054024197506497,-0.06676554231445515,2.1483933038147227,0.02098454895755303,0.01507593893038544,0.03840656943106427,1.5783668719809891,1.388153169120379,3,0.0140561991766091,1.359650589044276,0.01995894524366513,1.5466828673852058,13,0.010742701782426258,1.26914295347156,0.016626145344857336,1.4459088277702719,20200327,0.013868094540395805,1.3533591375894287,202004,0.010402433403640844,1.2531641747738755
YEAR,2021,1,1025,1011,205,12,146,0.4421364985163205,0.5222551928783383,0.03560830860534125,0.3798219584569733,0.2987141444114738,-0.0017494388516724167,0.010408636314314804,0.018821946408054725,0.0323192867954463,0.07788330299723793,0.14013013068487534,-0.05418434344546643,-0.0894623611390552,1.5663585098884776,0.009104252574846204,0.003265267841542698,-0.056977983496706894,1.214666750610079,1.072132999264379,5,0.0023942986404149064,1.0526308426391124,0.00822826320564374,1.193052524612728,24,-0.0008619097772619026,0.9814115583040798,0.004953083466300417,1.114015035920633,20210520,0.0025389458749127086,1.055810440083029,202102,0.0008177256850569088,1.0176575798542484
YEAR,2021,2,995,981,199,12,147,0.43934760448521915,0.528032619775739,0.0326197757390418,0.3781855249745158,0.29255861365953106,-0.0016432090765704122,0.009270750906438172,0.017212211335123666,0.03424024275416534,0.07616699512668298,0.14026869498517866,-0.05506955647349265,-0.08992486177634866,1.559843320460583,0.00831064686606754,0.0024762259750081904,-0.05731541358122657,1.1958510604894816,1.0546534664805396,5,0.0015720763346649016,1.03452088160961,0.00740128938472036,1.1735318889076187,23,-0.0016410720435684062,0.9646286539714966,0.004169431259341883,1.0959542949133285,20210520,0.001736203229236862,1.0381249083171804,202102,-0.00038127309155031963,0.9918154130159382
YEAR,2022,1,985,983,197,12,142,0.32451678535096645,0.624618514750763,0.0508646998982706,0.271617497456765,0.15666327568667346,-0.005382779757229012,-0.006633071997192854,-0.008068785560702962,-0.010932157932525059,0.044907232344770814,0.0798903840557213,-0.05757873249724822,-0.09149638849736584,0.8731534147713527,-0.010364929896879508,-0.01609107708830598,-0.061829104103426576,0.7824304490006256,0.685051704626723,4,-0.016872089619401332,0.6711088448184085,-0.011150466886162367,0.7668937206041304,18,-0.01943752163572114,0.6265187256652722,-0.01373091046060032,0.7170531411074622,20221115,-0.016842849315971308,0.6720141959478921,202211,-0.023784205644582144,0.5644939231333135
YEAR,2022,2,955,953,191,12,147,0.3410283315844701,0.6033578174186779,0.055613850996852045,0.28436516264428124,0.16789087093389296,-0.003917278253739036,-0.0029043499364644777,-0.003430221284446086,-0.0044116416524100435,0.04859121114070707,0.0844929487876626,-0.05491320762005522,-0.08706046698012575,0.9705087936979564,-0.006532146785279429,-0.012280571094066824,-0.06044124439299039,0.8575902855375884,0.7505079766655829,4,-0.013079222951356865,0.73539785764196,-0.0073353936877316745,0.8407496412468494,18,-0.015728137644518785,0.6865024776136925,-0.00999981988831624,0.786107986700718,20221115,-0.012982081034454855,0.7376398600998038,202211,-0.020236493878504697,0.6169999967690921
YEAR,2023,1,1115,1113,223,12,166,0.38185085354896675,0.5013477088948787,0.11680143755615453,0.3252470799640611,0.2183288409703504,-0.001652028268365535,0.0027085778306195837,0.009357411564359177,0.01626206170300645,0.053275095315714185,0.09467297136049473,-0.042951578335222264,-0.0691297202943441,1.369497387771732,0.006353997419229376,0.000529853601232242,-0.05548428790424123,1.1645473005482043,1.0127337517899426,5,-0.0002633817989405376,0.9936986900037813,0.005556139531137022,1.1432390617224986,25,-0.0032821610608967412,0.9228929461672268,0.0025197402460560812,1.0637871548796987,20230711,-5.6046646805749685e-05,0.9986591051576373,202304,-0.0012082208750286026,0.9712566416519747
YEAR,2023,2,1090,1086,218,12,175,0.39134438305709024,0.4972375690607735,0.11141804788213629,0.3324125230202578,0.21823204419889503,-0.0015539673798732085,0.003553196382408114,0.01132144635320108,0.020737426718969353,0.05437560830929973,0.09842486886875859,-0.041489275413632704,-0.06694778146534526,1.470173719194968,0.007069959286795413,0.0012417018329930216,-0.05186506984452763,1.1849283898577023,1.0301477536871033,5,0.0004313128837850789,1.010423796783146,0.006254851082647562,1.1628544081347931,25,-0.0026686744769311684,0.9366978010014535,0.00313672650732849,1.080158371991434,20230711,0.0006444601737263333,1.0155750549967375,202304,-0.0008184609096668688,0.980471470446313
