endpoint_id,source,market,feature_family,route_type,base_url,response_format,supports_historical_date,client_profile,follow_redirects,cookie_session_required,dates_tested,sample_count,success_count,failure_count,status,historical_research_usable,notes
TPEX_LEGACY_INSTITUTIONAL_JSON,TPEX_INSTITUTIONAL,TPEX,INSTITUTIONAL,LEGACY_HISTORICAL,https://www.tpex.org.tw/web/stock/3insti/daily_trade/3itrade_hedge_result.php,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102|20210104|20220103|20240529|20250102,5,5,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TPEX_MARGIN_BALANCE_JSON,TPEX_MARGIN_BALANCE,TPEX,MARGIN_SHORT,HISTORICAL,https://www.tpex.org.tw/www/zh-tw/margin/balance,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102|20210104|20220103|20240529|20250102,5,5,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TPEX_OPENAPI_INSTITUTIONAL_CURRENT,TPEX_OPENAPI_INSTITUTIONAL,TPEX,INSTITUTIONAL,OPENAPI_CURRENT_ONLY,https://www.tpex.org.tw/openapi/v1/tpex_3insti_daily_trading,json,False,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,CURRENT,1,1,0,WORKING_OFFICIAL,False,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TPEX_OPENAPI_MARGIN_CURRENT,TPEX_OPENAPI_MARGIN,TPEX,MARGIN_SHORT,OPENAPI_CURRENT_ONLY,https://www.tpex.org.tw/openapi/v1/tpex_mainboard_margin_balance,json,False,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,CURRENT,1,1,0,WORKING_OFFICIAL,False,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_LEGACY_MI_MARGN_JSON,TWSE_MI_MARGN_RWD,TWSE,MARGIN_SHORT,LEGACY_HISTORICAL,https://www.twse.com.tw/exchangeReport/MI_MARGN,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102,1,1,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_LEGACY_T86_JSON,TWSE_T86_RWD,TWSE,INSTITUTIONAL,LEGACY_HISTORICAL,https://www.twse.com.tw/fund/T86,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102,1,1,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_OPENAPI_MI_MARGN_CURRENT,TWSE_OPENAPI_MI_MARGN,TWSE,MARGIN_SHORT,OPENAPI_CURRENT_ONLY,https://openapi.twse.com.tw/v1/exchangeReport/MI_MARGN,json,False,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,CURRENT,1,1,0,WORKING_OFFICIAL,False,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_RWD_MI_MARGN_CSV,TWSE_MI_MARGN_RWD,TWSE,MARGIN_SHORT,RWD_HISTORICAL_CSV,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN,csv,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102,1,1,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_RWD_MI_MARGN_JSON,TWSE_MI_MARGN_RWD,TWSE,MARGIN_SHORT,RWD_HISTORICAL,https://www.twse.com.tw/rwd/zh/marginTrading/MI_MARGN,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102|20210104|20220103|20240529|20250102,5,5,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_RWD_T86_CSV,TWSE_T86_RWD,TWSE,INSTITUTIONAL,RWD_HISTORICAL_CSV,https://www.twse.com.tw/rwd/zh/fund/T86,csv,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102,1,1,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_RWD_T86_DEFAULT_CURL,TWSE_T86_RWD,TWSE,INSTITUTIONAL,RWD_HISTORICAL,https://www.twse.com.tw/rwd/zh/fund/T86,json,True,CURL_DEFAULT_NO_COOKIE,True,False,20200102,1,1,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_RWD_T86_JSON,TWSE_T86_RWD,TWSE,INSTITUTIONAL,RWD_HISTORICAL,https://www.twse.com.tw/rwd/zh/fund/T86,json,True,DESCRIPTIVE_PUBLIC_CLIENT_NO_COOKIE,True,False,20200102|20210104|20220103|20240529|20250102,5,5,0,WORKING_OFFICIAL,True,No cookie/session used. TLS verification enabled; compression and redirect following enabled.
TWSE_OPENAPI_T86_NOT_DOCUMENTED,TWSE_OPENAPI,TWSE,INSTITUTIONAL,OPENAPI,https://openapi.twse.com.tw/v1/swagger.json,json,False,DOCUMENTATION_AUDIT,True,False,NONE,0,0,0,UNUSABLE,False,Official Swagger has no T86 endpoint; no request was fabricated.
