absolute_rank,feature,final_coefficient,train_2020_coefficient,train_2020_2021_coefficient,walkforward_sign_agreement,all_three_sign_agreement,ic_weighted_benchmark_weight
1,frozen_stage_a_upside_score_z,0.06655332906145668,0.049975865154469036,0.04430529089683909,True,True,0.04344811241545497
2,volume_ratio20,-0.05481472311843887,-0.06292403358325545,-0.058363391581734266,True,True,-0.048724690884072
3,distance_to_prior20_close_high,-0.03310916500495762,-0.0317022517943278,-0.02692870065773163,True,True,-0.012609092600936428
4,volume_ratio5,-0.031533716275203336,-0.022057494763029,-0.021249747218113613,True,True,-0.040289539021693785
5,recent_retest_flag,-0.02470399289839597,-0.019720331719441254,-0.01859146462268166,True,True,-0.035838368696666026
6,drawdown_from_20d_high,-0.024067290562157406,-0.004151282427195048,-0.01493674349620711,True,True,-0.006810298824069939
7,recent_local_high_distance,-0.024067290562157406,-0.004151282427195048,-0.01493674349620711,True,True,-0.006810298824069939
8,range_compression10,0.02267123834968546,0.008180626354790358,0.014690021246793148,True,True,0.061183760903533904
9,prior_volume_contraction_5_20,-0.0203589369927334,-0.05786604375734501,-0.0370887273161427,True,True,-0.01217773050824278
10,close_vs_ma20,-0.017898746583504523,-0.018475801896746382,-0.026432179157606962,True,True,0.0362565538084773
11,bias20,-0.017898746583504523,-0.018475801896746382,-0.026432179157606962,True,True,0.0362565538084773
12,return_20,-0.015441707479179929,-0.010199630092664518,-0.026333022616760085,True,True,0.03450328993967113
13,rs20_vs_0050,-0.015441644867958985,-0.01019875597962882,-0.02633258129267747,True,True,0.03450328993967113
14,close_vs_ma10,-0.015415470235878227,-0.00985544279875641,-0.010325077474811343,True,True,0.010372897467625678
15,bias10,-0.015415470235878227,-0.00985544279875641,-0.010325077474811343,True,True,0.010372897467625678
16,return_3,-0.015374868456851444,-0.020812518018192637,-0.010072963885637873,True,True,-0.007381705042985299
17,close_vs_ma5,-0.014586488726729328,-0.021106451408930194,-0.007315934998319869,True,True,-0.005145769179682757
18,bias5,-0.014586488726729328,-0.021106451408930194,-0.007315934998319869,True,True,-0.005145769179682757
19,ma5_slope,-0.012951238006418005,0.00021427715160021943,-0.014845196546271745,False,False,0.021774399266922956
20,ma20_slope,-0.012814372353560172,-0.006624410469605058,-0.01632774914410463,True,True,0.03413135313981355
21,close_vs_ma60,-0.012348469159039387,-0.027598422556406627,-0.014809709831372777,True,True,0.050240236861864414
22,ma10_slope,-0.011833429298802036,-0.021679511981985044,-0.024238459494509104,True,True,0.03928453490191044
23,atr60,0.011397107345728335,0.012124873715616998,0.01722941979006224,True,True,0.01602065306308823
24,return_5,-0.011169815910280559,-0.009603833756710952,-0.008411752742194934,True,True,0.007014169743535135
25,rs5_vs_0050,-0.011169815910280559,-0.009603833756710952,-0.008411752742194934,True,True,0.007014169743535135
26,days_since_60d_high,-0.009295696848002707,-0.016052707180018826,-0.011205325340059429,True,True,-0.011651038592880657
27,days_since_20d_high,0.008550523927768516,0.0240109652874062,0.01112821830174975,True,True,-0.0034255788941902226
28,return_10,-0.006984499838481657,-0.013804081985268016,-0.016691519888867013,True,True,0.03278408354815445
29,recent_breakout_flag,-0.005986639138248889,-0.008540304010259061,-0.007172832279520402,True,True,8.612061940565438e-05
30,distance_to_prior60_close_high,-0.005494105187040844,-0.011638145773546528,-0.011017941383835139,True,True,0.0009214191633342178
31,volatility20,0.004422361010741958,-0.0032274706557558082,0.0034284862556727192,False,False,0.023366186119527843
32,recent_local_low_distance,-0.0038810451858952853,-0.011407171784633493,-0.016076583738853685,True,True,0.03887258066650822
33,frozen_stage_a_rank_percentile,0.0027581885273222644,0.007211825001431946,0.004902301787977481,True,True,0.04344811241545497
34,range_compression20,0.002125754788598977,-0.0036371460117358965,-0.00965659578042865,True,False,0.056240726307237025
35,rs60_vs_0050,-0.0016767253175444682,-0.004784578102417001,-0.003295205676820175,True,True,0.041720687288193385
36,return_60,-0.0016760254787492991,-0.00478240219401292,-0.0032941446890291264,True,True,0.041726032621443705
37,atr5_atr20,0.0014421551394013124,-0.013767459651706606,-0.013974362095085771,True,False,-0.0015672018593772018
38,atr5,0.0010395278955637678,-0.007952073485121159,-0.0017724846917243325,True,False,0.007421621302752945
39,ma60_slope,-0.0008853898641463927,-0.0015108483776053365,-0.0011930518848734149,True,True,0.050229187363176386
40,atr20,-0.0008742121024770302,-0.001167520673599081,0.00032939816378848815,False,False,0.016960518472205453
41,drawdown_from_60d_high,-6.109258282186725e-07,0.007180615115791183,-0.003408733268908853,False,False,0.006268769532849036
