time_slice_type,time_slice,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
PERIOD,HISTORICAL_DISCOVERY,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,1085,1078,617,36,376,0.3580705009276438,0.5640074211502782,0.07792207792207792,0.2940630797773655,0.20686456400742115,-0.0031907817567033677,-0.003964398460409162,-0.0012979396121939057,0.011093423355380463,0.052504500033119704,0.09891568635594325,-0.05611703399573017,-0.08764787271250324,1.1285577538247842,-0.002280691553967069,-0.008054576067252217,-0.05903422237997974,0.9490186645323143,0.8320684362039472,5,-0.008921237824305359,0.8148619338510071,-0.003152362237694399,0.9298606509405366,22,-0.01177862118661871,0.7594367641847637,-0.0060264070834675,0.8680381863595601,20200519,-0.008225696165356199,0.8286598072493354,202103,-0.010122372680427679,0.7926835543575903
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,769,766,425,24,329,0.370757180156658,0.5261096605744126,0.1031331592689295,0.31070496083550914,0.19973890339425587,-0.004396135543732206,-2.6722631458859003e-05,0.0022268652670516835,0.010056275162388802,0.04918167861568017,0.0893890428369317,-0.047583054866200694,-0.07443077463248368,1.200968863730189,0.0023068067329713444,-0.0034933022993855934,-0.05657224926228088,1.056708040669063,0.9201545371485486,4,-0.004435108678890903,0.899157282361703,0.001359548541280867,1.033247144561391,17,-0.00739201611838294,0.8347923984324341,-0.0016146220816950798,0.9611887734890853,20230331,-0.003725397265480877,0.9149607678756364,202311,-0.005070001375786983,0.8858722073856642
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,381,381,215,12,162,0.37270341207349084,0.5170603674540682,0.11023622047244094,0.32020997375328086,0.2073490813648294,-0.0035921283658094426,0.004831394537474228,0.011053312186749839,0.02014694281105631,0.0549124439128696,0.09532932991736995,-0.045121514938479865,-0.07134303281482055,1.336210785498967,0.003229039956776165,-0.002576582384721539,-0.057221877989729594,1.0814323215703046,0.9397129810017657,2,-0.0034991528781965105,0.9185564064023016,0.0023010699456524814,1.0577254665514138,9,-0.0066127487024951305,0.8489294675961236,-0.0008306946503809048,0.9795457869551975,20251015,-0.0029866010480641167,0.9303027551466341,202508,-0.00455441569144609,0.8957998053980994
YEAR,2020,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,346,343,202,12,153,0.4139941690962099,0.5189504373177842,0.06705539358600583,0.3323615160349854,0.239067055393586,-0.00051241444199639,-0.0005711106230938868,0.006072981570762847,0.02534413056208715,0.056935084677868175,0.11087967408777274,-0.053186600393030824,-0.08314929742520448,1.3335010339385327,0.0067726405362485064,0.0009467786083168032,-0.056626367748796966,1.1625807028765192,1.0212501287079698,2,-8.168021008695947e-05,0.9981774047543486,0.005738155441389187,1.1369441670428684,8,-0.003053070114991779,0.9330731178996035,0.0027494027709251668,1.0644614431436366,20200519,0.00043422015515183656,1.0097175121473627,202004,-0.0013949938664129034,0.9695143874222475
YEAR,2021,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,381,378,212,12,161,0.38095238095238093,0.5529100529100529,0.06613756613756613,0.31216931216931215,0.2275132275132275,-0.0011207284453356482,-0.003479964131600803,0.0035764837751697913,0.01643729008723164,0.06211925809210914,0.11610922976966682,-0.058587105648016995,-0.0941703752892013,1.2329698104429376,0.0010393303834983045,-0.004754141985964028,-0.05892113941394721,1.0231885420960702,0.900962072281841,2,-0.005733816453529259,0.8811855592791712,5.405792099790362e-05,1.0011997070348115,8,-0.008612592481077829,0.8243803048262455,-0.002841501580325148,0.9379448760702719,20211103,-0.005701822131915211,0.8818485361044016,202103,-0.010698434774075767,0.7886040402652049
YEAR,2022,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,358,357,203,12,156,0.2801120448179272,0.6190476190476191,0.10084033613445378,0.23809523809523808,0.15406162464985995,-0.007955936212281774,-0.007737546652254261,-0.013540959237341367,-0.008256644422042898,0.038067331743352945,0.06921594629318412,-0.056317178648843474,-0.08506385408379628,0.8136939836396266,-0.014494308358745373,-0.020197513704358967,-0.06168300763966378,0.6955216932212809,0.6054943702071005,2,-0.021282119114886304,0.5866382375539537,-0.015585230575001614,0.6744391092201323,6,-0.023343621855057152,0.5517065086559937,-0.017658950299850033,0.6352774262011944,20220707,-0.02073083648052545,0.5962115412329674,202211,-0.025049674444578236,0.5312059495703473
YEAR,2023,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,362,361,208,12,181,0.3684210526315789,0.5013850415512465,0.13019390581717452,0.3157894736842105,0.1883656509695291,-0.005589781111046366,-0.0004897758258644701,-0.0011388202497248302,0.007483718701665094,0.04413117618733948,0.08384469800337124,-0.0460011384859246,-0.0692093221270665,1.2114653839468992,0.004366610884132169,-0.0014454211488031368,-0.055476631245708195,1.1140573656486863,0.9650326923775601,2,-0.002432032517176865,0.9414907658671309,0.003374287740216308,1.0876492500125032,8,-0.005192690701905991,0.8771634110938571,0.0005974960800462078,1.015260944308792,20230331,-0.0019329343930039981,0.95336841236468,202311,-0.004764783286642429,0.8881735583815343
YEAR,2024,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,407,405,217,12,196,0.3728395061728395,0.5481481481481482,0.07901234567901234,0.30617283950617286,0.20987654320987653,-0.0033321699886694595,0.00038602354923355104,0.005226896061017909,0.012349344007626478,0.05368348448390485,0.09433103909598192,-0.048993108726150494,-0.07908495822373209,1.1927810447736285,0.0004707837735415715,-0.005318697596571438,-0.05811111519115298,1.0109963208103756,0.8841316027898032,2,-0.0062194866988793404,0.8651769128542854,-0.0004352191322124901,0.9898845800501677,9,-0.009304237299487789,0.8018105000016175,-0.0035379707293940544,0.9191983342029093,20240812,-0.006185611817328001,0.8659112364936092,202401,-0.008229455095760826,0.826611305208534
YEAR,2025,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,381,381,215,12,162,0.37270341207349084,0.5170603674540682,0.11023622047244094,0.32020997375328086,0.2073490813648294,-0.0035921283658094426,0.004831394537474228,0.011053312186749839,0.02014694281105631,0.0549124439128696,0.09532932991736995,-0.045121514938479865,-0.07134303281482055,1.336210785498967,0.003229039956776165,-0.002576582384721539,-0.057221877989729594,1.0814323215703046,0.9397129810017657,2,-0.0034991528781965105,0.9185564064023016,0.0023010699456524814,1.0577254665514138,9,-0.0066127487024951305,0.8489294675961236,-0.0008306946503809048,0.9795457869551975,20251015,-0.0029866010480641167,0.9303027551466341,202508,-0.00455441569144609,0.8957998053980994
OVERALL,2020_2025,CONDITIONAL_TOP5_10D_COOLDOWN_TRADE_PROXY,2235,2225,1257,72,688,0.3649438202247191,0.5429213483146067,0.09213483146067415,0.3042696629213483,0.20449438202247192,-0.0036744734685835944,-0.0011026201156138797,0.002030522173378988,0.012286652747192097,0.051772879993760616,0.09502183883295032,-0.05129621567032255,-0.08030565197977871,1.183252193218943,0.00024210907227472696,-0.005546238404676928,-0.057556403370919496,1.0057008819209825,0.8784212186763528,10,-0.006370272941373538,0.8609852100417336,-0.0005867017133366914,0.9862471706554607,46,-0.009236516379824037,0.8017128038618583,-0.003469653846867543,0.9199899860096796,20200519,-0.005627977616905079,0.8766848654373843,202103,-0.0064975713975916356,0.858738691846105
