time_slice_type,time_slice,ranking_mode,opportunities,raw_candidates_per_month,cooldown_opportunities_per_month,active_dates,active_dates_per_month,median_opportunities_per_day,p90_opportunities_per_day,maximum_opportunities_per_day,unique_stocks_per_month
PERIOD,HISTORICAL_DISCOVERY,RAW_CONDITIONAL_TOP5,3675,102.08333333333333,,735,20.416666666666668,5.0,5.0,5,27.333333333333332
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,RAW_CONDITIONAL_TOP5,2405,100.20833333333333,,481,20.041666666666668,5.0,5.0,5,29.458333333333332
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,RAW_CONDITIONAL_TOP5,1215,101.25,,243,20.25,5.0,5.0,5,29.0
YEAR,2020,RAW_CONDITIONAL_TOP5,1225,102.08333333333333,,245,20.416666666666668,5.0,5.0,5,26.083333333333332
YEAR,2021,RAW_CONDITIONAL_TOP5,1220,101.66666666666667,,244,20.333333333333332,5.0,5.0,5,29.25
YEAR,2022,RAW_CONDITIONAL_TOP5,1230,102.5,,246,20.5,5.0,5.0,5,26.666666666666668
YEAR,2023,RAW_CONDITIONAL_TOP5,1195,99.58333333333333,,239,19.916666666666668,5.0,5.0,5,27.833333333333332
YEAR,2024,RAW_CONDITIONAL_TOP5,1210,100.83333333333333,,242,20.166666666666668,5.0,5.0,5,31.083333333333332
YEAR,2025,RAW_CONDITIONAL_TOP5,1215,101.25,,243,20.25,5.0,5.0,5,29.0
OVERALL,2020_2025,RAW_CONDITIONAL_TOP5,7295,101.31944444444444,,1459,20.26388888888889,5.0,5.0,5,28.319444444444443
PERIOD,HISTORICAL_DISCOVERY,10D_COOLDOWN_TRADE_PROXY,1085,,30.13888888888889,617,17.13888888888889,1.0,3.0,5,25.47222222222222
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,10D_COOLDOWN_TRADE_PROXY,769,,32.041666666666664,425,17.708333333333332,2.0,3.0,4,27.708333333333332
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,10D_COOLDOWN_TRADE_PROXY,381,,31.75,215,17.916666666666668,2.0,3.0,4,27.166666666666668
YEAR,2020,10D_COOLDOWN_TRADE_PROXY,346,,28.833333333333332,202,16.833333333333332,1.0,3.0,5,24.166666666666668
YEAR,2021,10D_COOLDOWN_TRADE_PROXY,381,,31.75,212,17.666666666666668,1.5,3.0,4,27.083333333333332
YEAR,2022,10D_COOLDOWN_TRADE_PROXY,358,,29.833333333333332,203,16.916666666666668,1.0,3.0,5,25.166666666666668
YEAR,2023,10D_COOLDOWN_TRADE_PROXY,362,,30.166666666666668,208,17.333333333333332,1.0,3.0,4,26.333333333333332
YEAR,2024,10D_COOLDOWN_TRADE_PROXY,407,,33.916666666666664,217,18.083333333333332,2.0,3.0,4,29.083333333333332
YEAR,2025,10D_COOLDOWN_TRADE_PROXY,381,,31.75,215,17.916666666666668,2.0,3.0,4,27.166666666666668
OVERALL,2020_2025,10D_COOLDOWN_TRADE_PROXY,2235,,31.041666666666668,1257,17.458333333333332,1.0,3.0,5,26.5
