time_slice_type,time_slice,stage_a_top30_mae10,conditional_top5_mae10,mae_absolute_improvement,mae_improvement_percentage
PERIOD,HISTORICAL_DISCOVERY,-0.0799365142134015,-0.08581392825786299,-0.0058774140444614875,-0.07352602377395295
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,-0.07194347334666928,-0.07684999861413294,-0.004906525267463657,-0.06819972735846248
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,-0.07648767879663858,-0.07596047425845392,0.000527204538184653,0.006892672734733612
YEAR,2020,-0.07401475415700129,-0.08288416678085239,-0.008869412623851103,-0.11983303497890653
YEAR,2021,-0.08612050738125447,-0.08907511139495897,-0.0029546040137044954,-0.034307786885468504
YEAR,2022,-0.07969913359248541,-0.08551016367790376,-0.005811030085418348,-0.07291208603510153
YEAR,2023,-0.06410525028376739,-0.07229978156864023,-0.008194531284872839,-0.1278293314291582
YEAR,2024,-0.07970574463570587,-0.08134371462015345,-0.001637969984447582,-0.020550212433669664
YEAR,2025,-0.07648767879663858,-0.07596047425845392,0.000527204538184653,0.006892672734733612
OVERALL,2020_2025,-0.07672440961088461,-0.08120563602550078,-0.004481226414616166,-0.0584067891475887
