time_slice_type,time_slice,stage_a_top30_mfe10,conditional_top5_mfe10,mfe_retention_ratio,mfe_retention_percent
PERIOD,HISTORICAL_DISCOVERY,0.09873434199949929,0.11263563613211586,1.1407949235402517,114.07949235402516
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.08817086341009393,0.09308419676348553,1.0557251359844244,105.57251359844244
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.08832831210438193,0.09536094064542151,1.0796191886099757,107.96191886099757
YEAR,2020,0.10961998056316072,0.13163405687617866,1.2008217498299398,120.08217498299399
YEAR,2021,0.11466483349801337,0.1278413864327774,1.1149136359666219,111.49136359666218
YEAR,2022,0.07219882959614643,0.07893244974754782,1.0932649488789052,109.32649488789052
YEAR,2023,0.08475932088416942,0.08943535337681914,1.055168357224569,105.51683572245689
YEAR,2024,0.09154934835340288,0.09668773166439033,1.0561269239312554,105.61269239312554
YEAR,2025,0.08832831210438193,0.09536094064542151,1.0796191886099757,107.96191886099757
OVERALL,2020_2025,0.0935125785619174,0.10328855304436232,1.1045418127997826,110.45418127997826
