time_slice_type,time_slice,top5_observations,top5_path_success_rate,top5_downside_first_rate,top5_timeout_rate,top5_mfe10_mean,top5_mae10_mean,top5_net_mean,top5_net_profit_factor,bottom5_observations,bottom5_path_success_rate,bottom5_downside_first_rate,bottom5_timeout_rate,bottom5_mfe10_mean,bottom5_mae10_mean,bottom5_net_mean,bottom5_net_profit_factor,top_minus_bottom_path_success_rate,top_minus_bottom_downside_first_rate,top_minus_bottom_mfe10_mean,top_minus_bottom_mae10_mean,top_minus_bottom_net_mean
PERIOD,HISTORICAL_DISCOVERY,3675,0.38465753424657534,0.5468493150684931,0.0684931506849315,0.11263563613211586,-0.08581392825786299,-0.003594640920018782,0.9219884741071525,3675,0.30546448087431693,0.5762295081967214,0.11830601092896174,0.08082758570289879,-0.07705484651620123,-0.012900514191670608,0.7264036994424103,0.0791930533722584,-0.02938019312822826,0.03180805042921707,-0.008759081741661762,0.009305873271651825
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,2405,0.3748438150770512,0.5322782174094127,0.09287796751353602,0.09308419676348553,-0.07684999861413294,-0.003220477231941799,0.9270977591996001,2405,0.3377926421404682,0.5301003344481605,0.13210702341137123,0.08441762112565337,-0.06671283502695191,-0.005494667839855878,0.8721847462185812,0.037051172936583,0.002177882961252209,0.008666575637832158,-0.01013716358718103,0.0022741906079140795
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,1215,0.37675185490519375,0.5457543281121187,0.07749381698268755,0.09536094064542151,-0.07596047425845392,-0.004724899916906961,0.8945171780160452,1215,0.313838550247117,0.556836902800659,0.12932454695222406,0.08153961123266748,-0.07598204319542592,-0.010116509685255537,0.7738538475140596,0.06291330465807676,-0.011082574688540348,0.013821329412754033,2.1568936971999575e-05,0.005391609768348576
YEAR,2020,1225,0.4337448559670782,0.49547325102880657,0.07078189300411522,0.13163405687617866,-0.08288416678085239,0.005379915881732075,1.125779156456773,1225,0.3314238952536825,0.5171849427168577,0.1513911620294599,0.08610240056251049,-0.06535961638820376,-0.005157510826227764,0.8780147739244646,0.10232096071339569,-0.021711691688051094,0.045531656313668165,-0.017524550392648636,0.010537426707959839
YEAR,2021,1220,0.4079601990049751,0.5364842454394693,0.05555555555555555,0.1278413864327774,-0.08907511139495897,-0.0006342194203274931,0.9861733574563649,1220,0.33910891089108913,0.5924092409240924,0.06848184818481848,0.10062431155224445,-0.08505303115677638,-0.010733937699561902,0.781488990256084,0.06885128811388597,-0.05592499548462315,0.027217074880532946,-0.004022080238182582,0.010099718279234409
YEAR,2022,1230,0.3132628152969894,0.6078112286411717,0.07892595606183889,0.07893244974754782,-0.08551016367790376,-0.01537198416066564,0.6897766239268808,1230,0.2463295269168026,0.6190864600326265,0.13458401305057097,0.05599931858393267,-0.08080506791264153,-0.022760090717777376,0.5453314206354695,0.0669332883801868,-0.01127523139145481,0.022933131163615145,-0.004705095765262235,0.007388106557111735
YEAR,2023,1195,0.36462699077954736,0.512154233025985,0.12321877619446772,0.08943535337681914,-0.07229978156864023,-0.002230875620441897,0.9470630935578899,1195,0.31932773109243695,0.4966386554621849,0.18403361344537816,0.07761874764634764,-0.05803687805566934,-0.0049322298255827365,0.8773939672565019,0.045299259687110405,0.015515577563800065,0.011816605730471497,-0.014262903512970888,0.0027013542051408396
YEAR,2024,1210,0.3849337748344371,0.5521523178807947,0.06291390728476821,0.09668773166439033,-0.08134371462015345,-0.004197790743961156,0.909105602440944,1210,0.3560732113144759,0.5632279534109818,0.08069883527454243,0.09114861899618067,-0.07530217678720667,-0.006051490832355912,0.8676472385494994,0.02886056351996119,-0.011075635530187089,0.005539112668209667,-0.006041537832946781,0.0018537000883947557
YEAR,2025,1215,0.37675185490519375,0.5457543281121187,0.07749381698268755,0.09536094064542151,-0.07596047425845392,-0.004724899916906961,0.8945171780160452,1215,0.313838550247117,0.556836902800659,0.12932454695222406,0.08153961123266748,-0.07598204319542592,-0.010116509685255537,0.7738538475140596,0.06291330465807676,-0.011082574688540348,0.013821329412754033,2.1568936971999575e-05,0.005391609768348576
OVERALL,2020_2025,7295,0.38009361233480177,0.5418502202643172,0.07805616740088106,0.10328855304436232,-0.08120563602550078,-0.0036597066067137894,0.9190951269791622,7295,0.3175061932287366,0.5578034682080925,0.12469033856317094,0.08212840647421288,-0.07347096615373143,-0.009997325925178902,0.7796851665657554,0.06258741910606519,-0.015953247943775284,0.021160146570149446,-0.007734669871769351,0.006337619318465113
