time_slice_type,time_slice,model,spread,cluster_unit,bootstrap_reps,seed,cluster_count,point_estimate,ci95_low,ci95_high,iid_trade_bootstrap
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,2210250420,735,0.0033332335827246143,0.0020127734478572108,0.004679259235778627,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,701605821,36,0.0033332335827246143,-1.809160454868866e-05,0.006598477622131473,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,1592645336,735,0.003788030640509307,0.0005518961421519357,0.007182742030511801,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,2105745495,36,0.003788030640509307,-0.0027162490527111276,0.010397603505012131,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1060162128,735,0.005743306415683403,0.003501260579768543,0.007987941137056103,False
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,274716637,36,0.005743306415683403,0.0015030053613965322,0.009778526146518612,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,3148338302,481,-0.0005990055513012055,-0.002139635148197453,0.000939720785267581,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,3857227884,24,-0.0005990055513012055,-0.004671737900341817,0.0034756829487081952,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,3215643313,481,-0.00021030635785327303,-0.004039031028212215,0.003575718859104186,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,1360072319,24,-0.00021030635785327303,-0.006650159470661895,0.006524893423673442,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1279716684,481,0.0020392990126598303,-0.0003704899730290896,0.0045922635988751,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,2184799069,24,0.0020392990126598303,-0.0031942367786323375,0.006919375820533107,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,2495112056,243,0.0012853388709229822,-0.0011915667954714001,0.003962131987233651,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,766312513,12,0.0012853388709229822,-0.004062140399420776,0.006033047837158035,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,123086769,243,0.0022117220598307165,-0.003375992169968026,0.007622990667205759,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,3863428946,12,0.0022117220598307165,-0.008492134048438299,0.013810438162592063,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2683571759,243,0.003860414410530316,0.0001975511627156168,0.0075399427075419434,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,4101631308,12,0.003860414410530316,-0.003609558514884025,0.011961240410532698,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,1752456113,245,0.0006992454677731965,-0.0016186744717376284,0.0029570227048095216,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,1892649005,12,0.0006992454677731965,-0.0033577560705405924,0.004779799952214288,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,987175417,245,-0.0020645825949699853,-0.00838365836942924,0.004419782341538288,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,3075601188,12,-0.0020645825949699853,-0.012447328078762353,0.007666733780197561,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,3299805745,245,0.001955183077477705,-0.0021588506743687582,0.006122784779665654,False
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1579918025,12,0.001955183077477705,-0.00410638218613376,0.007851798683798475,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,3915694259,244,0.0021574578065052907,-0.00031829448785733916,0.004620716718466055,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,1839227554,12,0.0021574578065052907,-0.004594445600613636,0.008764804920908571,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,840000273,244,0.0038680570142622405,-0.0021784554909776376,0.010007926016076113,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,1497412132,12,0.0038680570142622405,-0.00761562544217729,0.014948643533454504,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2018455127,244,0.0065596869300415155,0.002410694493814523,0.010656588480956092,False
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1738398713,12,0.0065596869300415155,-0.0008454757009202557,0.013037580958918911,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,3411986786,246,0.0071227310524832,0.0048232615461125785,0.009426564478079756,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,2713386757,12,0.0071227310524832,0.001312349484297818,0.012382888008088457,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,166727785,246,0.009537477012447155,0.0044982092456391535,0.014540052013352947,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,3884092764,12,0.009537477012447155,-0.0015973218920704148,0.021562372331586838,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2250640309,246,0.008706287604126558,0.0052396613867847115,0.01215741440910546,False
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,3249006354,12,0.008706287604126558,0.001373525346310796,0.016877004504209314,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,3395041025,239,-0.000599195922380651,-0.002780635272726565,0.0015430200899520469,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,1080810597,12,-0.000599195922380651,-0.006250625042871337,0.004527448016928196,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,3957596214,239,-0.004289995345204172,-0.009467534940214444,0.0008262289390962617,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,4064254215,12,-0.004289995345204172,-0.012339878285841068,0.00353920454616877,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,3185841438,239,0.0020428643692469613,-0.0015167901637938345,0.00571729983611084,False
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,614484568,12,0.0020428643692469613,-0.005156477441968925,0.008571659118785456,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,438494231,242,-0.0005988175401938187,-0.0027954692101675492,0.001676758039137763,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,4126147398,12,-0.0005988175401938187,-0.006637993575741932,0.005572822672577782,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,3594083218,242,0.0038188079726296405,-0.0018364357238263571,0.009129964309204212,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,3804568354,12,0.0038188079726296405,-0.006367740882708646,0.01413747956099593,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1103732928,242,0.002035777854708077,-0.0014350111619573537,0.005522318980976032,False
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1054130319,12,0.002035777854708077,-0.005472065482831249,0.009270099610350031,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,1760779726,243,0.0012853388709229822,-0.0012658389757010766,0.003763912503988609,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,614408859,12,0.0012853388709229822,-0.004231533503067482,0.00633621606200083,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,1517241316,243,0.0022117220598307165,-0.003150927921483794,0.007609506909966113,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,2994190479,12,0.0022117220598307165,-0.008359649931398627,0.013589465019362102,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,3121559858,243,0.003860414410530316,0.00032641152104038074,0.007575649709529597,False
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,299203270,12,0.003860414410530316,-0.003883134436557194,0.012083125529840796,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,signal_date,5000,3207519987,1459,0.0016957795467861523,0.0007069927867382937,0.0026859054605658313,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,calendar_month,5000,949811304,72,0.0016957795467861523,-0.0006201950651461147,0.004017039522573743,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,signal_date,5000,170443307,1459,0.002207329419592721,-9.450748742504605e-05,0.004614299290653021,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,calendar_month,5000,4087112014,72,0.002207329419592721,-0.002208451270536647,0.006746748918882309,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2665676759,1459,0.004208576931031902,0.0026633392995912323,0.005715870675836693,False
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1773068240,72,0.004208576931031902,0.0011484228715155304,0.007274995500019751,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,3090978379,735,0.005148862696912743,0.0037809127762720857,0.006509972021686931,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,1928984888,36,0.005148862696912743,0.001760639157335896,0.008429652806878716,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,3000061052,735,0.016761075758457613,0.014185155894172097,0.019431687089154107,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,3857392284,36,0.016761075758457613,0.011730652069780256,0.021570147160365136,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,1418968444,735,0.011560111271397883,0.009814133971416665,0.0132575950850532,False
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,3297527751,36,0.011560111271397883,0.007430550849231325,0.01575850949568437,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,1301516682,481,0.009106207046870311,0.007209593974403522,0.011042930719363875,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,301278257,24,0.009106207046870311,0.004251789356008892,0.014439468858378894,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,384230563,481,0.015890162776698875,0.012570781968262605,0.01920342881138284,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,calendar_month,5000,532868296,24,0.015890162776698875,0.009474939422757025,0.022926746253402026,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,signal_date,5000,2668873868,481,0.01047419711759759,0.008492066926117639,0.012493102204283974,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,top_decile_minus_bottom_decile_net_spread,calendar_month,5000,1046086158,24,0.01047419711759759,0.0058595338870769285,0.015801690015069238,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,signal_date,5000,298514971,243,-9.23539185999743e-05,-0.002669265914807598,0.002398703357934103,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top10_minus_universe_net_spread,calendar_month,5000,981051436,12,-9.23539185999743e-05,-0.006104681955139549,0.0055997101508298746,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,top10_minus_bottom10_net_spread,signal_date,5000,402179126,243,0.001741954118600388,-0.002864810732506361,0.00621838974266532,False
