time_slice_type,time_slice,model,ranking_mode,calendar_dates,opportunities,candidates_per_day,opportunities_per_month,unique_stocks_per_month,active_dates_per_month,median_opportunities_per_day,p90_opportunities_per_day,maximum_opportunities_day,maximum_opportunity_date,active_dates
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,735,7350,10.0,204.16666666666666,66.97222222222223,20.416666666666668,10.0,10.0,10,20200102,735
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,481,4810,10.0,200.41666666666666,64.91666666666667,20.041666666666668,10.0,10.0,10,20230103,481
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,243,2430,10.0,202.5,60.833333333333336,20.25,10.0,10.0,10,20250102,243
YEAR,2020,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,245,2450,10.0,204.16666666666666,64.66666666666667,20.416666666666668,10.0,10.0,10,20200102,245
YEAR,2021,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,244,2440,10.0,203.33333333333334,70.33333333333333,20.333333333333332,10.0,10.0,10,20210104,244
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,246,2460,10.0,205.0,65.91666666666667,20.5,10.0,10.0,10,20220103,246
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,239,2390,10.0,199.16666666666666,64.66666666666667,19.916666666666668,10.0,10.0,10,20230103,239
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,242,2420,10.0,201.66666666666666,65.16666666666667,20.166666666666668,10.0,10.0,10,20240102,242
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,243,2430,10.0,202.5,60.833333333333336,20.25,10.0,10.0,10,20250102,243
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING_TOP10,1459,14590,10.0,202.63888888888889,65.26388888888889,20.26388888888889,10.0,10.0,10,20200102,1459
PERIOD,HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,735,2475,3.36734693877551,68.75,61.69444444444444,20.11111111111111,3.0,5.0,10,20200102,724
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,481,1597,3.32016632016632,66.54166666666667,59.708333333333336,19.833333333333332,3.0,5.0,9,20240806,476
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,243,751,3.090534979423868,62.583333333333336,56.166666666666664,19.666666666666668,3.0,5.0,8,20250408,236
YEAR,2020,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,245,814,3.3224489795918366,67.83333333333333,60.166666666666664,20.166666666666668,3.0,5.0,10,20200102,242
YEAR,2021,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,244,861,3.528688524590164,71.75,64.66666666666667,20.166666666666668,3.0,5.0,10,20211005,242
YEAR,2022,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,246,800,3.252032520325203,66.66666666666667,60.25,20.0,3.0,5.0,9,20220124,240
YEAR,2023,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,239,787,3.292887029288703,65.58333333333333,59.166666666666664,19.75,3.0,5.0,7,20231206,237
YEAR,2024,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,242,810,3.347107438016529,67.5,60.25,19.916666666666668,3.0,5.0,9,20240806,239
YEAR,2025,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,243,751,3.090534979423868,62.583333333333336,56.166666666666664,19.666666666666668,3.0,5.0,8,20250408,236
OVERALL,2020_2025,LINEAR_RIDGE_NET_RETURN,10D_COOLDOWN_TRADE_PROXY,1459,4823,3.3056888279643593,66.98611111111111,60.111111111111114,19.944444444444443,3.0,5.0,10,20200102,1436
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,735,7350,10.0,204.16666666666666,36.861111111111114,20.416666666666668,10.0,10.0,10,20200102,735
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,481,4810,10.0,200.41666666666666,36.291666666666664,20.041666666666668,10.0,10.0,10,20230103,481
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,243,2430,10.0,202.5,36.0,20.25,10.0,10.0,10,20250102,243
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,245,2450,10.0,204.16666666666666,31.916666666666668,20.416666666666668,10.0,10.0,10,20200102,245
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,244,2440,10.0,203.33333333333334,38.666666666666664,20.333333333333332,10.0,10.0,10,20210104,244
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,246,2460,10.0,205.0,40.0,20.5,10.0,10.0,10,20220103,246
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,239,2390,10.0,199.16666666666666,34.25,19.916666666666668,10.0,10.0,10,20230103,239
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,242,2420,10.0,201.66666666666666,38.333333333333336,20.166666666666668,10.0,10.0,10,20240102,242
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,243,2430,10.0,202.5,36.0,20.25,10.0,10.0,10,20250102,243
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING_TOP10,1459,14590,10.0,202.63888888888889,36.52777777777778,20.26388888888889,10.0,10.0,10,20200102,1459
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,735,1590,2.163265306122449,44.166666666666664,34.27777777777778,18.694444444444443,2.0,4.0,10,20200102,673
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,481,1022,2.1247401247401245,42.583333333333336,33.5,18.625,2.0,4.0,6,20231011,447
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,243,528,2.1728395061728394,44.0,33.666666666666664,18.416666666666668,2.0,4.0,8,20250411,221
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,245,491,2.0040816326530613,40.916666666666664,29.666666666666668,18.416666666666668,2.0,4.0,10,20200102,221
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,244,536,2.19672131147541,44.666666666666664,35.833333333333336,18.5,2.0,4.0,6,20210817,222
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,246,563,2.2886178861788617,46.916666666666664,37.333333333333336,19.166666666666668,2.0,4.0,6,20220729,230
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,239,485,2.0292887029288704,40.416666666666664,31.666666666666668,18.166666666666668,2.0,3.200000000000017,6,20231011,218
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,242,537,2.21900826446281,44.75,35.333333333333336,19.083333333333332,2.0,4.0,6,20240624,229
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,243,528,2.1728395061728394,44.0,33.666666666666664,18.416666666666668,2.0,4.0,8,20250411,221
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,10D_COOLDOWN_TRADE_PROXY,1459,3140,2.1521590130226183,43.611111111111114,33.916666666666664,18.625,2.0,4.0,10,20200102,1341
