model,fit_period,feature,coefficient_or_weight,direction,intercept,regularization_alpha,training_observations,comparison_to_final_sign_agreement,comparison_to_final_cosine_similarity
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,return_3,0.0009243869254363705,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,return_5,-0.0011008489280677992,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,return_10,-0.003622159357028536,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,return_20,-0.0032912142990747244,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,return_60,0.0008741745288989568,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,close_vs_ma5,-0.0006039045084028746,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,close_vs_ma10,3.612683804370498e-05,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,close_vs_ma20,-0.0020012970219489288,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,close_vs_ma60,-0.005098805409493275,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,distance_to_prior20_close_high,0.0001543610342966251,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,distance_to_prior60_close_high,-0.005941648761029817,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,drawdown_from_20d_high,-0.0015810823378304356,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,drawdown_from_60d_high,0.013700454766275943,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,days_since_20d_high,0.0017344963921723632,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,days_since_60d_high,-0.00018866071188167432,NEGATIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,ma5_slope,0.00251147752979986,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
LINEAR_RIDGE_NET_RETURN,TRAIN_2020_EVALUATE_2021,ma10_slope,0.005816786374319309,POSITIVE,-0.003657039375500211,100.0,91088,0.7435897435897436,0.8539462485082487
