time_slice,model,conviction_quintile,boundaries_fit_period,lower,upper,signal_dates,top10_net_mean_across_dates,top10_universe_spread_mean,mean_daily_ic,positive_spread_day_rate
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.24825862402146104,147,-0.0031608218699823104,0.0006197082028263,0.051134780121213155,0.4897959183673469
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.24825862402146104,0.2804872493927871,147,-0.005674828739322835,0.0055497512882172,0.10093721278678947,0.6598639455782312
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.2804872493927871,0.3039232877780506,147,-0.006172587976759468,0.006451817887863165,0.12474374902929034,0.5986394557823129
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.3039232877780506,0.31980138702222,147,-0.0033414199473243713,-0.0006558462429066413,0.10424249498789628,0.4557823129251701
HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.31980138702222,,147,3.5032434354227484e-05,0.004700736777623047,0.13527326702225845,0.5850340136054422
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.24825862402146104,23,0.006814743939282951,-0.0068524192877637185,-0.05314909452367907,0.34782608695652173
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.24825862402146104,0.2804872493927871,115,-0.007080004505786494,-0.0019984299888649608,0.07896658700386455,0.46956521739130436
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.2804872493927871,0.3039232877780506,145,-0.006807756671239944,0.0004564507566410213,0.11460002500155221,0.5172413793103449
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.3039232877780506,0.31980138702222,89,-0.005305341199538007,0.00018007533845422832,0.11966256284207132,0.5056179775280899
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.31980138702222,,109,-0.006557837692439375,0.00015680144336496874,0.13229022503694093,0.45871559633027525
STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.24825862402146104,46,0.004577401228926072,0.0007921605739026127,0.06364863727018494,0.5434782608695652
STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.24825862402146104,0.2804872493927871,73,-0.009705082030634122,0.001250142921105565,0.051790282782499364,0.5205479452054794
STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.2804872493927871,0.3039232877780506,77,-0.007967503103239015,-0.00553044720350931,0.07551721437872642,0.4025974025974026
STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.3039232877780506,0.31980138702222,36,-0.003582666776070383,0.010764575647188917,0.16142348171060292,0.75
STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.31980138702222,,11,-0.005976270218027161,0.02026883976049766,0.25882120083463644,1.0
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.006489733077379269,147,-0.003956035529909393,0.004936773126145276,0.10539612204985481,0.6190476190476191
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.006489733077379269,0.007002049805552771,147,-0.006238801524151037,0.005681660236601799,0.10734112148605084,0.6190476190476191
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007002049805552771,0.007346585695945068,147,-0.00036864136390187224,0.006097391151440936,0.11093467970513687,0.6462585034013606
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007346585695945068,0.007712368509179596,147,0.0013387458484317991,0.005311358977270748,0.10436922880654108,0.5850340136054422
HISTORICAL_DISCOVERY,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007712368509179596,,147,-1.1747958563610544e-05,0.003717129993104955,0.1149317679241733,0.5374149659863946
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.006489733077379269,39,0.010656144957694246,0.0053769834613433,0.06957762875776832,0.6666666666666666
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.006489733077379269,0.007002049805552771,119,0.0059139021580985164,0.007860944369192996,0.06821242585587002,0.6218487394957983
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007002049805552771,0.007346585695945068,113,0.0035642825978229415,0.01068178655317664,0.10980388060186744,0.6991150442477876
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007346585695945068,0.007712368509179596,94,-0.006127751265590947,0.0054669699705395345,0.11451523407583226,0.5638297872340425
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007712368509179596,,116,0.007677087369325449,0.013051670662746453,0.11887240576865278,0.7241379310344828
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,1,HISTORICAL_DISCOVERY_2020_2022_ONLY,,0.006489733077379269,28,-0.009862273126127738,-0.0008242551646671269,0.054475602325863307,0.42857142857142855
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,2,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.006489733077379269,0.007002049805552771,58,-0.009959968729736278,0.004385945201989718,0.0824497464228064,0.6206896551724138
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,3,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007002049805552771,0.007346585695945068,40,0.0036716399386931,0.0035264545873173467,0.07260403696479222,0.65
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,4,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007346585695945068,0.007712368509179596,38,-0.00943097661584954,-0.0017880178024506413,0.08239612134351808,0.5789473684210527
STRESS_PREVALENCE_SEEN_NOT_BLIND,LINEAR_RIDGE_NET_RETURN,5,HISTORICAL_DISCOVERY_2020_2022_ONLY,0.007712368509179596,,79,-0.007285686672597055,-0.004137483371190981,0.05631886089036922,0.4936708860759494
