time_slice_type,time_slice,model,spread,daily_observations,mean_daily_spread,median_daily_spread,positive_day_rate,remove_best_signal_date_mean_spread,remove_best_calendar_month_mean_spread
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,735,0.0033332335827246143,0.002727250330174444,0.5578231292517006,0.003253101639980969,0.002731025554462349
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,735,0.003788030640509307,0.0035027369193267443,0.5197278911564626,0.003599240396953485,0.002359314868454994
PERIOD,HISTORICAL_DISCOVERY,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,735,0.005743306415683403,0.0045947624858684605,0.5714285714285714,0.005599930052212868,0.004835039866629313
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,481,-0.0005990055513012055,-0.0007641604992157033,0.48232848232848236,-0.0007048552127937243,-0.0012612499558491577
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,481,-0.00021030635785327303,0.0009148892836035455,0.5093555093555093,-0.00047299552549812525,-0.001846693217552773
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,481,0.0020392990126598303,0.0007665268194964169,0.5176715176715176,0.0018492810522284118,0.0009464036550535011
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,243,0.0012853388709229822,0.0021423881874355873,0.5432098765432098,0.0008617997643810633,0.0003004176502557405
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,243,0.0022117220598307165,-0.0030504267432011224,0.4897119341563786,0.0016747843984144524,-0.0006476985083623186
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,243,0.003860414410530316,0.006673200463006788,0.5720164609053497,0.0035125769491569803,0.0024352746488801244
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,245,0.0006992454677731965,0.0007021597528056051,0.5224489795918368,0.0004473977870814454,-0.0002160119233881305
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,245,-0.0020645825949699853,-0.005831609296544207,0.46530612244897956,-0.0026564869064677394,-0.004558734814234395
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,245,0.001955183077477705,-0.001377350523878433,0.4816326530612245,0.0015100912070129752,-9.07667362405604e-05
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,244,0.0021574578065052907,-0.000827220663673584,0.48770491803278687,0.0019431975727256952,0.00013025130770213993
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,244,0.0038680570142622405,0.004237509476436264,0.5245901639344263,0.0033875746838185282,0.0012636256345427512
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,244,0.0065596869300415155,0.005665974109308296,0.5901639344262295,0.006129967299288372,0.005250225969421207
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,246,0.0071227310524832,0.008069681503485337,0.6626016260162602,0.006940572219702885,0.006126524228075758
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,246,0.009537477012447155,0.009151128887197553,0.5691056910569106,0.009168977110535768,0.005554501453107457
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,246,0.008706287604126558,0.007519235162166224,0.6422764227642277,0.008435481643770197,0.006106249821404164
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,239,-0.000599195922380651,-0.0014280773917720833,0.48535564853556484,-0.0008126750311516115,-0.0018959095581827443
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,239,-0.004289995345204172,-0.004596586590809831,0.4560669456066946,-0.004698810162507484,-0.006537115466534477
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,239,0.0020428643692469613,0.0017643880161993149,0.5188284518828452,0.0017993049394715282,0.0003746933360907417
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,242,-0.0005988175401938187,-0.000514616203333051,0.4793388429752066,-0.0007645789579220309,-0.0019772269422698506
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,242,0.0038188079726296405,0.006149324979414736,0.5619834710743802,0.0033123279471564196,0.0007837086225764358
YEAR,2024,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,242,0.002035777854708077,0.0005499277915136398,0.5165289256198347,0.0016573042357660337,-0.00023936155169870365
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,243,0.0012853388709229822,0.0021423881874355873,0.5432098765432098,0.0008617997643810633,0.0003004176502557405
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,243,0.0022117220598307165,-0.0030504267432011224,0.4897119341563786,0.0016747843984144524,-0.0006476985083623186
YEAR,2025,IC_WEIGHTED_LINEAR_RANK,top_decile_minus_bottom_decile_net_spread,243,0.003860414410530316,0.006673200463006788,0.5720164609053497,0.0035125769491569803,0.0024352746488801244
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_universe_net_spread,1459,0.0016957795467861523,0.0013331057014078652,0.5305003427004797,0.0016257616982900745,0.0013738005190402952
OVERALL,2020_2025,IC_WEIGHTED_LINEAR_RANK,top10_minus_bottom10_net_spread,1459,0.002207329419592721,0.002342692838840031,0.5113091158327622,0.00211120271178004,0.0014742398076686505
