time_slice_type,time_slice,model,ranking_mode,top_k,observations,evaluable_observations,unique_dates,unique_stocks,winner_rate,same_day_universe_winner_rate,winner_rate_lift,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,entry_gap_mean,signal_close_to_exit_proxy_mean,gap_payoff_erosion,top1_positive_removed_count,top1_removed_gross_mean,top1_removed_net_mean,top1_removed_gross_pf,top1_removed_net_pf,top5_positive_removed_count,top5_removed_gross_mean,top5_removed_net_mean,top5_removed_gross_pf,top5_removed_net_pf,net_tail_dependent,mean_daily_ic,median_daily_ic,ic_positive_day_rate,mean_monthly_ic,median_monthly_ic,top10_minus_universe_net_spread,top10_minus_bottom10_net_spread,top_decile_minus_bottom_decile_net_spread,conviction_score_spread_vs_top10_net_spearman,score_vs_entry_gap_spearman,top10_entry_gap_vs_net_spearman
YEAR,2020,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2450,2429,245,276,0.13709345409633594,0.22402529854783007,0.6119552344534253,0.005750639205673756,-7.089338624282805e-05,-0.003749693610396984,1.312219676852487,0.9966642135923425,2.9263707346891426e-06,0.002196347552417928,0.003519758996092134,0.004644274141686882,0.02108214628787709,-0.01731867534610269,0.03656925647852937,-0.031319395487864804,1.1676233180394144,0.0007089108600281952,0.006518668719737348,0.000768029514063592,12,0.004944288776293929,-0.0008725652373526185,1.2671142841349183,0.9591455323199078,57,0.0026331097965221722,-0.003170414013749014,1.139604779746544,0.8543214324035228,False,0.0960694372397522,0.10606333484885659,0.746938775510204,0.09788691935303673,0.1036575277666537,0.0026491315257590226,0.012897155466598177,0.01052928988931575,0.11823107491697202,-0.11343686128975798,0.008092805741912967
YEAR,2021,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2440,2432,244,351,0.1377467105263158,0.22823851953392735,0.6035208728465308,0.008525569453412615,0.0026887404795527385,-0.00028546619788493517,1.5210699966843473,1.1416186413802782,-8.967336941234127e-07,0.0027109768548061164,0.005065062435870832,0.011897111215237594,0.021157233134131915,-0.015844314136249656,0.03823882772574348,-0.02543600147999452,1.5033348600729726,0.0014520199522731101,0.009961903443364131,0.0014363339899515163,13,0.007759429744205022,0.001927086457698006,1.471709663597549,1.1009589988496935,61,0.005438114836427294,-0.00038101202806977997,1.3240328406691437,0.9804350740981433,False,0.10441476344037308,0.1328006002419031,0.7418032786885246,0.10260522850564441,0.12755590424878463,0.006054701003694583,0.01997766671604939,0.012357669206999744,-0.13314498841430927,-0.12735116480225378,-0.018543716429558682
YEAR,2022,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2460,2447,246,321,0.08868001634654679,0.16079299393706092,0.5515166685761118,-0.0022376878318617526,-0.008012258489682941,-0.009512836429498994,0.8928085946716068,0.666058849964058,-0.0006317619529661668,-3.1926530588672186e-05,0.0004344890821361131,-0.0013879535272819854,0.017699405408272254,-0.01805670620091202,0.02959651825586724,-0.030976825448376204,0.9554406504691939,0.0004891516036982889,-0.001788182436905942,0.0004495053949558107,11,-0.0029162096296257815,-0.00868680755458613,0.8609335018346956,0.6395720169978718,51,-0.004829773500453812,-0.010589423211327484,0.7734625157870623,0.5678444087330121,False,0.12521465379129249,0.14941550767029932,0.7682926829268293,0.1294393302950062,0.16460699307559723,0.006739958591538323,0.0174188492456656,0.011795668597915235,0.2663234070166034,-0.08714356165652427,-0.062896180612052
YEAR,2023,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2390,2374,239,273,0.08930075821398484,0.18439071989771025,0.48430180360228514,0.009741576327091554,0.003897837681464399,0.0031415120379014233,1.7743715543155598,1.2597266740688557,0.000260193893359832,0.002586199833263399,0.0056641940252587135,0.00988663830020862,0.017675080806174123,-0.011096945026686122,0.03177775447059224,-0.019252609570342433,1.6505686854806472,0.0008991191154350549,0.01064761158419544,0.0009060352571038863,13,0.008873453570324043,0.003034764245173564,1.701500697692754,1.2011097080741953,64,0.006408439529066894,0.000583946420184897,1.4956826404086743,1.0378614349854294,False,0.10048784650792071,0.10215710862061464,0.7949790794979079,0.09657014331958874,0.09628163297896108,0.005424214049463308,0.010573241212414037,0.009163722126600318,-0.17026212158503573,-0.12107174268750777,-0.026731788511146
YEAR,2024,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2420,2417,242,344,0.14894497310715762,0.19536350121729637,0.7623991798830994,0.009722770560885084,0.003878573779624367,0.0008759486168540965,1.587379617565989,1.202628049291741,0.00045711995770793295,0.0027829235648482663,0.006346785603552556,0.01202285798032287,0.02137287329551729,-0.01471488376726219,0.03897923417352485,-0.02499920615029806,1.5592188783586676,0.0010139009719941751,0.01076927775589378,0.001046507195008697,13,0.008887098584996108,0.0030477587068101102,1.5340066257112581,1.1583674412526046,62,0.006413708822217102,0.0005886107314554756,1.3775307538532657,1.0299619409110419,False,0.09824661348475794,0.09675893786245712,0.7851239669421488,0.09881513760689298,0.08304700694085401,0.012742555502987148,0.021141172090186792,0.01176842655085523,0.002615111253360967,-0.12123304169333718,-0.009349446824092748
YEAR,2025,LINEAR_RIDGE_NET_RETURN,RAW_RANKING,10,2430,2420,243,300,0.08636363636363636,0.20333962689023227,0.42472604914465384,-0.0009782132394347337,-0.006760429502602667,-0.008105417503571943,0.9506786025233381,0.7049968572871305,-0.0006755975752447604,-0.0009710511083921618,-0.0019375352830702693,-0.0012725048955396462,0.016401119688538142,-0.019118157952313242,0.028363564406729914,-0.032016449942758415,0.8859059782530723,0.001171188546459979,0.00022938242601158452,0.0012075956654463182,11,-0.0016253421534396374,-0.007403778020740241,0.9184229361402705,0.6783917524454157,51,-0.0037063013426457906,-0.009472875201463808,0.8170669148727813,0.5953459747786554,False,0.06910208336473865,0.07262032956330715,0.7078189300411523,0.07164239003640699,0.06093197054932642,-9.23539185999743e-05,0.001741954118600388,0.004268843296453664,-0.01619607233119404,-0.08378644736098852,-0.009931052765527306
YEAR,2020,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING,10,2450,2443,245,98,0.05075726565697913,0.22402529854783007,0.2265693472388892,0.0037269486231536614,-0.0020833711267940064,-0.0033765523138949366,1.3019367208882242,0.8633123185739753,0.00012056024389956779,0.0005617399136956271,0.0011726907439666117,0.003001336270940896,0.013771333134243426,-0.012630416183734703,0.02359151599103711,-0.021795144564835958,1.082420716268127,0.00011264405802241394,0.003893849223633819,0.00016690060048015756,11,0.0031336151744819378,-0.002673311310886719,1.252725051361068,0.825396729058224,54,0.0013416285367635053,-0.0044550467999723824,1.1062887986208054,0.7141700790468316,False,0.07084078748826139,0.07887789320269997,0.7020408163265306,0.07077067621289097,0.07064804978501109,0.0006992454677731965,-0.0020645825949699853,0.001955183077477705,-0.02058768329402934,-0.17180560333576253,-0.026495787095014798
YEAR,2021,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING,10,2440,2430,244,132,0.034156378600823045,0.22823851953392735,0.14965212125705954,0.004574330046881736,-0.0012398007249127924,-0.00035605507385268566,1.4016355254785342,0.9111828996148496,6.310301616489948e-05,0.0009608634112054593,0.0021756250774233776,0.00444270065591455,0.012082348503601488,-0.009978234716160245,0.021905498269227622,-0.017369025260250196,1.2611817842973232,0.00048687300194457636,0.005052869536833389,0.0004785394899516531,13,0.003837632930071613,-0.001972233402603213,1.3351493892882478,0.85946859397241,61,0.001980826071935778,-0.0038182956658163658,1.1695546693285346,0.7333306843924591,False,0.11014647484993093,0.12987910200920733,0.7213114754098361,0.10887185840040497,0.12729863016568438,0.0021574578065052907,0.0038680570142622405,0.0065596869300415155,0.07434006996848527,-0.1538725345663678,-0.03224373121765722
YEAR,2022,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING,10,2460,2451,246,138,0.030599755201958383,0.16079299393706092,0.19030527669592384,-0.0018865778627566783,-0.007663295384637435,-0.005796954598966023,0.8804681102017398,0.592062241991066,-0.0005931286706733406,-0.0016220825844424486,-0.0024015798959282865,-0.00257997291239377,0.011801656218597755,-0.01502702015597723,0.020222796969467844,-0.02422453529566298,0.8348063945353956,4.737378323682722e-05,-0.0018117899052629578,7.478795749372058e-05,11,-0.0024455055004778494,-0.008219005207678926,0.8457503416678674,0.5644438909196874,53,-0.004089082779210187,-0.009853091848599047,0.7465216790648989,0.48683534324585254,False,0.1287357653750716,0.14240633696257954,0.7682926829268293,0.13295134668195682,0.14944389068322694,0.0071227310524832,0.009537477012447155,0.008706287604126558,0.01736759481120385,-0.09428816740000268,0.004091989005740599
YEAR,2023,IC_WEIGHTED_LINEAR_RANK,RAW_RANKING,10,2390,2390,239,114,0.011297071129707114,0.18439071989771025,0.061267026540023826,0.0035447534562117705,-0.002263908721144871,-0.0015690413197293664,1.4015440933985013,0.8038658427825032,9.229578259485217e-05,0.001069288691292561,0.0016890343584433384,0.0032247557245021355,0.010245183496056041,-0.008147219011705875,0.017769689348020548,-0.013872609410523783,1.2809190269957744,0.0007029014687266846,0.004258408618736483,0.0007136551625247125,12,0.003035741271770205,-0.0027700095912802985,1.3421573799439601,0.761224620866917,57,0.001708412110678727,-0.004089580761890013,1.1889107562370353,0.6541482734033532,False,0.10291327589062241,0.09709656106970337,0.7447698744769874,0.09715240822896132,0.09276645564529944,-0.000599195922380651,-0.004289995345204172,0.0020428643692469613,-0.2147304947083436,-0.13428922015819963,-0.02894270616104739
