slice,bi_count,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf
HISTORICAL_DISCOVERY,6,8411,8365,721,658,0.228332337118948,0.43347280334728033,0.33819485953377165,0.442916915720263,0.45439330543933054,0.030215300355017693,0.05615042495604688,-0.03707868025692351,-0.05748842477370128,-0.003429396039960777,-0.009196274865293496,0.8976761852490297,0.7495749605901518
HISTORICAL_DISCOVERY,8,9035,8989,715,693,0.22839025475581265,0.4375347647124263,0.33407498053176105,0.43386361108020916,0.44854822560907776,0.03130001648235585,0.0572495727652114,-0.0355401126046891,-0.055809616237733596,-0.003767368059979816,-0.009532010889625925,0.8872680128488761,0.7400602609979123
HISTORICAL_DISCOVERY,10,8332,8307,700,644,0.24942819309016492,0.4314433610208258,0.3191284458890093,0.4405922715781871,0.4497411821355483,0.03309441784316396,0.059870922447616354,-0.03443116349197675,-0.05564720364321161,-0.001003984562396194,-0.006784703687156907,0.9696546210623249,0.8130169471483004
HISTORICAL_DISCOVERY,12,8286,8278,721,654,0.23375211403720705,0.43561246677941534,0.33063541918337763,0.43766610292341146,0.43887412418458566,0.02956435551877264,0.054256898796206106,-0.035421318154708406,-0.05650157359532282,-0.0022408823784755404,-0.00801457923577088,0.9317216417428983,0.7778053321837172
HISTORICAL_DISCOVERY,14,11653,11593,731,716,0.21633744500991978,0.4394893470197533,0.3441732079703269,0.4332787026654015,0.4346588458552575,0.027767572757683604,0.05055566372742906,-0.03552080243528827,-0.05640037446512726,-0.0046755854829631,-0.010435064335750314,0.8597167375712558,0.7150956640210332
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,6,7334,7312,481,643,0.22675054704595185,0.4049507658643326,0.3682986870897155,0.44433807439824946,0.45213347921225383,0.029678669580301468,0.0544805785804471,-0.03220974389453887,-0.050705275076295984,-0.0005672384841071265,-0.006350717591617454,0.9816455335511048,0.813612115095235
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,8,9576,9548,480,734,0.2220360284876414,0.40354000837871806,0.37442396313364057,0.44868035190615835,0.4655425219941349,0.029011933719142808,0.05350480895341799,-0.031635180383327445,-0.048982812167248445,-0.0003911455523456257,-0.006175519802468235,0.9872490110417489,0.8174295853150303
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,10,7753,7750,481,663,0.21187096774193548,0.4027096774193548,0.3854193548387097,0.44025806451612903,0.4579354838709677,0.028927212180352744,0.05346602141553878,-0.031047960508060465,-0.04844725551454739,-0.0013533455719834109,-0.0071321984985687455,0.9551891162409367,0.7864330132394315
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,12,7692,7690,481,650,0.22925877763329,0.3782834850455137,0.3924577373211964,0.44031209362808843,0.45812743823146945,0.028853767732739843,0.05297930218091109,-0.03055962754402213,-0.04767651480063271,0.0013096282234536926,-0.004484573440520864,1.0451369880980446,0.8605670490149891
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,14,11526,11502,479,723,0.200660754651365,0.3908885411232829,0.4084507042253521,0.42427403929751345,0.431490175621631,0.025407382417011702,0.04754130332565683,-0.03053674084733461,-0.047797510414479515,-0.0026385122895599138,-0.008409753373038092,0.9127427435831005,0.7493471715639223
