slice_type,slice,row_type,cohort,observations,evaluable_observations,signal_dates,unique_stocks,success_rate,downside_first_rate,timeout_rate,day5_positive_rate,day10_positive_rate,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,gross_mean,net_mean,gross_pf,net_pf,delta_success_rate,delta_downside_first_rate,delta_mae10_mean,delta_mfe10_mean,delta_net_mean,delta_net_pf
PERIOD,HISTORICAL_DISCOVERY,COHORT,CZSC_ONLY_ALL,45717,45532,733,1062,0.2301238689273478,0.43582535359746993,0.3340507774751823,0.4372968461741193,0.4445444961785118,0.030213154937560587,0.05527745069277093,-0.03559393925146138,-0.05636462711177766,-0.0031548351919148585,-0.008923153088428023,0.9051007090142767,0.7554586506110541,,,,,,
PERIOD,HISTORICAL_DISCOVERY,COHORT,STAGE_A_TOP30,22050,21937,735,710,0.35123307653735697,0.5565482973970917,0.09221862606555135,0.4575374937320509,0.4610931303277568,0.05466720961806812,0.09873434199949929,-0.05113639650156463,-0.0799365142134015,-0.001318744346892492,-0.007097842528103798,0.9692693346937196,0.8461190412360942,,,,,,
PERIOD,HISTORICAL_DISCOVERY,COHORT,STAGE_A_AND_CZSC,5065,5030,721,505,0.34095427435387676,0.5707753479125248,0.08827037773359842,0.44254473161033797,0.4479125248508946,0.05378891396340543,0.09391319135908321,-0.050643912234345806,-0.07711938972953544,-0.003968990579976358,-0.009732640160030429,0.9096486058345947,0.7940323225972756,,,,,,
PERIOD,HISTORICAL_DISCOVERY,COHORT,STAGE_A_WITHOUT_CZSC,16985,16907,735,682,0.3542911220204649,0.5523156089193825,0.0933932690601526,0.46199798899863964,0.46501449103921455,0.05492851127672746,0.10016868207883288,-0.05128291545017235,-0.08077463665699568,-0.0005302698361920814,-0.006313964129299104,0.9875555308669339,0.8621105339865033,,,,,,
PERIOD,HISTORICAL_DISCOVERY,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.12110920761000918,-0.12072294379962173,0.023571887101623848,-0.04345689130672836,-0.0018253105603242255,-0.09066039062504005
PERIOD,HISTORICAL_DISCOVERY,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.010278802183480207,0.01422705051543316,0.0028171244838660625,-0.0048211506404160775,-0.002634797631926631,-0.05208671863881853
PERIOD,HISTORICAL_DISCOVERY,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.013336847666588159,0.01845973899314235,0.0036552469274602345,-0.006255490719749665,-0.0034186760307313253,-0.06807821138922765
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,COHORT,CZSC_ONLY_ALL,43881,43802,481,1144,0.21667960367106526,0.39587233459659377,0.387448061732341,0.4385872791196749,0.4517145335829414,0.028133954064757587,0.05200261351218667,-0.031149928602208124,-0.04863500424119254,-0.0008823309672758784,-0.006663855566459772,0.970806444801974,0.8006433635352169,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,COHORT,STAGE_A_TOP30,14430,14378,481,649,0.35025733759910976,0.5397830018083183,0.10995966059257198,0.4563917095562665,0.4597996939769092,0.049773208577585,0.08817086341009393,-0.04629767998616103,-0.07194347334666928,0.0006972337098542546,-0.0050934955562905145,1.0172179046083087,0.883399686789917,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,COHORT,STAGE_A_AND_CZSC,3788,3767,481,435,0.33554552694451817,0.5529599150517653,0.11149455800371648,0.4425272099814176,0.44518184231483937,0.04751223617284049,0.08580761524316954,-0.047953999606008414,-0.0728124727454224,-0.0020417296402753917,-0.007816316580164805,0.9509597791623666,0.8259301202465165,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,COHORT,STAGE_A_WITHOUT_CZSC,10642,10611,481,606,0.3554801620959382,0.5351050796343417,0.10941475826972011,0.46131373103383283,0.46498916219018,0.05057587402369493,0.08900983766744988,-0.045709671692129826,-0.07163497077998349,0.0016695902210161033,-0.004126869715471133,1.0416457363388112,0.9045816768782324,,,,,,
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.1335777339280445,-0.14391066721172452,0.023308469105476744,-0.03616824989790726,-0.0015703600101692576,-0.08275632325470006
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.014711810654591595,0.013176913243447053,-0.0008689993987531092,-0.0023632481669243893,-0.002722821023874291,-0.05746956654340052
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.01993463515142002,0.01785483541742361,-0.0011775019654389068,-0.0032022224242803377,-0.0036894468646936724,-0.07865155663171597
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,COHORT,CZSC_ONLY_ALL,14163,14097,243,701,0.228062708377669,0.45059232460807264,0.32134496701425835,0.41214442789245936,0.42718308860041143,0.030817910263847358,0.056264613729492347,-0.0346227030197571,-0.055967619068564047,-0.003920721211216852,-0.009684666273204749,0.882666492758449,0.7367033401296198,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,COHORT,STAGE_A_TOP30,7290,7281,243,378,0.33800302156297213,0.5624227441285538,0.0995742343084741,0.43867600604312595,0.46367257244883947,0.04880297203493495,0.08832831210438193,-0.04920053177831715,-0.07648767879663858,-0.0024304079561358444,-0.008202852179612714,0.941881944639159,0.8181558313960419,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,COHORT,STAGE_A_AND_CZSC,1711,1711,241,219,0.3325540619520748,0.5669199298655757,0.1005260081823495,0.418468731735827,0.4628872004675628,0.04892922278562764,0.09139431764162775,-0.04898813492588361,-0.07603980034965911,-0.0026690418368129354,-0.008439946638764156,0.9355378589864778,0.8112652681015877,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,COHORT,STAGE_A_WITHOUT_CZSC,5579,5570,243,353,0.33967684021543987,0.5610412926391383,0.0992818671454219,0.4448833034111311,0.46391382405745063,0.04876419016160728,0.08738649245012203,-0.049265776125626645,-0.07662525869300876,-0.0023571040836334184,-0.008130021188659733,0.9438056065046903,0.8202485847850373,,,,,,
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.10994031318530312,-0.11183041952048112,0.02052005972807453,-0.03206369837488958,-0.0014818140935920349,-0.08145249126642207
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.005448959610897308,0.004497185737021958,0.0004478784469794661,0.003066005537245828,-0.00023709445915144275,-0.006890563294454144
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,DELTA,STAGE_A_AND_CZSC_MINUS_STAGE_A_WITHOUT_CZSC,,,,,,,,,,,,,,,,,,-0.007122778263365048,0.005878637226437444,0.0005854583433496513,0.004007825191505721,-0.0003099254501044233,-0.008983316683449538
YEAR,2020,COHORT,CZSC_ONLY_ALL,12942,12867,243,637,0.22305121628973343,0.4015699075153493,0.3753788761949172,0.4468796145177586,0.4593145255304267,0.029119809200697167,0.05400809049007043,-0.03233804210355658,-0.05217100072976275,-0.0015308759816057165,-0.007308813906183154,0.9510847194737028,0.7881277835724525,,,,,,
YEAR,2020,COHORT,STAGE_A_TOP30,7350,7301,245,351,0.3837830434187098,0.5110258868648131,0.1051910697164772,0.49253526914121354,0.513080399945213,0.059607056112702624,0.10961998056316072,-0.04730937001141374,-0.07401475415700129,0.005530782073589826,-0.00028799147081743194,1.1385927974481462,0.9932860627361337,,,,,,
YEAR,2020,COHORT,STAGE_A_AND_CZSC,1398,1388,234,203,0.33645533141210376,0.5432276657060519,0.12031700288184438,0.44596541786743515,0.4596541786743516,0.05291117434863967,0.09304871439661795,-0.047304426319341515,-0.07224356144219674,-0.0013322952428082208,-0.007111016741130436,0.9680326920223835,0.8417913510515695,,,,,,
YEAR,2020,COHORT,STAGE_A_WITHOUT_CZSC,5952,5913,245,333,0.39489260950448163,0.5034669372568916,0.10164045323862675,0.5034669372568916,0.5256215119228818,0.06117882744510909,0.11350987020279565,-0.04731053047895919,-0.07443051865694186,0.0071418003917296,0.001313625149374425,1.180845368152605,1.0309723944372202,,,,,,
YEAR,2020,DELTA,CZSC_ONLY_ALL_MINUS_STAGE_A_TOP30,,,,,,,,,,,,,,,,,,-0.16073182712897635,-0.10945597934946377,0.021843753427238537,-0.05561189007309029,-0.007020822435365722,-0.20515827916368123
