slice,cohort,signals,signals_per_year,signals_per_month,average_signals_per_day,median_signals_per_day,zero_signal_days_pct,signal_dates,unique_stocks,retained_pct_of_stage_a
HISTORICAL_DISCOVERY,CZSC_ONLY_ALL,45717,15239.0,1269.9166666666667,62.2,55.0,0.0027210884353741495,733,1062,
HISTORICAL_DISCOVERY,STAGE_A_TOP30,22050,7350.0,612.5,30.0,30.0,0.0,735,710,
HISTORICAL_DISCOVERY,STAGE_A_AND_CZSC,5065,1688.3333333333333,140.69444444444446,6.891156462585034,7.0,0.01904761904761905,721,505,0.22970521541950115
HISTORICAL_DISCOVERY,STAGE_A_WITHOUT_CZSC,16985,5661.666666666667,471.80555555555554,23.108843537414966,23.0,0.0,735,682,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CZSC_ONLY_ALL,43881,21940.5,1828.375,91.22869022869023,88.0,0.0,481,1144,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,14430,7215.0,601.25,30.0,30.0,0.0,481,649,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_AND_CZSC,3788,1894.0,157.83333333333334,7.875259875259875,8.0,0.0,481,435,0.2625086625086625
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_WITHOUT_CZSC,10642,5321.0,443.4166666666667,22.124740124740125,22.0,0.0,481,606,
STRESS_PREVALENCE_SEEN_NOT_BLIND,CZSC_ONLY_ALL,14163,14163.0,1180.25,58.28395061728395,57.0,0.0,243,701,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,7290,7290.0,607.5,30.0,30.0,0.0,243,378,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_AND_CZSC,1711,1711.0,142.58333333333334,7.041152263374485,7.0,0.00823045267489712,241,219,0.23470507544581617
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_WITHOUT_CZSC,5579,5579.0,464.9166666666667,22.958847736625515,23.0,0.0,243,353,
2020,CZSC_ONLY_ALL,12942,12942.0,1078.5,52.82448979591837,53.0,0.00816326530612245,243,637,
2020,STAGE_A_TOP30,7350,7350.0,612.5,30.0,30.0,0.0,245,351,
2020,STAGE_A_AND_CZSC,1398,1398.0,116.5,5.706122448979592,6.0,0.044897959183673466,234,203,0.19020408163265307
2020,STAGE_A_WITHOUT_CZSC,5952,5952.0,496.0,24.293877551020408,24.0,0.0,245,333,
2021,CZSC_ONLY_ALL,22436,22436.0,1869.6666666666667,91.95081967213115,89.0,0.0,244,824,
2021,STAGE_A_TOP30,7320,7320.0,610.0,30.0,30.0,0.0,244,387,
2021,STAGE_A_AND_CZSC,2021,2021.0,168.41666666666666,8.282786885245901,8.0,0.004098360655737705,243,260,0.2760928961748634
2021,STAGE_A_WITHOUT_CZSC,5299,5299.0,441.5833333333333,21.7172131147541,22.0,0.0,244,349,
2022,CZSC_ONLY_ALL,10339,10339.0,861.5833333333334,42.02845528455285,35.0,0.0,246,655,
2022,STAGE_A_TOP30,7380,7380.0,615.0,30.0,30.0,0.0,246,344,
2022,STAGE_A_AND_CZSC,1646,1646.0,137.16666666666666,6.691056910569106,7.0,0.008130081300813009,244,196,0.22303523035230352
2022,STAGE_A_WITHOUT_CZSC,5734,5734.0,477.8333333333333,23.308943089430894,23.0,0.0,246,327,
2023,CZSC_ONLY_ALL,20855,20855.0,1737.9166666666667,87.25941422594143,85.0,0.0,239,832,
2023,STAGE_A_TOP30,7170,7170.0,597.5,30.0,30.0,0.0,239,394,
2023,STAGE_A_AND_CZSC,1767,1767.0,147.25,7.393305439330544,7.0,0.0,239,235,0.24644351464435146
2023,STAGE_A_WITHOUT_CZSC,5403,5403.0,450.25,22.606694560669457,23.0,0.0,239,362,
2024,CZSC_ONLY_ALL,23026,23026.0,1918.8333333333333,95.14876033057851,93.5,0.0,242,942,
2024,STAGE_A_TOP30,7260,7260.0,605.0,30.0,30.0,0.0,242,418,
2024,STAGE_A_AND_CZSC,2021,2021.0,168.41666666666666,8.351239669421487,8.0,0.0,242,283,0.2783746556473829
2024,STAGE_A_WITHOUT_CZSC,5239,5239.0,436.5833333333333,21.64876033057851,22.0,0.0,242,384,
2025,CZSC_ONLY_ALL,14163,14163.0,1180.25,58.28395061728395,57.0,0.0,243,701,
2025,STAGE_A_TOP30,7290,7290.0,607.5,30.0,30.0,0.0,243,378,
2025,STAGE_A_AND_CZSC,1711,1711.0,142.58333333333334,7.041152263374485,7.0,0.00823045267489712,241,219,0.23470507544581617
2025,STAGE_A_WITHOUT_CZSC,5579,5579.0,464.9166666666667,22.958847736625515,23.0,0.0,243,353,
2020_2025,CZSC_ONLY_ALL,103761,17293.5,1441.125,71.11788896504456,67.0,0.0013708019191226869,1457,1382,
2020_2025,STAGE_A_TOP30,43770,7295.0,607.9166666666666,30.0,30.0,0.0,1459,1080,
2020_2025,STAGE_A_AND_CZSC,10564,1760.6666666666667,146.72222222222223,7.240575736806032,7.0,0.010966415352981495,1443,836,0.24135252456020104
2020_2025,STAGE_A_WITHOUT_CZSC,33206,5534.333333333333,461.19444444444446,22.759424263193967,23.0,0.0,1459,1050,
