period,comparison,metric,cluster,reps,ci_low,ci_high
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,mae10,signal_date,5000,-0.00041522024020454625,0.007291257140955277
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,downside,signal_date,5000,-0.04597918523499297,-0.013317387338009447
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,success,signal_date,5000,0.017445166835727364,0.04539089071797693
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,net,signal_date,5000,0.0033390069040219357,0.009198281035955604
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,mae10,calendar_month,5000,-0.0024989120206493935,0.009366803238829205
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,downside,calendar_month,5000,-0.05556058460653267,-0.005455569915056995
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,success,calendar_month,5000,0.011639396064463568,0.050917280999727456
HISTORICAL_DISCOVERY,GATE_RETAINED_MINUS_BASELINE,net,calendar_month,5000,0.0018159162991791473,0.010808040028524448
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,mae10,signal_date,5000,-0.0044075583820703795,0.003911026021600744
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,downside,signal_date,5000,-0.016548871465930877,0.02700142168986758
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,success,signal_date,5000,-0.026842622047156647,0.010737873154702074
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,net,signal_date,5000,-0.004685593464740686,0.002927864196802689
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,mae10,calendar_month,5000,-0.006515012114041785,0.006163404199666992
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,downside,calendar_month,5000,-0.02456156644038166,0.03288053742883736
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,success,calendar_month,5000,-0.034216516522029124,0.018402458175483555
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GATE_RETAINED_MINUS_BASELINE,net,calendar_month,5000,-0.005846378500769503,0.004685470791557921
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,mae10,signal_date,5000,-0.00592652504858012,0.009888793669168373
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,downside,signal_date,5000,-0.031941010333644895,0.0340861845551304
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,success,signal_date,5000,-0.024341308644456647,0.03486665207599548
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,net,signal_date,5000,-0.00524534919979516,0.0068842496783096735
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,mae10,calendar_month,5000,-0.011384680907425728,0.01775731794165714
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,downside,calendar_month,5000,-0.051092762872898365,0.04907321800039774
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,success,calendar_month,5000,-0.04170404226860644,0.05075306147362916
STRESS_PREVALENCE_SEEN_NOT_BLIND,GATE_RETAINED_MINUS_BASELINE,net,calendar_month,5000,-0.008339557468710871,0.01075390698101124
