period,feature,bucket,lower,upper,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,path_success_rate,downside_first_rate,timeout_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,day1_return,day3_return,day5_return,day10_return,mfe5_mean,mfe10_mean,mae5_mean,mae10_mean,mfe_abs_mae,gross_mean,net_mean,median_net,gross_profit_factor,net_profit_factor,top1_positive_winners_removed,top1_removed_net_mean,top1_removed_net_pf,top1_removed_gross_mean,top1_removed_gross_pf,top5_positive_winners_removed,top5_removed_net_mean,top5_removed_net_pf,top5_removed_gross_mean,top5_removed_gross_pf,removed_best_signal_date,remove_best_signal_date_net_mean,remove_best_signal_date_net_pf,removed_best_calendar_month,remove_best_calendar_month_net_mean,remove_best_calendar_month_net_pf
HISTORICAL_DISCOVERY,tx_total_oi,1,,83003.8,4410,4387,147,17,396,0.3309778892181445,0.5586961477091407,0.11032596307271483,0.2726236608160474,0.1725552769546387,-0.0021430451575857475,0.0012237018490479804,0.006048423234543812,0.008134422216938634,0.049161046808791575,0.08653154489662992,-0.044561485134215734,-0.07245549333516016,1.1942716958168738,-0.002852733871593813,-0.008622973002315902,-0.058302304552864496,0.9322381437094809,0.8099444617071715,18,-0.009388301023859874,0.7939251844395622,-0.003622501692473512,0.9143066653179122,86,-0.012170515076457906,0.7370130065595649,-0.006420959365986861,0.850470884036861,20210520,-0.009356635448302583,0.7949615184587272,202105,-0.01028226718506621,0.7769701816952332
HISTORICAL_DISCOVERY,tx_total_oi,2,83003.8,88218.2,4410,4382,147,26,496,0.3350068461889548,0.5737106344135098,0.09128251939753537,0.283888635326335,0.186444545869466,-0.003622036650821153,-0.001212099153656865,0.003283219351687949,0.010037274199997035,0.051092489760443074,0.08995793812852289,-0.04964514016534768,-0.07681874880135443,1.171041438869892,-0.004209335571426706,-0.009971329391974757,-0.059658592353049586,0.9039526046170869,0.7884491230281009,17,-0.010707304940388525,0.7737160176179174,-0.004949562566546288,0.8875004627596974,84,-0.013529384374305887,0.7184640619394286,-0.007788052462312272,0.8257009784954012,20210517,-0.010605823203453968,0.7760495321940893,202106,-0.010402086694030784,0.7801403853609028
HISTORICAL_DISCOVERY,tx_total_oi,3,88218.2,91564.0,2190,2181,73,20,452,0.3131591013296653,0.6098120128381477,0.07702888583218707,0.2640990371389271,0.19303071985327833,-0.006218465692011107,-0.008967920283865572,-0.009932365313450563,0.004659440164085835,0.04707326514071451,0.09656870878505243,-0.06277203794720267,-0.09533899139075679,1.0128983679851984,-0.010721824197814317,-0.016447121292992424,-0.06152225007210996,0.7746180585175014,0.6776557233177782,8,-0.01715431127466701,0.6650288413755339,-0.011433105136279164,0.7605478771413222,39,-0.019821571644679525,0.6184671331815633,-0.014115917573285168,0.7085773196075021,20210323,-0.017922257511554077,0.6527253662065182,202105,-0.018382475899860782,0.6432706597003853
HISTORICAL_DISCOVERY,tx_total_oi,4,91564.0,94256.2,2220,2220,74,18,453,0.3373873873873874,0.5797297297297297,0.08288288288288288,0.29684684684684687,0.20225225225225224,-0.005500409520220802,-0.002705863253327228,0.0012909849601314826,-0.0012556979334491232,0.052734886679548246,0.09514930035899581,-0.056497416380810815,-0.0903466079457764,1.053158524956486,-0.003672548884333377,-0.00943782448754799,-0.05943204139863584,0.9159213071915887,0.7990841532117954,9,-0.010198378141531206,0.7837733725463862,-0.004437482768755621,0.8988208996498986,43,-0.01296241518408879,0.7293963328268308,-0.007217640046616275,0.8379611920079466,20210329,-0.010816991924412054,0.7722193505210182,202103,-0.0124457387683436,0.7414668049096529
HISTORICAL_DISCOVERY,tx_total_oi,5,94256.2,103608.2,4410,4377,147,22,496,0.41146904272332646,0.4996572995202193,0.08887365775645419,0.36531871144619604,0.27027644505368975,-0.0012312239297906887,0.011807720399181753,0.01949558998504674,0.03875809964760722,0.07304627725246474,0.12684004793464204,-0.05032674991918663,-0.07903264122517756,1.6049071113953155,0.009514443342532528,0.003672234152371893,-0.052606910848274395,1.2385529233014156,1.0858528697564303,21,0.0028331892552367383,1.0659191140636652,0.008670554516000652,1.2163513235066163,101,-0.0002909453742262633,0.9933549682862629,0.005528269672104292,1.1354103088213692,20200331,0.00303698595258983,1.070560214840445,202211,0.0033614173394336555,1.0783205315505762
HISTORICAL_DISCOVERY,tx_total_oi,6,103608.2,,4410,4390,147,17,389,0.35353075170842824,0.5558086560364465,0.09066059225512528,0.2970387243735763,0.20136674259681092,-0.0050720242630468105,-0.002301772273497506,0.0015998731701583645,0.014911563584502643,0.05016309332040923,0.09455558032692818,-0.051510848984495795,-0.07850925405126195,1.2043877052403136,-0.001839727603808305,-0.00761554682568987,-0.058515517676423746,0.9573472232163222,0.8357030875776154,18,-0.008378458206929947,0.8199852673310933,-0.0026070437510635727,0.9398053716027525,88,-0.011222174051194895,0.7627472827466175,-0.005467356711659933,0.8757841313107677,20200320,-0.008325754479872773,0.8214048713772678,202102,-0.008652119826437684,0.8149947331245929
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi,1,,83003.8,7890,7878,263,21,563,0.3264788017263265,0.5476009139375476,0.12592028433612593,0.26554963188626557,0.16882457476516882,-0.0043499164105960655,-0.0022382522301801337,-0.0007272261540662473,0.003132206965881102,0.04424472786994149,0.07817552152446668,-0.04672847615809441,-0.07297154113754746,1.0713152046098353,-0.002290828267153226,-0.008064125706355094,-0.057590070636156995,0.943808639708721,0.8168427817444435,31,-0.008796381823234275,0.8009975155237404,-0.003027325454672812,0.9260354190495654,155,-0.011585124586883044,0.7420488212435066,-0.005832406407180733,0.859752590201621,20230815,-0.008420491071635339,0.809367045540799,202302,-0.010292295474437226,0.7729212467523474
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi,2,83003.8,88218.2,3240,3230,108,16,417,0.3972136222910217,0.5269349845201239,0.07585139318885449,0.3414860681114551,0.2393188854489164,-0.001078325991684291,0.009175384757386326,0.01381415249608699,0.02789405924744823,0.06260829298508278,0.10804635035673103,-0.0455655088606654,-0.07156287138889086,1.509810160768699,0.006106936880948277,0.0002845016056196225,-0.0567946858223594,1.1517859462409055,1.006577225848751,15,-0.0005463232438307563,0.9874285270140262,0.005271287619956063,1.130407719268126,71,-0.0035329235672466805,0.9201197567722029,0.0022672470202794864,1.055113002862887,20240806,-0.0005088135901433938,0.98832335224731,202305,-0.0011812926666707267,0.9731763277327496
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi,3,88218.2,91564.0,1350,1337,45,12,320,0.36724008975317873,0.537771129394166,0.09498878085265519,0.318623784592371,0.23036649214659685,-0.0049718659672894515,-0.0012390999413052746,0.011432903635222839,0.01720312621962088,0.052178666897386324,0.09513958357045471,-0.045500855532298656,-0.06864044572051606,1.3860571937110584,0.002648419376810892,-0.003153181926518368,-0.05675704221971157,1.064779898026238,0.9284220271182415,6,-0.003959732007498969,0.9105165317151945,0.0018371946448636307,1.0447358117707604,28,-0.006831775584875215,0.8481648938506066,-0.0010516212095939346,0.9748162105815203,20230529,-0.004589919410249213,0.897050214122623,202401,-0.004113190451216195,0.9074317867672963
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,tx_total_oi,4,91564.0,94256.2,780,774,26,8,253,0.36175710594315247,0.5310077519379846,0.10723514211886305,0.3087855297157623,0.20801033591731266,-0.0010566981524329784,-4.356348388123767e-05,0.010278916774514866,0.024640265346122008,0.05197511365905231,0.09427328499542262,-0.04543427978836095,-0.06766892130444672,1.393154836491056,0.002743288629531837,-0.003059343556215701,-0.05675704221971145,1.0698347338926426,0.9278566377113882,4,-0.0039823880103954015,0.9065753530297223,0.0018148554699196557,1.045961245427348,16,-0.006663947788995223,0.8461037774853533,-0.0008823627437699845,0.9780023956461642,20240709,-0.004856057271559693,0.887166565807391,202402,-0.0046576657721644895,0.8921628561027268
