period,comparison,metric,cluster,reps,observed_difference,ci_low,ci_high
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,success,signal_date,5000,0.014535956016675233,-0.013555865672735343,0.04479558822208352
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,downside_first,signal_date,5000,-0.04579912993582835,-0.0783348151458745,-0.015130389225915846
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,mae10,signal_date,5000,0.019175643323449607,0.011578784996519967,0.02730570833921863
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,mfe10,signal_date,5000,-0.0091551881311,-0.019111749804978775,0.0007511346346172715
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,net,signal_date,5000,0.006371857867629781,0.0005285812766839536,0.01235384016993116
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,net_pf,signal_date,5000,0.11411314484745894,-0.0032231786638230835,0.23349986430790456
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,success,calendar_month,5000,0.014535956016675233,-0.034475818430272996,0.06464314212731076
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,downside_first,calendar_month,5000,-0.04579912993582835,-0.10269736699096063,0.008622827099583185
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,mae10,calendar_month,5000,0.01917564332344962,0.004134332194068465,0.03809581489615288
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,mfe10,calendar_month,5000,-0.0091551881311,-0.03105218078227423,0.013881484250005339
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,net,calendar_month,5000,0.006371857867629784,-0.0037484164276203333,0.016995126609444872
HISTORICAL_DISCOVERY,EARLY_MINUS_MATURE,net_pf,calendar_month,5000,0.11411314484745883,-0.08078245267521622,0.3159911504551439
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,success,signal_date,5000,-0.00560266849865676,-0.03296229224415469,0.020403712187145283
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,downside_first,signal_date,5000,-0.03354877939547307,-0.06470775020287342,-0.002423526723405926
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,mae10,signal_date,5000,0.010159449928841005,0.004432367516376493,0.01575637740233154
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,mfe10,signal_date,5000,-0.0017355240301485803,-0.008969284764540586,0.0055216335476563246
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,net,signal_date,5000,0.0018881388224605581,-0.0031911864303108056,0.006996194303043053
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,net_pf,signal_date,5000,0.02956562088907766,-0.07522202765982203,0.1320584584226759
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,success,calendar_month,5000,-0.00560266849865676,-0.04282318290967605,0.03149807027745219
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,downside_first,calendar_month,5000,-0.03354877939547307,-0.08073240703158416,0.012863210841383912
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,mae10,calendar_month,5000,0.010159449928841019,0.0017583512784251785,0.019037393189208437
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,mfe10,calendar_month,5000,-0.0017355240301485664,-0.010762218710504238,0.008086231205841909
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,net,calendar_month,5000,0.0018881388224605607,-0.005648156540457493,0.009528516221462164
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,EARLY_MINUS_MATURE,net_pf,calendar_month,5000,0.029565620889077326,-0.12991976688816823,0.1784491565050622
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,success,signal_date,5000,-0.039081551645756885,-0.08498877484223723,0.00858387219759219
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,downside_first,signal_date,5000,0.006539601978572174,-0.036820117731305654,0.052134716660709915
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,mae10,signal_date,5000,0.0016707359451484521,-0.006429748347396861,0.009706694127058062
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,mfe10,signal_date,5000,-0.011249862774579414,-0.023069086281935977,0.0014821670181403936
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,net,signal_date,5000,-0.004637468313984539,-0.012970126164859933,0.004177807861127126
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,net_pf,signal_date,5000,-0.10086308378408171,-0.27833813357157167,0.082909761781302
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,success,calendar_month,5000,-0.039081551645756885,-0.1032569208321717,0.03813499704189532
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,downside_first,calendar_month,5000,0.006539601978572174,-0.06345678049783678,0.0637556967062358
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,mae10,calendar_month,5000,0.0016707359451484521,-0.00989622647114073,0.016078707778662576
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,mfe10,calendar_month,5000,-0.011249862774579442,-0.03256139375581177,0.016962678547161773
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,net,calendar_month,5000,-0.004637468313984534,-0.015573263661341515,0.008827025820143867
STRESS_PREVALENCE_SEEN_NOT_BLIND,EARLY_MINUS_MATURE,net_pf,calendar_month,5000,-0.1008630837840816,-0.33402187403027883,0.174911805690275
