boundary_source,resolution,feature,boundary_number,probability,boundary_value,finite_discovery_observations,entry_gap_denominator,boundary_sha256
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,1,0.1,-0.036576214001297305,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,2,0.2,-0.02108433734939994,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,3,0.3,-0.01210336931632906,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,4,0.4,-0.005612065941772304,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,5,0.5,0.0,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,6,0.6,0.005237125400066711,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,7,0.7,0.011463250168582073,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,8,0.8,0.02031904965605982,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_5,9,0.9,0.037046370967701005,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,1,0.1,-0.055139260461741266,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,2,0.2,-0.032401242787387895,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,3,0.3,-0.018838304552590814,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,4,0.4,-0.008703633904108261,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,5,0.5,0.0,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,6,0.6,0.008627963125530373,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,7,0.7,0.01881366077067721,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,8,0.8,0.03353658536585358,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_10,9,0.9,0.0619469026548539,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,1,0.1,-0.07910312420360083,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,2,0.2,-0.046261557405770246,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,3,0.3,-0.026246020312501818,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,4,0.4,-0.01089143886422876,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,5,0.5,0.003375440969952681,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,6,0.6,0.016897773664318633,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,7,0.7,0.03316112995608717,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,8,0.8,0.056599034016765006,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_20,9,0.9,0.10184245189615981,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,1,0.1,-0.11299638334573735,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,2,0.2,-0.06305932179875685,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,3,0.3,-0.031003732736673364,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,4,0.4,-0.00420771027788042,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,5,0.5,0.020767821000205577,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,6,0.6,0.04727958353487657,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,7,0.7,0.08035548761186247,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,8,0.8,0.12867679351055708,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,bias_60,9,0.9,0.21785403005866313,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,1,0.1,-2.001191671035884,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,2,0.2,-1.2629579962372193,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,3,0.3,-0.765306122448848,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,4,0.4,-0.3377635104392309,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,5,0.5,0.10535140315085477,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,6,0.6,0.513092232108872,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,7,0.7,0.9529294285473087,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,8,0.8,1.5178058298819381,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias20,9,0.9,2.398868911931528,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,1,0.1,-1.3603275340119578,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,2,0.2,-0.8571428571431486,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,3,0.3,-0.5318840498341427,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,4,0.4,-0.26069563425715375,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,5,0.5,0.0,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,6,0.6,0.2669309195762347,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,7,0.7,0.5567567567566408,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,8,0.8,0.9263157894737856,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,atr_adjusted_bias10,9,0.9,1.538643070120841,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
POOLED_2020_2022_ALL_ELIGIBLE,DECILE,return_3,1,0.1,-0.05748865355521937,329750,T_CLOSE_ELIGIBLE,14555cbeecf3cade3c7f0b1e1090834bac4abf07e9a39432ae5995549e1e8e33
