time_slice_type,time_slice,momentum_strength_quintile,bias20_quintile,signals,evaluable_signals,outcome_observation_rate,primary_success_rate,gross_average_return,net_average_return,gross_median_return,net_median_return,gross_win_rate,net_win_rate,gross_profit_factor,net_profit_factor,average_day1_close_return,average_day3_close_return,average_day5_close_return,average_day10_close_return,average_mfe_5d,average_mfe_10d,average_mae_5d,average_mae_10d,average_trade_mfe_abs_mae,aggregate_mfe_abs_mae,top1_removed_winners,top1_removed_gross_average_return,top1_removed_gross_profit_factor,top1_removed_net_profit_factor
PERIOD,HISTORICAL_DISCOVERY,1,1,25206,25131,0.9970245179719115,0.2229915244120807,-0.0023748224480565675,-0.008147609819362595,-0.014634146341463428,-0.02033309166276563,0.442958895388166,0.4250129322350881,0.9268084509035923,0.7706427259762729,-0.0024734775307101347,-0.0021393339259659313,-0.0011258939606835195,0.004451305958034687,0.029584664458234298,0.052164385559642146,-0.034546431117006116,-0.05419801415764275,4.824258646945017,0.9624778023769376,112,-0.003180002073199626,0.9024297598977835,0.7492302273662557
PERIOD,HISTORICAL_DISCOVERY,1,2,21288,21247,0.9980740323186772,0.13060667388337177,-0.003734468507056254,-0.009499925424103809,-0.008163265306122436,-0.013916127581652761,0.435214383207041,0.39850331811549866,0.8552720541392549,0.6725511350658776,-0.0021816002252807555,-0.0024580691858994215,-0.0029594346319450743,-0.005455993960065982,0.01919125095800617,0.03540761513363908,-0.024038534217983073,-0.04157485814818267,4.37139732500666,0.8516593131223187,93,-0.004499512365900952,0.826386325622107,0.6478822745942272
PERIOD,HISTORICAL_DISCOVERY,1,3,14068,14027,0.9970855843048052,0.11705995579952948,0.0025068942556345534,-0.0032949755929956863,0.0,-0.0057982225230436115,0.49083909602908676,0.4416482498039495,1.1298613457538567,0.8519154464222092,-0.0008346159489883992,4.3917050756752154e-05,0.001239628211132682,0.002207920189527894,0.018696024252616256,0.03398255400422606,-0.01765980406873262,-0.030173292911637613,4.692986713222379,1.1262461178414918,69,0.0017114296125493058,1.0882188360015068,0.8172759141307362
PERIOD,HISTORICAL_DISCOVERY,1,4,4804,4797,0.9985428809325562,0.13883677298311445,0.006217021776300379,0.0003941313259924006,0.0036014405762303525,-0.002205878894484185,0.5222013758599124,0.4796747967479675,1.3327154957219465,1.0183809239617156,-0.001465657343130911,0.0005084904177952949,0.0017544740817999813,0.007304015423067629,0.02105953262836642,0.03948883132495311,-0.01960232435309367,-0.031122538606018987,5.044984384431436,1.2688178115816076,26,0.005318810725537792,1.2831032619094414,0.9768604910123103
PERIOD,HISTORICAL_DISCOVERY,1,5,565,565,1.0,0.184070796460177,0.010802293691585162,0.004953976241580343,0.011744966442952975,0.005881295649329461,0.5823008849557522,0.5539823008849557,1.5841379693080129,1.2373803292407202,-0.0033816870154483036,-0.0016094731935802566,0.0014468132417309657,0.015326782708015336,0.022937923388643446,0.045364796659652804,-0.0242155823076245,-0.03402988689138675,4.455869587006173,1.3330869069428206,4,0.009726538281869904,1.5222424495359377,1.184815974424364
PERIOD,HISTORICAL_DISCOVERY,2,1,18387,18318,0.9962473486702561,0.245878371001201,-0.0019931196840795697,-0.0077684316644959835,-0.016192466738583267,-0.02188574219452436,0.4434981984932853,0.42684790916038867,0.9407316708623091,0.7882912094872808,-0.002591347143401264,-0.0018215244231703104,-0.0008325539582136509,0.006549518145544008,0.031178688284716125,0.056247223454418536,-0.03607611710713508,-0.056384058957478625,4.775392967831107,0.9975731526677907,82,-0.0027964275615609867,0.9172163809610767,0.7675710948462506
PERIOD,HISTORICAL_DISCOVERY,2,2,17544,17509,0.9980050159598723,0.14900908104403449,-0.004129579848034843,-0.009892900737648019,-0.00916030534351131,-0.014901211210689201,0.43417670912102346,0.4014506825061397,0.8505107161153196,0.6789941925679873,-0.0025144116368729045,-0.0036527115552653774,-0.004146024919181641,-0.005899561802599079,0.020281199419086286,0.0381218451456552,-0.02706915227376326,-0.04589314720478983,4.390187295713517,0.8306653055529922,77,-0.004926488635973342,0.8224471885896071,0.6548107380175664
PERIOD,HISTORICAL_DISCOVERY,2,3,17298,17239,0.9965892010637067,0.13254829166424967,0.0007307421420006822,-0.005060943172249665,-0.0033783783783783994,-0.00913450619477411,0.4626718487151227,0.4198039329427461,1.0333199946185954,0.7976892050740001,-0.0011152879655680554,-0.000863905226950394,8.520736320790855e-05,2.2760562976688002e-05,0.01977484922642788,0.03632645096521855,-0.02030090293065628,-0.03479118008633382,4.638970465039477,1.0441281633757455,80,-7.147710551624023e-05,0.9967559493179933,0.7668924877298274
PERIOD,HISTORICAL_DISCOVERY,2,4,10906,10864,0.9961489088575096,0.1568483063328424,0.0023951517933048067,-0.003405646341725061,-0.002267585355820667,-0.00805063580333731,0.47560751104565535,0.43565905743740796,1.1054463103420733,0.8675478589109514,-0.0017731255245092353,-0.0003693367096417615,0.0009898508118981394,0.0028694591750509754,0.022029407682946405,0.0407505574736498,-0.021738448946253663,-0.03610157244121625,4.71524639555994,1.128775139642558,52,0.001575959770157736,1.0690493751601786,0.836658007924696
PERIOD,HISTORICAL_DISCOVERY,2,5,1810,1803,0.9961325966850829,0.22074320576816417,0.00985030387636858,0.004006816530145133,0.005347593582887722,-0.00046250990696220716,0.5230171935662784,0.49750415973377704,1.4302284539023886,1.1566520196093482,-0.004088755162504932,-0.00137439085272566,0.0029622994484011607,0.01684549542128992,0.026178541434823704,0.05294283573742624,-0.026530720208402653,-0.03881898462220285,4.745555904686367,1.363838757058708,10,0.00890863962646935,1.3869416287179075,1.1193834031740055
PERIOD,HISTORICAL_DISCOVERY,3,1,11762,11707,0.9953239245026356,0.2658238660630392,0.0009389935313768872,-0.004853314152290722,-0.011666666666666714,-0.017401611205815223,0.4629708721277868,0.44708294182967456,1.0280938839474174,0.8665717147727888,-0.0022708856357423913,-0.00013034048860289718,0.0023631558413468763,0.010043346069407785,0.03473748952075146,0.06098654381406568,-0.036644199535945866,-0.05749444041936172,5.249855884098183,1.0607381056191298,55,8.621484966359832e-05,1.0025673561333526,0.8439984724695543
PERIOD,HISTORICAL_DISCOVERY,3,2,13806,13751,0.9960162248297841,0.16049741836957312,-0.005062045821163411,-0.010819656162581744,-0.013035381750465591,-0.01874997912624103,0.42796887499090974,0.4002617991418806,0.8303123568829665,0.6724779017736218,-0.002491321329132414,-0.0026758135794656777,-0.003880172405298732,-0.007670203064437609,0.02269763984912476,0.040274096691170755,-0.028650016601128387,-0.049778048209834246,4.323112047597204,0.8090734397901549,59,-0.005848902120397635,0.8047769436980746,0.6503037038191356
PERIOD,HISTORICAL_DISCOVERY,3,3,16914,16834,0.9952701903748374,0.1477367232980872,-0.0029670294503250593,-0.008736786626532706,-0.009345794392523366,-0.01508701431506461,0.42895330877985033,0.39449922775335633,0.8867723756987242,0.7032382418759442,-0.0019161566212672137,-0.0027259885044964194,-0.0035009002385590843,-0.004829605954779214,0.0205749251902804,0.03767646044694217,-0.025276961695069503,-0.042696130318515046,4.374961588810223,0.8824326740122369,73,-0.003746240585689752,0.8576561179306145,0.6783251029439465
PERIOD,HISTORICAL_DISCOVERY,3,4,17725,17628,0.9945275035260931,0.180167914681189,0.0011018462355328173,-0.004691368336684524,-0.007357452183327284,-0.013106073836570831,0.44798048559110504,0.41870887224869524,1.0432401056827303,0.8359572301689511,-0.0019082504434617502,-0.0004960371290853605,0.0009194106312914328,0.0021321172694203044,0.024509493442722692,0.045028740222528625,-0.024351950771448912,-0.04046069463555277,5.053311932106664,1.1129008196256205,79,0.0003124963324462887,1.012208435451461,0.8093739669518892
