reserve_order,stock_id,stock_name,discovery_rank,swing_score,reserve_reason,also_high_correlation_reserve
1,2609,陽明,14,0.8554924242424242,PAIRWISE_CORRELATION_GT_0_80,True
2,5274,信驊,17,0.8395833333333333,PRIMARY_POOL_CAPACITY,False
3,3037,欣興,18,0.8367424242424243,PRIMARY_POOL_CAPACITY,False
4,3035,智原,19,0.8305871212121212,PRIMARY_POOL_CAPACITY,False
5,4743,合一,20,0.8225378787878789,PRIMARY_POOL_CAPACITY,False
6,4968,立積,21,0.8026515151515151,PRIMARY_POOL_CAPACITY,False
7,2368,金像電,22,0.7999999999999998,PRIMARY_POOL_CAPACITY,False
8,2615,萬海,23,0.7933712121212122,PRIMARY_POOL_CAPACITY,False
9,8454,富邦媒,24,0.7875000000000001,PRIMARY_POOL_CAPACITY,False
10,3189,景碩,25,0.7826704545454546,PRIMARY_POOL_CAPACITY,False
11,4966,譜瑞-KY,26,0.7780303030303031,PRIMARY_POOL_CAPACITY,False
12,2338,光罩,27,0.771969696969697,PRIMARY_POOL_CAPACITY,False
13,3545,敦泰,28,0.7647727272727273,PRIMARY_POOL_CAPACITY,False
14,3680,家登,29,0.7535984848484848,PRIMARY_POOL_CAPACITY,False
15,3006,晶豪科,30,0.7359848484848485,PRIMARY_POOL_CAPACITY,False
