scope,period,ratio_bucket,count,rate_of_all_signals
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B0_R_LT_0,855,0.12719428741445998
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B1_R_0_TO_0_5,850,0.12645046117227016
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B2_R_0_5_TO_0_8,529,0.07869681642368342
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B3_R_0_8_TO_1_0,295,0.043885748289199646
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B4_R_1_0_TO_1_2,194,0.02886045819696519
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B5_R_1_2_TO_1_5,245,0.0364474858673014
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,B6_R_GE_1_5,484,0.07200238024397501
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B0_R_LT_0,389,0.0946011673151751
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B1_R_0_TO_0_5,425,0.10335603112840466
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B2_R_0_5_TO_0_8,302,0.07344357976653697
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B3_R_0_8_TO_1_0,158,0.03842412451361868
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B4_R_1_0_TO_1_2,86,0.02091439688715953
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B5_R_1_2_TO_1_5,149,0.03623540856031129
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B6_R_GE_1_5,296,0.07198443579766536
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B0_R_LT_0,261,0.1280667320902846
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B1_R_0_TO_0_5,236,0.11579980372914622
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B2_R_0_5_TO_0_8,128,0.06280667320902845
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B3_R_0_8_TO_1_0,66,0.0323846908734053
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B4_R_1_0_TO_1_2,48,0.023552502453385672
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B5_R_1_2_TO_1_5,53,0.026005888125613347
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,B6_R_GE_1_5,77,0.037782139352306184
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B0_R_LT_0,11189,0.1188334377688329
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B1_R_0_TO_0_5,11568,0.12285862973544187
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B2_R_0_5_TO_0_8,6793,0.07214545917988041
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B3_R_0_8_TO_1_0,3332,0.035387703516467174
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B4_R_1_0_TO_1_2,2674,0.028399375511114416
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B5_R_1_2_TO_1_5,2927,0.031086377008613275
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,B6_R_GE_1_5,6819,0.07242159372112536
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,B0_R_LT_0,6635,0.11537324592672452
