scope,period,relationship,n,spearman_rho
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,R_VS_MFE10,3356,0.10108514315057034
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,R_VS_MAE10,3356,0.07999114861378935
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,R_VS_DAY5_NET,3356,0.05856686487488692
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,R_VS_DAY10_NET,3356,0.11429141483142156
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,R_VS_UP8_BEFORE_DOWN5,3356,0.06098932222810216
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_MFE10,1779,-0.05625332013796548
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_MAE10,1779,-0.09037775814979912
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_DAY5_NET,1779,-0.07795198557742958
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_DAY10_NET,1779,-0.08103322251653326
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_UP8_BEFORE_DOWN5,1779,-0.005412633141155922
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_MFE10,844,-0.06656498624578656
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_MAE10,844,0.09565388639574403
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_DAY5_NET,844,0.054177141828196725
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_DAY10_NET,844,0.034544060867434834
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_UP8_BEFORE_DOWN5,844,0.006290256556622438
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,R_VS_MFE10,44413,0.02434156118079689
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,R_VS_MAE10,44413,0.0031280117245023717
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,R_VS_DAY5_NET,44413,-0.010763321574460959
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,R_VS_DAY10_NET,44413,0.034521836472517844
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,R_VS_UP8_BEFORE_DOWN5,44413,0.04930629992023184
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_MFE10,27011,0.01993923698565077
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_MAE10,27011,-0.06457904923224762
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_DAY5_NET,27011,-0.040808678710165074
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_DAY10_NET,27011,-0.015792501023997544
SECONDARY_ELIGIBLE_UNIVERSE,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,R_VS_UP8_BEFORE_DOWN5,27011,0.0811890019146421
SECONDARY_ELIGIBLE_UNIVERSE,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_MFE10,13294,0.04804629327347863
SECONDARY_ELIGIBLE_UNIVERSE,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_MAE10,13294,-0.03721466080239464
SECONDARY_ELIGIBLE_UNIVERSE,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_DAY5_NET,13294,0.004592379716331571
SECONDARY_ELIGIBLE_UNIVERSE,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_DAY10_NET,13294,0.04383424415378922
SECONDARY_ELIGIBLE_UNIVERSE,STRESS_PREVALENCE_SEEN_NOT_BLIND,R_VS_UP8_BEFORE_DOWN5,13294,0.06476791769052054
