scope,period,dimension,dimension_value,total_frozen_signal_observations,measured_move_available_count,coverage_rate,structure_invalid_count,no_abc_count
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,POOLED,ALL,6722,3452,0.5135376376078548,3270,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,2603,726,436,0.6005509641873278,290,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,3529,774,417,0.5387596899224806,357,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,3661,766,422,0.5509138381201044,344,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,5269,717,358,0.499302649930265,359,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,6104,699,344,0.49213161659513593,355,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,6415,686,369,0.5379008746355685,317,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,6531,761,322,0.4231274638633377,439,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,6533,825,339,0.4109090909090909,486,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,STOCK,8046,768,445,0.5794270833333334,323,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,BREAKOUT,2123,1515,0.7136128120584079,608,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,GAP_BEHAVIOR,728,381,0.5233516483516484,347,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,MEAN_REVERSION,2928,904,0.3087431693989071,2024,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,TREND_PULLBACK,620,425,0.6854838709677419,195,0
PRIMARY_ACTIVE_SPECIALISTS,HISTORICAL_DISCOVERY,SETUP_FAMILY,VOLATILITY_CONTRACTION_EXPANSION,323,227,0.7027863777089783,96,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,POOLED,ALL,4112,1805,0.4389591439688716,2307,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,2603,416,217,0.5216346153846154,199,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,3529,452,188,0.415929203539823,264,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,3661,496,212,0.4274193548387097,284,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,5269,504,303,0.6011904761904762,201,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,6104,455,214,0.4703296703296703,241,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,6415,493,164,0.332657200811359,329,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,6531,448,230,0.5133928571428571,218,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,6533,418,168,0.4019138755980861,250,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STOCK,8046,430,109,0.2534883720930233,321,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SETUP_FAMILY,BREAKOUT,1298,837,0.6448382126348228,461,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SETUP_FAMILY,GAP_BEHAVIOR,264,122,0.4621212121212121,142,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SETUP_FAMILY,MEAN_REVERSION,1837,416,0.22645617855198694,1421,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SETUP_FAMILY,TREND_PULLBACK,534,340,0.6367041198501873,194,0
PRIMARY_ACTIVE_SPECIALISTS,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,SETUP_FAMILY,VOLATILITY_CONTRACTION_EXPANSION,179,90,0.5027932960893855,89,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,POOLED,ALL,2038,869,0.4263984298331698,1169,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,2603,150,85,0.5666666666666667,65,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,3529,202,66,0.32673267326732675,136,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,3661,258,133,0.5155038759689923,125,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,5269,225,99,0.44,126,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,6104,231,90,0.38961038961038963,141,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,6415,197,23,0.116751269035533,174,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,6531,269,135,0.5018587360594795,134,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,6533,256,98,0.3828125,158,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,STOCK,8046,250,140,0.56,110,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SETUP_FAMILY,BREAKOUT,434,294,0.6774193548387096,140,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SETUP_FAMILY,GAP_BEHAVIOR,152,73,0.48026315789473684,79,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SETUP_FAMILY,MEAN_REVERSION,1194,312,0.2613065326633166,882,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SETUP_FAMILY,TREND_PULLBACK,194,137,0.7061855670103093,57,0
PRIMARY_ACTIVE_SPECIALISTS,STRESS_PREVALENCE_SEEN_NOT_BLIND,SETUP_FAMILY,VOLATILITY_CONTRACTION_EXPANSION,64,53,0.828125,11,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,POOLED,ALL,94157,45302,0.4811325764414754,48855,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1476,668,399,0.5973053892215568,269,0
SECONDARY_ELIGIBLE_UNIVERSE,HISTORICAL_DISCOVERY,STOCK,1477,725,339,0.4675862068965517,386,0
