period,setup,total_signals,trading_days,active_signal_days,total_count,average_per_trading_day,average_per_active_signal_day,median_per_trading_day,median_per_active_signal_day,p90_per_trading_day,p90_per_active_signal_day,maximum_daily_count,maximum_dates,signal_date_hhi,effective_signal_dates,largest_date_share,top5_dates_share,top10_dates_share,max_date,remove_max_signal_date_average_gross_return,remove_max_signal_date_gross_profit_factor,remove_max_signal_date_evaluable
HISTORICAL_DISCOVERY,V_REVERSAL,3243,735,472,3243,4.412244897959184,6.870762711864407,1,2.0,10.0,15.0,150,20210507,0.010583672282975949,94.48516292483095,0.04625346901017576,0.15602836879432624,0.2463768115942029,20210507,0.0002550893899867489,1.0081305853722091,3080
HISTORICAL_DISCOVERY,N_RETEST,915,735,321,915,1.2448979591836735,2.850467289719626,0,2,3.0,6,33,20221027,0.007196392845411882,138.95850622406724,0.036065573770491806,0.10601092896174863,0.17049180327868851,20221027,-0.001253242202037969,0.9608350159925256,879
HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,121,735,80,121,0.16462585034013605,1.5125,0,1.0,1.0,3.0,10,20220714,0.02110511577078059,47.38187702265394,0.08264462809917356,0.21487603305785125,0.3305785123966942,20220714,-0.005076507857107632,0.8513950343975106,111
HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,3828,735,733,3828,5.208163265306123,5.22237380627558,5,5,8.0,8.0,11,20200817;20211109,0.0015388726744255858,649.8263414634154,0.0028735632183908046,0.013584117032392894,0.02664576802507837,20200817,-0.007841599466625274,0.8172694320810001,3805
HISTORICAL_DISCOVERY,TREND_PULLBACK,5868,735,655,5868,7.983673469387755,8.9587786259542,5,6,19.0,20.0,80,20211130,0.003124522266504791,320.0489273896703,0.013633265167007498,0.05282890252215405,0.08878663940013633,20211130,-0.004552838307695374,0.8643641657471604,5769
HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,661,735,292,661,0.8993197278911564,2.2636986301369864,0,2.0,3.0,4.0,13,20211229,0.005719569441615303,174.83833533413366,0.019667170953101363,0.08169440242057488,0.13767019667170954,20211229,-9.285678728489901e-05,0.9954801188695228,648
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,2079,481,328,2079,4.3222453222453225,6.338414634146342,1,3.0,10,15.300000000000011,148,20240807,0.01531450930200327,65.29755412203716,0.07118807118807119,0.21115921115921116,0.29244829244829246,20240807,-0.008868248696759973,0.7422376099933126,1925
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,598,481,254,598,1.2432432432432432,2.354330708661417,1,2.0,4,5.0,10,20240401,0.0061184997930672095,163.4387568555754,0.016722408026755852,0.07190635451505016,0.13210702341137123,20240401,0.0032364890388945056,1.1157309585356716,587
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,79,481,65,79,0.16424116424116425,1.2153846153846153,0,1,1,2.0,3,20230816;20241129,0.017785611280243564,56.22522522522518,0.0379746835443038,0.1518987341772152,0.27848101265822783,20230816,0.02581451760497476,2.1050447899605165,76
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,2543,481,481,2543,5.286902286902287,5.286902286902287,5,5,8,8,11,20230313;20240315;20240515,0.002332666187195653,428.6940006629096,0.004325599685410932,0.020841525756979944,0.039323633503735744,20230313,-0.0017037984134071753,0.9569880134235836,2525
