period,cohort,dimension,observations,largest_key,largest_share,top5_share,unique_groups,mean,median,p90,maximum
HISTORICAL_DISCOVERY,STAGE_A_TOP30,stock,22050,3228,0.00925170068027211,0.03913832199546485,710,,,,
HISTORICAL_DISCOVERY,STAGE_A_TOP30,signal_date,22050,20200102,0.0013605442176870747,0.006802721088435374,735,,,,
HISTORICAL_DISCOVERY,STAGE_A_TOP30,calendar_month,22050,202007,0.031292517006802724,0.15510204081632653,36,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,stock,14430,1519,0.011503811503811504,0.04975744975744976,649,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,signal_date,14430,20230103,0.002079002079002079,0.010395010395010396,481,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STAGE_A_TOP30,calendar_month,14430,202303,0.04781704781704782,0.23076923076923078,24,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,stock,6840,2408,0.01871345029239766,0.08172514619883041,374,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,signal_date,6840,20250102,0.0043859649122807015,0.021929824561403508,228,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STAGE_A_TOP30,calendar_month,6840,202512,0.09649122807017543,0.4605263157894737,12,,,,
HISTORICAL_DISCOVERY,STRONG_GROUP_CONTEXT,stock,8968,3228,0.013157894736842105,0.05229705619982159,559,,,,
HISTORICAL_DISCOVERY,STRONG_GROUP_CONTEXT,signal_date,8968,20200323,0.003345227475468332,0.01672613737734166,676,,,,
HISTORICAL_DISCOVERY,STRONG_GROUP_CONTEXT,calendar_month,8968,202109,0.05575379125780553,0.25278768956289027,36,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STRONG_GROUP_CONTEXT,stock,5518,3363,0.015041681768756796,0.06886553098948894,488,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STRONG_GROUP_CONTEXT,signal_date,5518,20230518,0.005074302283436027,0.023921710764769843,462,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,STRONG_GROUP_CONTEXT,calendar_month,5518,202411,0.07158390721275824,0.3256614715476622,24,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STRONG_GROUP_CONTEXT,stock,2750,5475,0.02109090909090909,0.09454545454545454,270,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STRONG_GROUP_CONTEXT,signal_date,2750,20250505,0.01090909090909091,0.05272727272727273,221,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,STRONG_GROUP_CONTEXT,calendar_month,2750,202504,0.18363636363636363,0.5825454545454546,12,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP15,stock,11025,3228,0.010793650793650795,0.0473469387755102,638,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP15,signal_date,11025,20200102,0.0013605442176870747,0.006802721088435374,735,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP15,calendar_month,11025,202007,0.031292517006802724,0.15510204081632653,36,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP15,stock,7215,1519,0.015107415107415107,0.06916146916146916,546,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP15,signal_date,7215,20230103,0.002079002079002079,0.010395010395010396,481,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP15,calendar_month,7215,202303,0.04781704781704782,0.23076923076923078,24,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP15,stock,3420,4931,0.024269005847953218,0.0956140350877193,316,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP15,signal_date,3420,20250102,0.0043859649122807015,0.021929824561403508,228,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP15,calendar_month,3420,202512,0.09649122807017543,0.4605263157894737,12,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP10,stock,7350,6531,0.011292517006802722,0.049931972789115646,583,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP10,signal_date,7350,20200102,0.0013605442176870747,0.006802721088435374,735,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP10,calendar_month,7350,202007,0.031292517006802724,0.15510204081632653,36,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP10,stock,4810,1519,0.01600831600831601,0.07567567567567568,490,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP10,signal_date,4810,20230103,0.002079002079002079,0.010395010395010396,481,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP10,calendar_month,4810,202303,0.04781704781704782,0.23076923076923078,24,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP10,stock,2280,4931,0.02456140350877193,0.10350877192982456,270,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP10,signal_date,2280,20250102,0.0043859649122807015,0.021929824561403508,228,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP10,calendar_month,2280,202512,0.09649122807017543,0.4605263157894737,12,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP5,stock,3675,6531,0.014421768707482994,0.055782312925170066,491,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP5,signal_date,3675,20200102,0.0013605442176870747,0.006802721088435374,735,,,,
HISTORICAL_DISCOVERY,GROUP_CONTEXT_TOP5,calendar_month,3675,202007,0.031292517006802724,0.15510204081632653,36,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP5,stock,2405,3013,0.019126819126819128,0.08482328482328483,396,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP5,signal_date,2405,20230103,0.002079002079002079,0.010395010395010396,481,,,,
RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,GROUP_CONTEXT_TOP5,calendar_month,2405,202303,0.04781704781704782,0.23076923076923078,24,,,,
STRESS_PREVALENCE_SEEN_NOT_BLIND,GROUP_CONTEXT_TOP5,stock,1140,5475,0.027192982456140352,0.12719298245614036,210,,,,
