discovery_cluster,discovery_rank_within_cluster,stock_id,stock_name,discovery_quality_score,correlation_with_cluster_primary,rank2_correlation_gate_pass,representative_eligible,selection_priority,discovery_selected,average_correlation_at_selection
0,1,1101,台泥,0.6834848484848486,1.0,True,True,CLUSTER_PRIMARY,True,
0,2,2357,華碩,0.6758080808080809,0.2735866524901801,True,True,CLUSTER_SECONDARY,True,0.2779120440979325
1,1,3661,世芯-KY,0.7460606060606061,1.0,True,True,CLUSTER_PRIMARY,True,
1,2,8046,南電,0.7203030303030303,0.3777979471944879,True,True,CLUSTER_SECONDARY,True,0.3111503861511236
2,1,9958,世紀鋼,0.5733333333333334,1.0,True,True,CLUSTER_PRIMARY,True,
2,2,3293,鈊象,0.5193939393939394,0.18424417961081271,True,True,CLUSTER_SECONDARY,False,
3,1,2379,瑞昱,0.7895454545454546,1.0,True,True,CLUSTER_PRIMARY,True,
3,2,2454,聯發科,0.7733333333333333,0.556923720960715,True,True,CLUSTER_SECONDARY,True,0.3310193490105957
4,1,2345,智邦,0.7025252525252526,1.0,True,True,CLUSTER_PRIMARY,True,
4,2,3653,健策,0.6905050505050505,0.35570004156888835,True,True,CLUSTER_SECONDARY,True,0.34560606052018505
5,1,2376,技嘉,0.668939393939394,1.0,True,True,CLUSTER_PRIMARY,True,
5,2,1477,聚陽,0.65,0.2175798818948517,True,True,CLUSTER_SECONDARY,True,0.24836767915536295
6,1,2324,仁寶,0.5474242424242425,1.0,True,True,CLUSTER_PRIMARY,True,
6,2,1216,統一,0.5453535353535354,0.30179433957390006,True,True,CLUSTER_SECONDARY,True,0.22440292104310927
7,1,2308,台達電,0.7248989898989899,1.0,True,True,CLUSTER_PRIMARY,True,
7,2,3017,奇鋐,0.7046969696969697,0.30024310174902546,True,True,CLUSTER_SECONDARY,True,0.2907365158416988
