discovery_selection_order,stock_id,stock_name,discovery_cluster,cluster_descriptive_label,discovery_rank_within_cluster,discovery_quality_score,average_correlation_to_pool,beta_0050,correlation_0050,upside_capture,downside_capture,median_atr14_pct,median_realized_vol20_annualized_pct,median_efficiency20,lag1_daily_return_autocorrelation,idiosyncratic_volatility_annualized_pct,p95_abs_overnight_gap_pct,median_daily_turnover_proxy,median_mfe10_pct_descriptive_only,median_mae10_pct_descriptive_only,plus_8pct_within_10d_close_hit_rate_descriptive_only,minus_5pct_within_10d_close_hit_rate_descriptive_only,future_outcomes_used_for_universe_selection
1,1101,台泥,0,LOW_ATR__LOW_REALIZED_VOL,1,0.6834848484848486,0.2575235190425109,0.5089411311306985,0.48125733484578687,0.4465833099079917,0.5329618866199739,1.3532183295360838,14.691653757046838,0.23854893535382662,0.000223488266018632,19.896629406412377,1.527793461395292,693768814.5,1.5116279069767424,-1.2499999999999956,0.0380952380952381,0.1727891156462585,False
2,3661,世芯-KY,1,HIGH_GAP_RISK__HIGH_ATR,1,0.7460606060606061,0.27796357929708615,1.38502251270968,0.4230487528222352,1.6093425696613348,1.116884005736552,5.870191104442796,64.4918061029227,0.22058135143518923,0.0708169014500324,63.671332933679345,4.708494996936897,2769698880.0,7.203389830508478,-5.4736842105263195,0.47210884353741495,0.5265306122448979,False
3,9958,世紀鋼,2,LOW_MARKET_CORRELATION__LOW_DOWNSIDE_CAPTURE,1,0.5733333333333334,0.1876790760986852,0.4523587395307789,0.23409986994986667,0.36141741684623724,0.25869750117372975,3.661864077388616,36.33711583812039,0.18981351698849272,-0.09644149721710858,40.32191206132098,2.3584905660377253,342188069.0,3.2258064516129004,-3.7623762376237546,0.23129251700680273,0.39183673469387753,False
4,2379,瑞昱,3,HIGH_DOWNSIDE_CAPTURE__HIGH_MARKET_CORRELATION,1,0.7895454545454546,0.36006037063386614,1.1421862197403356,0.6172500783817313,1.2079765698724159,1.163935377984374,3.349568087873648,35.414268053507435,0.246446047964893,-0.020473080818721876,31.2478390110766,2.824406779661018,1161394225.0,3.535353535353525,-3.436426116838487,0.2272108843537415,0.3768707482993197,False
5,2345,智邦,4,HIGH_REALIZED_VOL__HIGH_ATR,1,0.7025252525252526,0.2863675872828055,0.9659095443233087,0.4561712566736465,1.0451163419309661,0.9420932025238501,3.965268466904238,41.55714343448066,0.16923400059085542,0.017291904811836577,40.44305248061404,2.928670428670428,784581457.5,4.093567251461994,-4.0000000000000036,0.2707482993197279,0.4095238095238095,False
6,2376,技嘉,5,LOW_MARKET_CORRELATION__HIGH_AUTOCORRELATION,1,0.668939393939394,0.2649528966389044,0.8271813375298864,0.40474550336741494,0.9460625311891783,0.6489811094844785,3.7450997438259894,40.29949304427995,0.22258600565007794,0.0925713030466393,40.13783190356657,3.2332904756209366,720464944.4,4.071246819338437,-3.307888040712459,0.3103448275862069,0.35724137931034483,False
7,2324,仁寶,6,LOW_BETA__LOW_UPSIDE_CAPTURE,1,0.5474242424242425,0.24922450846810315,0.3582338112560789,0.3567003814263998,0.3434221449572733,0.2992088558354532,1.553681968981035,15.805714306635318,0.2250113861799069,-0.01967228976790618,20.137692303117653,1.310103451831308,295597356.75,1.814058956916087,-1.2903225806451646,0.02312925170068027,0.10748299319727891,False
8,2308,台達電,7,LOW_TREND_EFFICIENCY__LOW_AUTOCORRELATION,1,0.7248989898989899,0.3288672586553602,0.8778968027857773,0.607138250072833,1.0273436470912995,0.8955832042782139,2.7165685642273396,28.70080003594752,0.19752628665641017,-0.015420868859726851,24.66041866034501,2.38009914282764,1524059052.0,2.857142857142847,-2.6104417670682722,0.145578231292517,0.27755102040816326,False
9,2454,聯發科,3,HIGH_DOWNSIDE_CAPTURE__HIGH_MARKET_CORRELATION,2,0.7733333333333333,0.32472070023268534,1.3103199208303757,0.666444950857642,1.3596098123416587,1.2340862861487147,3.111627760747324,35.519006940210865,0.23234935154266698,0.004895208760867342,31.46229418117471,3.529206473847228,5217823002.0,3.6020583190394584,-3.001200480192079,0.24081632653061225,0.33877551020408164,False
10,8046,南電,1,HIGH_GAP_RISK__HIGH_ATR,2,0.7203030303030303,0.30686782193246664,1.309659675855163,0.4687750339601407,1.5881668901174084,1.0408145648547664,5.115097248892594,55.95453653277074,0.2191858403420648,-0.04473584615977548,52.96743495692834,3.9965626652564623,2509175812.0,6.470588235294117,-4.54016298020955,0.4122448979591837,0.47619047619047616,False
