strategy,year,closed_trades,start_equity,end_equity,portfolio_year_return,net_pnl,win_rate,average_net_trade_return,net_profit_factor
STAGE_A_BASELINE,2020,1288,30000.0,58391.07025000017,0.9463690083333391,19441.994150000173,0.3804347826086957,0.014385007384298166,1.375014131630222
STAGE_A_BASELINE,2021,1577,58391.07025000017,95911.36130000044,0.6425689902472742,40692.09305000033,0.35700697526949904,0.013819125217522276,1.357703660742342
STAGE_A_BASELINE,2022,1300,95911.36130000044,66379.18525000066,-0.30791113429853534,-26189.436699999704,0.3176923076923077,-0.010191479068167721,0.7115839000699008
STAGE_A_BASELINE,2023,1555,66379.18525000066,85612.95665000097,0.28975606325327874,16986.26630000033,0.37942122186495175,0.005547336793789525,1.1890858118830132
STAGE_A_BASELINE,2024,1689,85612.95665000097,91752.79420000112,0.0717162190192866,5249.950400000366,0.3475429248075784,0.001551739831137569,1.0440504258933614
STAGE_A_BASELINE,2025,1459,91752.79420000112,93059.47105000149,0.014241275825912059,-1871.4960499996832,0.31939684715558603,-0.0008447273960410485,0.9811652784711283
FOREIGN_POSITIVE_LAG1,2020,1048,30000.0,61203.78530000012,1.0401261766666705,22186.43470000015,0.3816793893129771,0.019376897211561724,1.4900046763432995
FOREIGN_POSITIVE_LAG1,2021,1224,61203.78530000012,102081.04910000037,0.6678878373230319,45064.76590000027,0.3758169934640523,0.01947009152966307,1.485867674191149
FOREIGN_POSITIVE_LAG1,2022,1017,102081.04910000037,80500.54715000054,-0.21140556587402615,-18258.689749999765,0.33136676499508355,-0.009118089030327544,0.754387819336843
FOREIGN_POSITIVE_LAG1,2023,1166,80500.54715000054,102798.19030000072,0.2769874732460129,19774.61905000025,0.3816466552315609,0.008632461407755901,1.2897319351498973
FOREIGN_POSITIVE_LAG1,2024,1296,102798.19030000072,109535.85390000077,0.06554262852621462,5599.800250000286,0.341820987654321,0.0021688477102485074,1.0608448880267471
FOREIGN_POSITIVE_LAG1,2025,1114,109535.85390000077,114011.99005000075,0.04086457530231513,1995.66745000025,0.3348294434470377,0.0007306547403817257,1.0254036427101096
MACD_12_26_9_BULLISH_ABOVE_ZERO,2020,1011,30000.0,54430.76860000017,0.8143589533333391,16252.66010000014,0.3580613254203759,0.015086292855347551,1.366448113099751
MACD_12_26_9_BULLISH_ABOVE_ZERO,2021,1199,54430.76860000017,88497.00310000037,0.6258635579876799,36774.70390000024,0.33611342785654713,0.01726499169444933,1.402311508766001
MACD_12_26_9_BULLISH_ABOVE_ZERO,2022,846,88497.00310000037,66459.5034500005,-0.2490197281042139,-18055.27139999981,0.2990543735224586,-0.010852294051400821,0.7209971497586914
MACD_12_26_9_BULLISH_ABOVE_ZERO,2023,1253,66459.5034500005,80517.26845000075,0.21152377418191715,10814.420600000269,0.35434956105347165,0.0043665441774934505,1.1379678117692171
MACD_12_26_9_BULLISH_ABOVE_ZERO,2024,1319,80517.26845000075,85081.76710000102,0.05668968580118583,4562.339250000281,0.332827899924185,0.0016894573438357863,1.0462715240534832
MACD_12_26_9_BULLISH_ABOVE_ZERO,2025,1081,85081.76710000102,90251.37800000126,0.06076050223456386,2230.0387000002374,0.32192414431082333,0.0008095029204710973,1.028704801988367
KD_9_3_3_K_ABOVE_D_BELOW_80,2020,750,30000.0,55432.687600000136,0.8477562533333378,18549.07855000011,0.38533333333333336,0.022843668738650274,1.5872489980025324
KD_9_3_3_K_ABOVE_D_BELOW_80,2021,858,55432.687600000136,76010.80880000013,0.3712271962797622,24390.540600000182,0.33916083916083917,0.016161131793815495,1.3498264589060947
KD_9_3_3_K_ABOVE_D_BELOW_80,2022,759,76010.80880000013,58911.91635000019,-0.22495343385952649,-16162.106999999845,0.30303030303030304,-0.009737333344695516,0.7340554955173257
KD_9_3_3_K_ABOVE_D_BELOW_80,2023,928,58911.91635000019,66550.08940000039,0.12965412641852003,5775.434600000193,0.35237068965517243,0.0031790390781221986,1.0969474163529875
KD_9_3_3_K_ABOVE_D_BELOW_80,2024,941,66550.08940000039,67574.94675000056,0.015399789230037708,680.2577000002002,0.332624867162593,0.00018465727524514118,1.0093003172513222
KD_9_3_3_K_ABOVE_D_BELOW_80,2025,842,67574.94675000056,70297.92355000075,0.04029565587486261,1222.6431500001854,0.30760095011876487,0.0006841201452933939,1.019855551720588
MACD_AND_KD,2020,554,30000.0,47300.25470000002,0.5766751566666672,11427.436150000074,0.36101083032490977,0.020026695007172843,1.4996119323787922
MACD_AND_KD,2021,632,47300.25470000002,60991.41565000006,0.2894521612375174,17043.555700000124,0.3275316455696203,0.019472802883993754,1.3257687578068948
MACD_AND_KD,2022,493,60991.41565000006,49461.30280000014,-0.1890448471661258,-10363.595099999906,0.28600405679513186,-0.010987072075510572,0.7180002709931732
MACD_AND_KD,2023,733,49461.30280000014,53152.47775000024,0.07462753184900106,1444.3270500001381,0.32060027285129605,0.0018403650531993506,1.032468657853429
MACD_AND_KD,2024,708,53152.47775000024,55175.70345000038,0.03806456040518502,2109.450250000139,0.326271186440678,0.0025011763469797305,1.0401109641659465
MACD_AND_KD,2025,610,55175.70345000038,56602.71045000047,0.02586295979521558,439.13610000011704,0.3016393442622951,0.0009413227908626983,1.010272298948761
FOREIGN_AND_MACD_AND_KD,2020,388,30000.0,47759.63360000004,0.5919877866666678,12097.606650000056,0.37371134020618557,0.029484953811957697,1.7193888557881472
FOREIGN_AND_MACD_AND_KD,2021,454,47759.63360000004,64129.862300000124,0.3427628619830969,19809.591150000088,0.35462555066079293,0.028430789162493877,1.5260823166358142
FOREIGN_AND_MACD_AND_KD,2022,372,64129.862300000124,57910.46390000008,-0.09698131536452759,-5007.199799999925,0.3172043010752688,-0.005929101370751348,0.8249397727870477
FOREIGN_AND_MACD_AND_KD,2023,530,57910.46390000008,64154.23455000022,0.1078176590120552,3851.5929000001115,0.3283018867924528,0.003873487895230526,1.1055465289622306
FOREIGN_AND_MACD_AND_KD,2024,533,64154.23455000022,58936.34760000028,-0.08133347684061676,-4181.261349999888,0.300187617260788,-0.004114780042539137,0.9048039860425983
FOREIGN_AND_MACD_AND_KD,2025,450,58936.34760000028,61913.26890000033,0.05051078699692013,452.9396500000976,0.31555555555555553,0.000877520297585042,1.0127173800388933
