stock_id,stock_name,number_of_stage_a_days,number_of_t1_limit_close,number_of_t1_limit_touch
6226,光鼎,7,5,5
2305,全友,7,4,4
2221,大甲,6,3,4
3229,晟鈦,7,2,2
3441,聯一光,7,2,3
3605,宏致,7,2,2
6426,統新,7,2,2
6933,AMAX-KY,6,2,2
6218,豪勉,4,2,2
6715,嘉基,3,2,3
2351,順德,7,1,1
2426,鼎元,7,1,1
6173,信昌電,7,1,1
6538,倉和,7,1,1
8227,巨有科技,6,1,2
3624,光頡,4,1,1
6620,漢達,3,1,1
1709,和益,2,1,1
3094,聯傑,1,1,1
6168,宏齊,1,1,1
1303,南亞,7,0,0
3055,蔚華科,7,0,1
3234,光環,7,0,1
3374,精材,7,0,0
4908,前鼎,7,0,0
3006,晶豪科,6,0,0
4939,亞電,6,0,0
1815,富喬,5,0,0
3532,台勝科,5,0,0
6141,柏承,5,0,1
4576,大銀微系統,4,0,0
6834,天二科技,4,0,0
7788,松川精密,4,0,0
2434,統懋,3,0,0
6147,頎邦,3,0,0
6588,東典光電,3,0,0
6617,共信-KY,3,0,0
8039,台虹,3,0,0
2481,強茂,2,0,0
5321,美而快,2,0,0
6224,聚鼎,2,0,0
6727,亞泰金屬,2,0,0
2464,盟立,1,0,0
2491,吉祥全,1,0,0
3498,陽程,1,0,0
5464,霖宏,1,0,0
6213,聯茂,1,0,0
6291,沛亨,1,0,0
8103,瀚荃,1,0,0
