stock_id,stock_name,specialist_type,primary_setup_id,primary_setup_family,selection_status,discovery_trades,discovery_net_mean,discovery_net_pf,minimum_annual_day5_net_mean
1101,台泥,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,52,,,
1216,統一,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,51,,,
1477,聚陽,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,48,,,
2308,台達電,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,48,,,
2324,仁寶,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,49,,,
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,DISCOVERY_PRIMARY_FROZEN,31,0.028177466847500287,3.641333094828778,0.01451517282330874
2357,華碩,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,40,,,
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,DISCOVERY_PRIMARY_FROZEN,42,0.012281804666786128,1.586339255971403,-0.0007422619613339372
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,DISCOVERY_PRIMARY_FROZEN,36,0.008382753799139376,1.6637545065703796,0.00055963620992677
2454,聯發科,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,47,,,
3017,奇鋐,REGIME_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,44,,,
3653,健策,REGIME_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,35,,,
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,DISCOVERY_PRIMARY_FROZEN,34,0.011916227833654024,1.3147962229121666,-0.02317512265023156
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,DISCOVERY_PRIMARY_FROZEN,32,0.015037967647834959,1.6530077845489581,0.007921936048905344
9958,世紀鋼,CORE_SPECIALIST,,,NO_DISCOVERY_SETUP_EDGE,49,,,
