stock_id,stock_name,specialist_type,primary_setup_id,primary_setup_family,period,removal_fraction,removed_trade_count,remaining_trade_count,day5_net_mean,day5_net_pf,day5_net_positive_rate
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.0,0,31,0.028177466847500287,3.641333094828779,0.6774193548387096
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.01,1,30,0.023105299579810803,3.096005366332631,0.6666666666666666
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.05,2,29,0.01830355127454987,2.6050659796245452,0.6551724137931034
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.0,0,13,0.009848404998889455,1.4542640361288162,0.6153846153846154
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.01,1,12,0.0006127906396368619,1.0260911049636774,0.5833333333333334
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.05,1,12,0.0006127906396368619,1.0260911049636774,0.5833333333333334
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.0,0,9,0.022259525428821307,1.7554067641880766,0.6666666666666666
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01,1,8,-0.0034720447641769367,0.8952635711919804,0.625
2345,智邦,CORE_SPECIALIST,C2,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.05,1,8,-0.0034720447641769367,0.8952635711919804,0.625
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.0,0,42,0.012281804666786128,1.5863392559714027,0.5952380952380952
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.01,1,41,0.007695914183499623,1.3586588637006705,0.5853658536585366
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,HISTORICAL_DISCOVERY,0.05,3,39,-0.0016502689370653607,0.9268428417337167,0.5641025641025641
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.0,0,27,-0.016050282877076293,0.442632423879757,0.5185185185185185
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.01,1,26,-0.019418483655878678,0.3506424304571615,0.5
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.05,2,25,-0.021985844021791087,0.2930667694610815,0.48
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.0,0,19,-0.006255484174766872,0.7066307999580629,0.5789473684210527
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01,1,18,-0.010721376298520238,0.5236534433914639,0.5555555555555556
2376,技嘉,CORE_SPECIALIST,C1,MEAN_REVERSION,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.05,1,18,-0.010721376298520238,0.5236534433914639,0.5555555555555556
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,HISTORICAL_DISCOVERY,0.0,0,36,0.008382753799139376,1.66375450657038,0.5277777777777778
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,HISTORICAL_DISCOVERY,0.01,1,35,0.005430888091268762,1.4180778596389034,0.5142857142857142
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,HISTORICAL_DISCOVERY,0.05,2,34,0.002549622513537483,1.190665919957581,0.5
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.0,0,30,-0.002985141900650177,0.8513084251439867,0.4666666666666667
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.01,1,29,-0.008085097387150065,0.610700918105607,0.4482758620689655
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.05,2,28,-0.011467729916246014,0.4668669409522075,0.42857142857142855
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.0,0,10,-0.007343603093458949,0.4320872932237601,0.3
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01,1,9,-0.011044664759948948,0.23128131497723375,0.2222222222222222
2379,瑞昱,CORE_SPECIALIST,A1,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.05,1,9,-0.011044664759948948,0.23128131497723375,0.2222222222222222
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,HISTORICAL_DISCOVERY,0.0,0,34,0.011916227833654024,1.314796222912167,0.47058823529411764
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,HISTORICAL_DISCOVERY,0.01,1,33,0.004012959108089202,1.102894099763268,0.45454545454545453
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,HISTORICAL_DISCOVERY,0.05,2,32,-0.0030017890986517833,0.9253651005571332,0.4375
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.0,0,17,-0.00429601932750146,0.867730869016372,0.5294117647058824
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.01,1,16,-0.010784319377776894,0.6874956435700472,0.5
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.05,1,16,-0.010784319377776894,0.6874956435700472,0.5
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.0,0,8,-0.025312877618325007,0.17346514328696783,0.125
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01,1,7,-0.035000342402275,0.0,0.0
3661,世芯-KY,REGIME_SPECIALIST,E1,GAP_BEHAVIOR,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.05,1,7,-0.035000342402275,0.0,0.0
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,HISTORICAL_DISCOVERY,0.0,0,32,0.015037967647834959,1.6530077845489575,0.65625
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,HISTORICAL_DISCOVERY,0.01,1,31,0.009392162451924257,1.3950995396556236,0.6451612903225806
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,HISTORICAL_DISCOVERY,0.05,2,30,0.004914166987771148,1.2000554554273122,0.6333333333333333
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.0,0,5,-0.025854329136139664,0.017383277356419365,0.4
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.01,1,4,-0.03260446073501004,0.008670828554928692,0.25
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,0.05,1,4,-0.03260446073501004,0.008670828554928692,0.25
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.0,0,10,0.010868820716768169,1.4270905278284807,0.5
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.01,1,9,-0.010950398485386025,0.6127334849073008,0.4444444444444444
8046,南電,REGIME_SPECIALIST,A3,BREAKOUT,STRESS_PREVALENCE_SEEN_NOT_BLIND,0.05,1,9,-0.010950398485386025,0.6127334849073008,0.4444444444444444
