stock_id,stock_name,specialist_type,source_discovery_cluster,source_universe_sha256
1101,台泥,CORE_SPECIALIST,0,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
1216,統一,CORE_SPECIALIST,6,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
1477,聚陽,CORE_SPECIALIST,5,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2308,台達電,CORE_SPECIALIST,7,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2324,仁寶,CORE_SPECIALIST,6,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2345,智邦,CORE_SPECIALIST,4,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2357,華碩,CORE_SPECIALIST,0,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2376,技嘉,CORE_SPECIALIST,5,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2379,瑞昱,CORE_SPECIALIST,3,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
2454,聯發科,CORE_SPECIALIST,3,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
3017,奇鋐,REGIME_SPECIALIST,7,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
3653,健策,REGIME_SPECIALIST,4,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
3661,世芯-KY,REGIME_SPECIALIST,1,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
8046,南電,REGIME_SPECIALIST,1,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
9958,世紀鋼,CORE_SPECIALIST,2,6b064cb6180317f7484522b63f8bd3de56160c0e97c30de62ecbf650b8f6b200
