time_slice_type,time_slice,cohort,observations,evaluable_observations,unique_dates,unique_months,unique_stocks,candidates_per_day,candidates_per_month,winner_rate,plus10_before_minus5_rate,plus15_before_minus5_rate,mfe5_mean,mfe10_mean,mfe10_median,mae5_mean,mae10_mean,mfe_abs_mae,day1_return,day3_return,day5_return,day10_return,gross_mean,net_mean,median_net_return,gross_profit_factor,net_profit_factor,universe_winner_rate,universe_plus10_rate,universe_plus15_rate,universe_mfe10_mean,universe_mae10_mean,signal_volatility20_mean,universe_volatility20_mean,signal_atr20_mean,universe_atr20_mean,winner_rate_lift,mfe10_lift_difference,mfe10_lift_multiple,mae10_improvement_vs_universe,top1_positive_net_removed_count,top1_removed_net_mean,top1_removed_net_pf,top1_extreme_mfe_removed_count,top1_extreme_mfe_removed_mean,top1_extreme_mfe_removed_lift,top5_positive_net_removed_count,top5_removed_net_mean,top5_removed_net_pf,top5_extreme_mfe_removed_count,top5_extreme_mfe_removed_mean,top5_extreme_mfe_removed_lift
PERIOD,HISTORICAL_DISCOVERY,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,1391,1383,687,36,547,2.024745269286754,38.638888888888886,0.3665943600867679,0.3022415039768619,0.18799710773680406,0.051045858748627236,0.09529503378035306,0.0608974358974359,-0.047478514353322517,-0.07535454502970272,1.264622243327066,-0.0018078832027205321,0.00032542802694258835,0.005120607482716402,0.014444776424918173,0.004297660733096105,-0.001513945459806052,-0.05637318314907632,1.1092846713641586,0.9643004215535755,0.20566689197829702,0.15389088827587888,0.0798029436660029,0.05093999396166771,-0.050922931331215615,0.04427446389420915,0.02794361487736817,0.06596388742159294,0.04095125973769815,1.7824665728184035,0.044355039818685355,1.870731155799949,-0.024431613698487106,6,-0.0022879877932145557,0.9462821872291478,14,0.08859452977426567,0.037654535812597964,30,-0.005300231660652661,0.8777290387654636,70,0.07353864066703658,0.022598646705368874
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,898,892,455,24,450,1.9736263736263737,37.416666666666664,0.3834080717488789,0.3273542600896861,0.20739910313901344,0.05030108022701971,0.08941964598185997,0.062300194931773856,-0.04075027500887514,-0.06793154518686781,1.3163199178803038,-0.0023964811625314373,0.004453716440311486,0.008127782163360832,0.012684186152805461,0.00688958996376681,0.0010626864375296245,-0.055485727192845766,1.1810347148019849,1.0259172282103366,0.19030997090511814,0.14185595127866388,0.07422875318164737,0.04760372600485094,-0.04401110925836116,0.0411742332307266,0.025849446486206025,0.061981376803487205,0.0378061792461695,2.0146504669481176,0.041815919977009036,1.878416953596193,-0.02392043592850665,5,8.918887642176345e-05,1.0021629818399422,9,0.0842676073200857,0.036663881315234764,21,-0.0029263138199414214,0.9303120620779618,45,0.07171265275203714,0.024108926747186205
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,447,446,224,12,254,1.9955357142857142,37.25,0.3834080717488789,0.32062780269058294,0.21524663677130046,0.05274414186797953,0.08815299270277151,0.0607041782948784,-0.04129822580380397,-0.06628796908294225,1.329849049870133,0.00014952354041109273,0.005353141441780113,0.009417110147529285,0.01460028418344832,0.009609791522014957,0.0037673962741082588,-0.03984599393656949,1.264544758049609,1.0958538714580934,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.04295926128961613,0.028068817168662535,0.06316859412995399,0.03992271864674934,1.885555106068194,0.03756378038904851,1.7425255043723784,-0.01617600604806462,2,0.0029818930917672637,1.0755280956629916,5,0.08335174883430438,0.03276253652058138,10,-8.429890336401456e-05,0.9979032728927179,23,0.07217885895890709,0.02158964664518409
YEAR,2020,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,479,476,227,12,249,2.1101321585903086,39.916666666666664,0.39705882352941174,0.33613445378151263,0.22268907563025211,0.056599038382443984,0.10592115638538631,0.06583717120115584,-0.04443447120138658,-0.07175971680170935,1.4760531549765428,-0.0007329076822756867,0.004813461038315311,0.0109220569748638,0.027223122878842355,0.011420925583218456,0.005568095216268463,-0.02404463277394427,1.31635183776094,1.143019018157293,0.22402529854783007,0.16989139932592684,0.09000124828361003,0.05542697008736245,-0.047211826113326076,0.042263151828534504,0.027300325544958357,0.0623450040141095,0.039371876850689165,1.772383860676514,0.05049418629802386,1.911003906914564,-0.024547890688383277,3,0.004504711290453986,1.1149762894963036,5,0.09942450477000585,0.0439975346826434,12,0.0013886800349215756,1.0347696531639665,24,0.08273843062147757,0.027311460534115116
YEAR,2021,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,454,450,226,12,251,2.0088495575221237,37.833333333333336,0.37555555555555553,0.32,0.21555555555555556,0.05840318646637203,0.10887260244204082,0.06872933396315539,-0.05129634947265937,-0.0812391110050949,1.340150096364458,-0.003636448008788876,0.0011689675358410546,0.010249868781214576,0.019194863966166733,0.0014691581335820204,-0.004326178219218959,-0.058748641011388394,1.0344422537944644,0.9057076963163024,0.22823851953392735,0.17544706835316842,0.09703875630880429,0.05652432471557731,-0.05139075698800174,0.04849706608787017,0.029581941500188693,0.07357691586996623,0.04423680453226137,1.645452118785452,0.05234827772646351,1.9261194713934737,-0.02984835401709316,2,-0.005128954864394498,0.8887074182513465,5,0.10034308851869253,0.043818763803115224,9,-0.007917607655447573,0.8308811983436958,23,0.0836522605028976,0.027127935787320298
YEAR,2022,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,458,457,234,12,239,1.9572649572649572,38.166666666666664,0.32603938730853393,0.24945295404814005,0.12472647702407003,0.038017169517375764,0.07085752774587757,0.05263157894736836,-0.04688975885358493,-0.07330439961963346,0.9666203954134762,-0.0011269952049108858,-0.005179815938960532,-0.005972735061236199,-0.0035421651628931273,-0.0003365797458467874,-0.006121268479665264,-0.057138618393321274,0.991458123073599,0.8563367080632663,0.16079299393706092,0.1124530843999615,0.04907131171205851,0.03988884024141701,-0.0537781993042699,0.04221147386382332,0.02651442286838009,0.06223681017912933,0.03835277613102303,2.0276964768511947,0.03096868750446056,1.776374728295696,-0.019526200315363562,2,-0.006926415369023778,0.8381517103430263,5,0.06680830725911782,0.02691946701770081,10,-0.009960010346407517,0.7713582696176833,23,0.05726611039079871,0.017377270149381695
YEAR,2023,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,450,447,229,12,263,1.965065502183406,37.5,0.3668903803131991,0.2975391498881432,0.19015659955257272,0.04706171766214753,0.08191264762651858,0.05164319248826299,-0.036722135095075,-0.060552473251178754,1.3527547799201416,-0.0021313385834182312,0.0050780902861733805,0.008393737531712868,0.011886724066667893,0.0071889230044624094,0.0013602196957222539,-0.047717633208188066,1.1989738239744503,1.0347881216782133,0.18439071989771025,0.1365181110045593,0.06944093945052911,0.04619317696807214,-0.038511780502685215,0.038257700081354935,0.024075502568000416,0.05765890886635322,0.035221710351054265,1.9897442806054966,0.03571947065844644,1.7732629146320693,-0.02204069274849354,2,0.0005944602033881708,1.015135514726279,5,0.07703082861238349,0.030837651644311348,10,-0.0023813389844807875,0.940458872143703,23,0.06606415389137549,0.01987097692330335
YEAR,2024,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,448,445,226,12,264,1.9823008849557522,37.333333333333336,0.4,0.35730337078651686,0.2247191011235955,0.053555001724767716,0.09696038365565232,0.06956521739130439,-0.044796518922287865,-0.07534378149080716,1.2869062547316217,-0.0026628153936856013,0.003826536419861447,0.00786063148998249,0.013485232338206574,0.006588911606034374,0.0007638159512102866,-0.05610888515220076,1.1647551910218061,1.0177985047389284,0.19536350121729637,0.14641310514711692,0.07831632469854859,0.04880797503994923,-0.04870613309307634,0.04410387439425275,0.027363942045109852,0.06632327156281057,0.04001265636396723,2.0474653530860567,0.04815240861570309,1.9865684568206414,-0.02663764839773082,3,-0.0004195118939403434,0.9902904001649055,5,0.09086051157469167,0.042052536534742446,11,-0.0034638645755188458,0.9212799397766689,23,0.07696041823234188,0.028152443192392657
YEAR,2025,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,447,446,224,12,254,1.9955357142857142,37.25,0.3834080717488789,0.32062780269058294,0.21524663677130046,0.05274414186797953,0.08815299270277151,0.0607041782948784,-0.04129822580380397,-0.06628796908294225,1.329849049870133,0.00014952354041109273,0.005353141441780113,0.009417110147529285,0.01460028418344832,0.009609791522014957,0.0037673962741082588,-0.03984599393656949,1.264544758049609,1.0958538714580934,0.20333962689023227,0.15414595278100154,0.0815852834698862,0.050589212313723,-0.05011196303487763,0.04295926128961613,0.028068817168662535,0.06316859412995399,0.03992271864674934,1.885555106068194,0.03756378038904851,1.7425255043723784,-0.01617600604806462,2,0.0029818930917672637,1.0755280956629916,5,0.08335174883430438,0.03276253652058138,10,-8.429890336401456e-05,0.9979032728927179,23,0.07217885895890709,0.02158964664518409
OVERALL,2020_2025,TWO_STAGE_TOP5_10D_COOLDOWN_TRADE_PROXY,2736,2721,1366,72,896,2.0029282576866763,38.0,0.3748621830209482,0.3134876883498714,0.1988239617787578,0.051080071108038194,0.09219830601965581,0.0608974358974359,-0.044259845412369804,-0.07143502693633119,1.2906596381888478,-0.0016799985914432898,0.0025028603855396458,0.006810662610846272,0.013893107897751658,0.006018061764193523,0.00019639414539394972,-0.05571453249012647,1.1566476563289976,1.0047394061265922,0.19963761561329713,0.1495077754527312,0.07804654303243369,0.04965560516208523,-0.04824817780430809,0.04304256896092178,0.027194213178637607,0.06420016074778873,0.039625695352509475,1.8777131848091457,0.04254270085757058,1.856755258921993,-0.023186849132023103,12,-0.0005854976464022279,0.985933015614589,28,0.08618537229428043,0.0365297671321952,60,-0.003607963155920309,0.9148521247488137,137,0.07270119941390547,0.02304559425182024
