time_slice_type,time_slice,ranking_mode,opportunities,opportunities_per_month,active_dates,active_dates_per_month,median_opportunities_per_day,p90_opportunities_per_day,maximum_opportunities_per_day
PERIOD,HISTORICAL_DISCOVERY,RAW_TWO_STAGE_TOP5,3675,102.08333333333333,735,20.416666666666668,5.0,5.0,5
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,RAW_TWO_STAGE_TOP5,2405,100.20833333333333,481,20.041666666666668,5.0,5.0,5
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,RAW_TWO_STAGE_TOP5,1215,101.25,243,20.25,5.0,5.0,5
YEAR,2020,RAW_TWO_STAGE_TOP5,1225,102.08333333333333,245,20.416666666666668,5.0,5.0,5
YEAR,2021,RAW_TWO_STAGE_TOP5,1220,101.66666666666667,244,20.333333333333332,5.0,5.0,5
YEAR,2022,RAW_TWO_STAGE_TOP5,1230,102.5,246,20.5,5.0,5.0,5
YEAR,2023,RAW_TWO_STAGE_TOP5,1195,99.58333333333333,239,19.916666666666668,5.0,5.0,5
YEAR,2024,RAW_TWO_STAGE_TOP5,1210,100.83333333333333,242,20.166666666666668,5.0,5.0,5
YEAR,2025,RAW_TWO_STAGE_TOP5,1215,101.25,243,20.25,5.0,5.0,5
OVERALL,2020_2025,RAW_TWO_STAGE_TOP5,7295,101.31944444444444,1459,20.26388888888889,5.0,5.0,5
PERIOD,HISTORICAL_DISCOVERY,10D_COOLDOWN_TRADE_PROXY,1391,38.638888888888886,687,19.083333333333332,2.0,3.0,5
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,10D_COOLDOWN_TRADE_PROXY,898,37.416666666666664,455,18.958333333333332,2.0,3.0,5
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,10D_COOLDOWN_TRADE_PROXY,447,37.25,224,18.666666666666668,2.0,3.0,4
YEAR,2020,10D_COOLDOWN_TRADE_PROXY,479,39.916666666666664,227,18.916666666666668,2.0,3.0,5
YEAR,2021,10D_COOLDOWN_TRADE_PROXY,454,37.833333333333336,226,18.833333333333332,2.0,3.0,4
YEAR,2022,10D_COOLDOWN_TRADE_PROXY,458,38.166666666666664,234,19.5,2.0,3.0,5
YEAR,2023,10D_COOLDOWN_TRADE_PROXY,450,37.5,229,19.083333333333332,2.0,3.0,5
YEAR,2024,10D_COOLDOWN_TRADE_PROXY,448,37.333333333333336,226,18.833333333333332,2.0,3.0,5
YEAR,2025,10D_COOLDOWN_TRADE_PROXY,447,37.25,224,18.666666666666668,2.0,3.0,4
OVERALL,2020_2025,10D_COOLDOWN_TRADE_PROXY,2736,38.0,1366,18.97222222222222,2.0,3.0,5
