analysis_scope,group,metric,cluster_unit,seed,observations,clusters,bootstrap_reps,point_mean,mean_ci_low,mean_ci_high,point_profit_factor,profit_factor_ci_low,profit_factor_ci_high
Overall,All,net_return_slippage_0_1,signal_date,14740607568181067637,2385,571,5000,-0.0017326267802338054,-0.005351646719479017,0.0019738254347282237,0.9398527258593435,0.8214044748014581,1.0713430963698407
Overall,All,net_return_slippage_0_1,month,7422168472854542008,2385,50,5000,-0.0017326267802338054,-0.006614065698745093,0.0025773749848604227,0.9398527258593448,0.7822354964555915,1.0937175926308513
Year,2022,net_return_slippage_0_1,signal_date,13399151329551985712,229,63,5000,-0.002656626113199513,-0.012024841664104106,0.00613421952283944,0.8939412666523947,0.5788758346705766,1.2814959208836632
Year,2022,net_return_slippage_0_1,month,6844396409209904104,229,9,5000,-0.002656626113199513,-0.021993967396406126,0.008980134655308204,0.8939412666523943,0.3438689184212881,1.4654879820327045
Year,2023,net_return_slippage_0_1,signal_date,16637362897265855041,648,126,5000,-0.0046902959713144305,-0.01067816934795674,0.0010641708880486968,0.8167441775685391,0.6170653314645534,1.0455432796081094
Year,2023,net_return_slippage_0_1,month,14381056480967736442,648,11,5000,-0.0046902959713144305,-0.011564581656346877,0.0018211892512658239,0.8167441775685387,0.6047366331810405,1.081809176645019
Year,2024,net_return_slippage_0_1,signal_date,11552967599973757734,597,143,5000,-0.0008653841734882398,-0.008565022614279412,0.007405735209097157,0.9707541318441458,0.7313325939226526,1.2714448369299123
Year,2024,net_return_slippage_0_1,month,18371853075398916373,597,12,5000,-0.0008653841734882398,-0.012218168837736054,0.007253477905042764,0.970754131844146,0.6332235537496009,1.2682905777040925
Year,2025,net_return_slippage_0_1,signal_date,12793607116681569305,490,140,5000,0.0021603305439814157,-0.005857730671967243,0.010020330465248894,1.0729952665542473,0.814925595730126,1.365898810812439
Year,2025,net_return_slippage_0_1,month,15026157020362354429,490,10,5000,0.0021603305439814157,-0.006310851842579664,0.008905440511556497,1.0729952665542482,0.8076568397114671,1.3255305405888282
Year,2026,net_return_slippage_0_1,signal_date,1959222739635411927,421,99,5000,-0.0024383926757757753,-0.012858575839116771,0.008612262105161172,0.9277834361150472,0.6527949417150452,1.2807770079250311
Year,2026,net_return_slippage_0_1,month,4359270301397349446,421,8,5000,-0.0024383926757757753,-0.021231786399687848,0.01141632405705028,0.9277834361150471,0.4893250851678412,1.383607102658584
Breakout Type,Pre-breakout,net_return_slippage_0_1,signal_date,14603636013825485762,552,361,5000,-0.004061457020080367,-0.010328364907704295,0.002505194051675096,0.8666995297433885,0.6787976668106993,1.0883534245602793
Breakout Type,Pre-breakout,net_return_slippage_0_1,month,8417006549139438944,552,47,5000,-0.004061457020080367,-0.01129422268377916,0.0027850608763138754,0.866699529743389,0.6564704639796496,1.0988950722850972
Breakout Type,Breakout,net_return_slippage_0_1,signal_date,4359070962793800752,1347,504,5000,-0.0024756146857792824,-0.006842988995525145,0.0019272166811185078,0.909211267053554,0.7605255871098426,1.0741659157247083
Breakout Type,Breakout,net_return_slippage_0_1,month,5955846412356540187,1347,50,5000,-0.0024756146857792824,-0.007319917303771893,0.0018115990540926554,0.9092112670535538,0.7498056396471886,1.0708364174731455
Breakout Type,Extended Breakout,net_return_slippage_0_1,signal_date,13683098566884527729,486,303,5000,0.0029717333044679607,-0.00513228475858833,0.011067638051027957,1.0953000940279591,0.8463871417404519,1.3831870872437564
Breakout Type,Extended Breakout,net_return_slippage_0_1,month,17984431366876655200,486,48,5000,0.0029717333044679607,-0.005752391959189646,0.011561982466113748,1.095300094027958,0.8312579725487558,1.3985236157530863
Exit Reason,Close Confirmed Stop,net_return_slippage_0_1,signal_date,4845817743375518149,993,428,5000,-0.055555160048833936,-0.057401615579867914,-0.05376277608796076,0.0017366862528968411,0.0004128342459427686,0.0034764883176129253
Exit Reason,Close Confirmed Stop,net_return_slippage_0_1,month,7986992297411967132,993,50,5000,-0.055555160048833936,-0.05769721285263953,-0.05352091926727653,0.0017366862528968403,0.00046897590215043335,0.0032392106051688917
Exit Reason,Day 5 Weakness,net_return_slippage_0_1,signal_date,12619811493199249284,433,268,5000,-0.02274959286306692,-0.024443437568345383,-0.021138795101591935,0.015666784051874775,0.008857538366934146,0.024077366005633215
Exit Reason,Day 5 Weakness,net_return_slippage_0_1,month,241377940498744518,433,49,5000,-0.02274959286306692,-0.024304950598381277,-0.02131570892718515,0.015666784051874775,0.009002223469734292,0.023021928456797774
Exit Reason,Trailing Stop,net_return_slippage_0_1,signal_date,9398632549263250780,402,268,5000,0.055045229853468804,0.04738680825971124,0.06291628125601348,14.013936776709489,10.32387119362013,19.540053280437014
Exit Reason,Trailing Stop,net_return_slippage_0_1,month,4168483737771747038,402,45,5000,0.055045229853468804,0.04462355251558366,0.06623924314853057,14.013936776709512,9.369998758944357,21.295874998050973
Exit Reason,Day 8 Time Stop,net_return_slippage_0_1,signal_date,3341220624006253207,557,328,5000,0.06958052130385635,0.06191917839052545,0.07741226950417544,23.35949329752953,17.596360008415097,31.981004035140984
Exit Reason,Day 8 Time Stop,net_return_slippage_0_1,month,7631179771374767904,557,47,5000,0.06958052130385635,0.06149181170979281,0.0784476606301655,23.359493297529532,18.383022483200484,30.565392843131793
Forward Return,Day 1,forward_1d_close_return,signal_date,1624181214128488521,2402,573,5000,-0.0022295295078299795,-0.003856588678381226,-0.0006072140803295174,0.8324658726267198,0.7260676961015771,0.9508413168880664
Forward Return,Day 1,forward_1d_close_return,month,7654695833658014407,2402,50,5000,-0.0022295295078299795,-0.0038674956718813026,-0.0006341045380088043,0.8324658726267178,0.7276441799437211,0.9490267816102294
Forward Return,Day 3,forward_3d_close_return,signal_date,7689790460257942543,2391,571,5000,-0.0016526916493110886,-0.004867191904604042,0.0013678361468491026,0.9300940732870351,0.8068746973824228,1.0619644155923187
Forward Return,Day 3,forward_3d_close_return,month,454528716561453679,2391,50,5000,-0.0016526916493110886,-0.0053830139075691326,0.0016906827994648994,0.9300940732870355,0.789511600619179,1.0753238332147168
Forward Return,Day 5,forward_5d_close_return,signal_date,8945029489417115034,2385,569,5000,-0.0001815058036205288,-0.004047312141091256,0.0038256485115669594,0.9934745134258788,0.8624968743975512,1.145777415500144
Forward Return,Day 5,forward_5d_close_return,month,9783086852789001155,2385,50,5000,-0.0001815058036205288,-0.005405050151062474,0.004703577937447681,0.99347451342588,0.8225552512557677,1.184491071016866
Forward Return,Day 8,forward_8d_close_return,signal_date,1485270340205709815,2375,567,5000,0.0067786547352521745,0.0018689178060609217,0.011702313589988944,1.2131007579660915,1.0546086935111658,1.3909504802692092
Forward Return,Day 8,forward_8d_close_return,month,12670692696067293149,2375,50,5000,0.0067786547352521745,-0.000982556191381785,0.01364020770713584,1.2131007579660902,0.9724100684132339,1.470149442878195
Year Forward Day 8,2022,forward_8d_close_return,signal_date,12979088244807082116,229,63,5000,0.004084123065528106,-0.009976240267721936,0.016656783406956106,1.1470802252618892,0.7169198823927129,1.764754733095531
Year Forward Day 8,2022,forward_8d_close_return,month,5558995106630587332,229,9,5000,0.004084123065528106,-0.028933279500070207,0.020552821387317483,1.1470802252618886,0.35477771800898267,2.094484004926528
Year Forward Day 8,2023,forward_8d_close_return,signal_date,16077505273109167910,648,126,5000,0.004041998878923853,-0.0031214870283172245,0.011677978472618592,1.1598414948638074,0.888012065154615,1.5220949089844236
Year Forward Day 8,2023,forward_8d_close_return,month,11274043363845376739,648,11,5000,0.004041998878923853,-0.006503240142492124,0.014088831982742037,1.1598414948638078,0.7987796444221148,1.7216715269609033
Year Forward Day 8,2024,forward_8d_close_return,signal_date,5936865054743524737,597,143,5000,0.005757847065804287,-0.005107181360822155,0.01612414190952781,1.1682396609727335,0.8683137070847012,1.5428337822830347
Year Forward Day 8,2024,forward_8d_close_return,month,14090490794630413432,597,12,5000,0.005757847065804287,-0.015343914844628891,0.020066597508490852,1.1682396609727341,0.6597460631798472,1.7554278165318298
Year Forward Day 8,2025,forward_8d_close_return,signal_date,15197931570459859211,488,140,5000,0.007512100983734493,-0.0034791642823092865,0.019111036952697415,1.2186606047936426,0.9081641502164309,1.6264937331909364
Year Forward Day 8,2025,forward_8d_close_return,month,8527266768192002588,488,10,5000,0.007512100983734493,-0.007790579857405772,0.019130594698079345,1.2186606047936435,0.815671039968482,1.6647960620827609
Year Forward Day 8,2026,forward_8d_close_return,signal_date,15033848115010809533,413,95,5000,0.013175509836144619,-0.0013126577014079864,0.027471492267612387,1.3486878908561586,0.9701637187555142,1.8516757996315976
Year Forward Day 8,2026,forward_8d_close_return,month,14375940440742819572,413,8,5000,0.013175509836144619,-0.01197676441760782,0.03066243749264266,1.3486878908561597,0.7527623486796111,1.9426570264145318
Breakout Forward Day 8,Pre-breakout,forward_8d_close_return,signal_date,6654051766898257178,549,359,5000,0.007378917573743406,-0.0012940919626162988,0.01622556162535585,1.2157648792758997,0.9662812081386446,1.5209624914016784
Breakout Forward Day 8,Pre-breakout,forward_8d_close_return,month,17064363732451843894,549,47,5000,0.007378917573743406,-0.004064407403093051,0.017863714237520003,1.2157648792759004,0.8948683598257934,1.5895332685585553
Breakout Forward Day 8,Breakout,forward_8d_close_return,signal_date,1936648952522228064,1342,501,5000,0.0045586803209785995,-0.0010537282212892568,0.010366314668872396,1.1526109104904012,0.9673431111823113,1.3760346167929325
Breakout Forward Day 8,Breakout,forward_8d_close_return,month,4550355800168635449,1342,50,5000,0.0045586803209785995,-0.0027408112195942335,0.010902837561778263,1.152610910490403,0.9203189938200624,1.4125575765981424
Breakout Forward Day 8,Extended Breakout,forward_8d_close_return,signal_date,16623279498052666794,484,301,5000,0.012253161689019632,0.0019782083930913966,0.022519808275024797,1.35543154103585,1.0510755879520992,1.7275452592653493
Breakout Forward Day 8,Extended Breakout,forward_8d_close_return,month,9956376026547749592,484,48,5000,0.012253161689019632,-0.0006893106394504946,0.025683007371059594,1.3554315410358488,0.9822331725879498,1.8167762003878616
