scenario,exit_reason,sample_size,win_rate,average_return,median_return,profit_factor,average_mfe,average_mae,average_holding_days,average_post_exit_5d_max_return
Gross,Close Confirmed Stop,993,0.013091641490433032,-0.050058270532537655,-0.0487804878048782,0.003160392583566015,0.01976021603528335,-0.0610422952134305,2.6435045317220545,0.0538511473522678
Gross,Day 5 Weakness,433,0.10854503464203233,-0.017054895045645457,-0.015280135823429575,0.0490818192644649,0.028422622212476784,-0.03799939012926842,5.0,0.0505688550387475
Gross,Day 8 Time Stop,557,0.8348294434470377,0.075809271676989,0.0490196078431373,36.94977094842847,0.11402270647529616,-0.02143764979670947,8.0,0.05464922849679462
Gross,Trailing Stop,402,0.8283582089552238,0.06118716574254616,0.043165467625899234,20.212530696534536,0.16302489199137948,-0.021510107383140017,4.833333333333333,0.08072077375244686
Net 0% slippage,Close Confirmed Stop,993,0.010070493454179255,-0.0536649520114918,-0.05239734710490164,0.002123361590317613,0.01976021603528335,-0.0610422952134305,2.6435045317220545,0.0538511473522678
Net 0% slippage,Day 5 Weakness,433,0.08083140877598152,-0.02079407414067662,-0.01903785727488112,0.023489541387541762,0.028422622212476784,-0.03799939012926842,5.0,0.0505688550387475
Net 0% slippage,Day 8 Time Stop,557,0.822262118491921,0.07172272867793157,0.045033333333333335,27.107131960706024,0.11402270647529616,-0.02143764979670947,8.0,0.05464922849679462
Net 0% slippage,Trailing Stop,402,0.8159203980099502,0.05715841881314286,0.039212285359768395,15.869499769601163,0.16302489199137948,-0.021510107383140017,4.833333333333333,0.08072077375244686
Net 0.1% one-way slippage,Close Confirmed Stop,993,0.007049345417925478,-0.055555160048833936,-0.05426410644893399,0.0017366862528968398,0.01976021603528335,-0.0610422952134305,2.6435045317220545,0.0538511473522678
Net 0.1% one-way slippage,Day 5 Weakness,433,0.06004618937644342,-0.02274959286306692,-0.020989009418465238,0.01566678405187475,0.028422622212476784,-0.03799939012926842,5.0,0.0505688550387475
Net 0.1% one-way slippage,Day 8 Time Stop,557,0.8043087971274686,0.06958052130385635,0.042962038815571625,23.3594932975295,0.11402270647529616,-0.02143764979670947,8.0,0.05464922849679462
Net 0.1% one-way slippage,Trailing Stop,402,0.7960199004975125,0.055045229853468804,0.03713281973572859,14.013936776709494,0.16302489199137948,-0.021510107383140017,4.833333333333333,0.08072077375244686
