stock_id,signal_date,status,cancel_reason,entry_date,exit_date,exit_trigger_date
1101,20230223,entered,,20230224,20230302,20230301
1101,20240522,entered,,20240523,20240530,20240529
1101,20240927,entered,,20240930,20241009,20241008
1101,20250220,entered,,20250221,20250305,20250305
1101,20260112,entered,,20260113,20260122,20260122
1101,20260119,skipped,Existing Position,,,
1102,20221114,entered,,20221115,20221124,20221124
1102,20231115,entered,,20231116,20231127,20231127
1102,20240703,entered,,20240704,20240711,20240710
1102,20250520,entered,,20250521,20250523,20250522
1102,20260820,censored,Insufficient Future Data,20260821,,
1104,20230612,entered,,20230613,20230620,20230619
1210,20250627,entered,,20250630,20250707,20250704
1216,20230619,entered,,20230620,20230627,20230626
1216,20240220,entered,,20240221,20240229,20240227
1216,20250519,entered,,20250520,20250527,20250526
1216,20251226,entered,,20251229,20260102,20251231
1218,20221130,entered,,20221201,20221206,20221205
1301,20240927,entered,,20240930,20241009,20241008
1301,20250717,entered,,20250718,20250729,20250729
1301,20250718,skipped,Existing Position,,,
1301,20250723,skipped,Existing Position,,,
1301,20251023,entered,,20251027,20251103,20251031
1301,20260127,entered,,20260128,20260202,20260130
1301,20260603,entered,,20260604,20260608,20260605
1301,20260703,entered,,20260706,20260708,20260707
1301,20260827,censored,Insufficient Future Data,20260828,,
1303,20230130,entered,,20230131,20230206,20230203
1303,20231115,entered,,20231116,20231127,20231127
1303,20231121,skipped,Existing Position,,,
1303,20250724,entered,,20250725,20250805,20250804
1303,20250725,skipped,Existing Position,,,
1303,20260108,entered,,20260109,20260112,20260109
1303,20260602,cancelled,Gap >5%,,,
1304,20230110,entered,,20230111,20230201,20230201
1305,20230110,entered,,20230111,20230201,20230201
1307,20250221,entered,,20250224,20250303,20250227
1307,20250224,skipped,Existing Position,,,
1316,20220118,entered,,20220119,20220121,20220120
1319,20220530,entered,,20220531,20220610,20220610
1319,20220818,entered,,20220819,20220826,20220825
1319,20221201,entered,,20221202,20221208,20221207
1319,20230517,entered,,20230518,20230525,20230524
1319,20230605,entered,,20230606,20230607,20230606
1319,20230613,entered,,20230614,20230628,20230627
1319,20230727,entered,,20230728,20230807,20230804
1319,20240125,entered,,20240126,20240202,20240201
1319,20250723,entered,,20250724,20250731,20250730
1319,20260115,entered,,20260116,20260127,20260127
1319,20260603,entered,,20260604,20260615,20260612
1324,20231208,entered,,20231211,20231213,20231212
1326,20221111,entered,,20221114,20221121,20221118
1326,20230109,entered,,20230110,20230112,20230111
1326,20250718,entered,,20250721,20250730,20250729
1326,20250723,skipped,Existing Position,,,
1326,20250812,entered,,20250813,20250820,20250819
1326,20260127,entered,,20260128,20260202,20260130
1326,20260226,entered,,20260302,20260303,20260302
1326,20260603,entered,,20260604,20260608,20260605
1326,20260625,entered,,20260626,20260629,20260626
1402,20221114,entered,,20221115,20221116,20221115
1402,20240229,entered,,20240301,20240308,20240307
1402,20240516,entered,,20240517,20240521,20240520
1402,20260126,entered,,20260127,20260202,20260130
1402,20260820,entered,,20260821,20260828,20260827
1402,20260821,skipped,Existing Position,,,
1442,20240429,entered,,20240430,20240510,20240509
1449,20231128,entered,,20231129,20231201,20231130
1453,20220822,entered,,20220823,20220825,20220824
1477,20220812,entered,,20220815,20220822,20220819
1477,20230616,entered,,20230619,20230620,20230619
1477,20230621,entered,,20230626,20230705,20230705
1477,20240715,entered,,20240716,20240723,20240722
1503,20230714,entered,,20230717,20230719,20230718
1503,20240314,entered,,20240315,20240326,20240326
1503,20260119,entered,,20260120,20260126,20260123
1503,20260120,skipped,Existing Position,,,
1504,20230323,entered,,20230324,20230407,20230407
1504,20230519,entered,,20230522,20230529,20230526
1504,20240216,entered,,20240219,20240229,20240229
1504,20240306,entered,,20240307,20240314,20240313
1504,20240318,entered,,20240319,20240328,20240328
1504,20240319,skipped,Existing Position,,,
1504,20240321,skipped,Existing Position,,,
1504,20240607,entered,,20240611,20240618,20240617
1504,20241007,entered,,20241008,20241014,20241011
1504,20250818,entered,,20250819,20250827,20250826
1504,20260813,entered,,20260814,20260825,20260825
1513,20220810,entered,,20220811,20220818,20220817
1513,20230215,entered,,20230216,20230301,20230301
1513,20230411,entered,,20230412,20230419,20230418
1513,20230412,skipped,Existing Position,,,
1513,20230620,entered,,20230621,20230629,20230628
1513,20231123,entered,,20231124,20231205,20231205
1513,20231128,skipped,Existing Position,,,
1513,20231204,skipped,Existing Position,,,
1513,20240226,entered,,20240227,20240311,20240308
1513,20250516,entered,,20250519,20250528,20250528
1513,20250829,entered,,20250901,20250902,20250901
1513,20260122,entered,,20260123,20260128,20260127
1513,20260526,entered,,20260527,20260603,20260602
1513,20260813,entered,,20260814,20260820,20260819
1514,20220606,entered,,20220607,20220609,20220608
1514,20220607,skipped,Existing Position,,,
1514,20230131,entered,,20230201,20230203,20230202
1514,20230220,entered,,20230221,20230301,20230224
1514,20230221,skipped,Existing Position,,,
1514,20230605,entered,,20230606,20230607,20230606
1514,20231204,entered,,20231205,20231214,20231214
1514,20231208,skipped,Existing Position,,,
1514,20240223,entered,,20240226,20240307,20240307
1514,20250829,entered,,20250901,20250902,20250901
1514,20251212,entered,,20251215,20251217,20251216
1514,20260120,entered,,20260121,20260128,20260127
1515,20230914,entered,,20230915,20230919,20230918
1515,20231114,entered,,20231115,20231124,20231124
1515,20231117,skipped,Existing Position,,,
1519,20220406,entered,,20220407,20220408,20220407
1519,20230217,entered,,20230220,20230303,20230303
1519,20230308,entered,,20230309,20230314,20230313
1519,20230309,skipped,Existing Position,,,
1519,20231207,entered,,20231208,20231212,20231211
1522,20230614,entered,,20230615,20230628,20230628
1522,20230615,skipped,Existing Position,,,
1522,20240219,entered,,20240220,20240301,20240301
1522,20240222,skipped,Existing Position,,,
1522,20240226,skipped,Existing Position,,,
1522,20240619,entered,,20240620,20240701,20240701
1524,20220802,entered,,20220803,20220804,20220803
1524,20221114,entered,,20221115,20221122,20221121
1524,20240216,entered,,20240219,20240226,20240223
1524,20240227,entered,,20240229,20240306,20240305
1524,20240401,entered,,20240402,20240411,20240410
1524,20240920,entered,,20240923,20241004,20241004
1524,20241212,entered,,20241213,20241216,20241213
1528,20251230,cancelled,Gap >5%,,,
1528,20260603,cancelled,Below Signal Low,,,
1529,20230220,entered,,20230221,20230301,20230224
1529,20230414,entered,,20230417,20230421,20230420
1529,20230418,skipped,Existing Position,,,
1529,20240325,entered,,20240326,20240328,20240327
1532,20240412,entered,,20240415,20240424,20240424
1533,20230621,entered,,20230626,20230627,20230626
1536,20240712,entered,,20240715,20240718,20240717
1536,20241107,entered,,20241108,20241113,20241112
1536,20250218,entered,,20250219,20250303,20250227
1536,20250811,entered,,20250812,20250821,20250821
1539,20220819,entered,,20220822,20220831,20220831
1560,20220530,entered,,20220531,20220606,20220602
1560,20230613,entered,,20230614,20230621,20230620
1560,20230914,entered,,20230915,20230920,20230919
1560,20231103,entered,,20231106,20231108,20231107
1560,20240131,entered,,20240201,20240221,20240221
1560,20240401,entered,,20240402,20240403,20240402
1560,20240529,entered,,20240530,20240603,20240531
1560,20240530,skipped,Existing Position,,,
1560,20241017,entered,,20241018,20241021,20241018
1560,20250513,entered,,20250514,20250523,20250523
1560,20250515,skipped,Existing Position,,,
1560,20250616,entered,,20250617,20250619,20250618
1560,20250625,entered,,20250626,20250630,20250627
1560,20251205,entered,,20251208,20251217,20251217
1560,20251208,skipped,Existing Position,,,
1560,20251212,skipped,Existing Position,,,
1569,20240925,entered,,20240926,20240927,20240926
1569,20250618,entered,,20250619,20250623,20250620
1569,20250619,skipped,Existing Position,,,
1569,20250908,entered,,20250909,20250912,20250911
