year,scenario,total_signals,actual_entries,cancelled_entries,censored_entries,skipped_existing_position,cancel_below_signal_low,cancel_gap_over_5pct,trades,win_rate,average_return,median_return,average_win,average_loss,payoff_ratio,profit_factor,expectancy,max_win,max_loss,average_holding_days,median_holding_days,average_mfe,average_mae
2022,Gross,294,229,5,0,60,2,3,229,0.38427947598253276,0.00314926593591432,-0.008219178082191747,0.06432163773665182,-0.0365860905296369,1.7580899408901722,1.1460141836913722,0.00314926593591432,0.30030959752321995,-0.16296296296296298,5.152838427947598,5,0.059907287250134736,-0.03630485271022062
2022,Net 0% slippage,294,229,5,0,60,2,3,229,0.37117903930131,-0.0006602480733839159,-0.011985256100205123,0.062435084202808466,-0.03790402059752525,1.6471889582838832,0.972299037875903,-0.0006602480733839159,0.2953538937651736,-0.16613301314121806,5.152838427947598,5,0.059907287250134736,-0.03630485271022062
2022,Net 0.1% one-way slippage,294,229,5,0,60,2,3,229,0.35807860262008734,-0.002656626113199513,-0.013962282944381635,0.06253377072563872,-0.03902133727500043,1.602553246315878,0.8939412666523943,-0.002656626113199513,0.29275652264375673,-0.16780158050271266,5.152838427947598,5,0.059907287250134736,-0.03630485271022062
2023,Gross,836,648,12,0,176,5,7,648,0.36574074074074076,0.0011060139280531433,-0.012519592476489039,0.06314392212288762,-0.03553220079238387,1.7770900961592613,1.0503001316452496,0.0011060139280531433,0.30582524271844647,-0.11199999999999999,4.970679012345679,5.0,0.058398256789230836,-0.03597340185167536
2023,Net 0% slippage,836,648,12,0,176,5,7,648,0.35185185185185186,-0.002697381981336729,-0.01628262701079866,0.06149819356265598,-0.037546408705218484,1.6379247891718733,0.8891591712647317,-0.002697381981336729,0.3008705041725544,-0.11538717846194856,4.970679012345679,5.0,0.058398256789230836,-0.03597340185167536
2023,Net 0.1% one-way slippage,836,648,12,0,176,5,7,648,0.3395061728395062,-0.0046902959713144305,-0.018253574456562793,0.061571656667054,-0.03875017816860662,1.5889386727242498,0.8167441775685393,-0.0046902959713144305,0.29826064856129375,-0.1171714625942716,4.970679012345679,5.0,0.058398256789230836,-0.03597340185167536
2024,Gross,746,597,14,0,135,6,8,597,0.34003350083752093,0.004952499719171058,-0.018018018018018056,0.09064758961285141,-0.03980623288418483,2.2772210039716176,1.1914326386758722,0.004952499719171058,0.5238095238095237,-0.15719063545150502,4.696817420435511,5,0.06852822672658286,-0.04172462904383508
2024,Net 0% slippage,746,597,14,0,135,6,8,597,0.32998324958123953,0.001135251695013445,-0.02174638116203055,0.08919397061081927,-0.042233667371020925,2.111916301922211,1.04011877869669,0.001135251695013445,0.5180343255564495,-0.16039424432615482,4.696817420435511,5,0.06852822672658286,-0.04172462904383508
2024,Net 0.1% one-way slippage,746,597,14,0,135,6,8,597,0.32160804020100503,-0.0008653841734882398,-0.023703875487013942,0.08931548908053695,-0.04361779816058167,2.0476844968587447,0.9707541318441456,-0.0008653841734882398,0.514996741658747,-0.16207749920056355,4.696817420435511,5,0.06852822672658286,-0.04172462904383508
2025,Gross,656,490,22,0,144,11,11,490,0.3551020408163265,0.007995525432488519,-0.017333573660177848,0.0956651057066907,-0.0409257907750637,2.3375261392622857,1.3078120521917598,0.007995525432488519,0.5174216027874563,-0.13749999999999996,4.718367346938775,5.0,0.07143379138000444,-0.041335922060794526
2025,Net 0% slippage,656,490,22,0,144,11,11,490,0.3489795918367347,0.004166141981199899,-0.02106484129086022,0.09313099944504714,-0.04352348380663044,2.1397873354719694,1.1470333365696128,0.004166141981199899,0.5116486409918842,-0.14077702252432361,4.718367346938775,5.0,0.07143379138000444,-0.041335922060794526
2025,Net 0.1% one-way slippage,656,490,22,0,144,11,11,490,0.3326530612244898,0.0021603305439814157,-0.02302369913693998,0.09546227695953419,-0.044347979137165684,2.15257332615484,1.0729952665542488,0.0021603305439814157,0.508651613136565,-0.14247605765413124,4.718367346938775,5.0,0.07143379138000444,-0.041335922060794526
2026,Gross,580,438,36,17,106,13,19,421,0.37054631828978624,0.0033682756295599463,-0.022151898734177222,0.09066673292912217,-0.0487584915589974,1.8595065193806524,1.1114291839976305,0.0033682756295599463,0.4383301707779885,-0.2098214285714286,3.9714964370546317,4,0.07957433661909441,-0.049567192774855474
2026,Net 0% slippage,580,438,36,17,106,13,19,421,0.35629453681710216,-0.00044166677870041633,-0.025878314712612732,0.09005028958614127,-0.050529465504627544,1.7821342198423682,0.9864211548942992,-0.00044166677870041633,0.43288786364560633,-0.2128125417836609,3.9714964370546317,4,0.07957433661909441,-0.049567192774855474
2026,Net 0.1% one-way slippage,580,438,36,17,106,13,19,421,0.342042755344418,-0.0024383926757757753,-0.027827547803205465,0.09158683328626799,-0.05131793252608012,1.7846945264157503,0.9277834361150475,-0.0024383926757757753,0.4300110941144348,-0.21438770056833142,3.9714964370546317,4,0.07957433661909441,-0.049567192774855474
2022-2026,Gross,3112,2402,89,17,621,37,48,2385,0.35974842767295595,0.004079820863317421,-0.015837104072398245,0.08137134392222121,-0.04016459914856535,2.025946869810295,1.1619401165088445,0.004079820863317421,0.5238095238095237,-0.2098214285714286,4.691404612159329,5,0.06749498701396785,-0.040946150598616005
2022-2026,Net 0% slippage,3112,2402,89,17,621,37,48,2385,0.3484276729559748,0.00026587538204066446,-0.019597222824039993,0.07982277598421171,-0.0422771004225952,1.8880853981544592,1.0096518441868443,0.00026587538204066446,0.5180343255564495,-0.2128125417836609,4.691404612159329,5,0.06749498701396785,-0.040946150598616005
2022-2026,Net 0.1% one-way slippage,3112,2402,89,17,621,37,48,2385,0.33584905660377357,-0.0017326267802338054,-0.02152848746811003,0.08061293721266419,-0.043373281299369716,1.8585851657443224,0.9398527258593428,-0.0017326267802338054,0.514996741658747,-0.21438770056833142,4.691404612159329,5,0.06749498701396785,-0.040946150598616005
