time_slice_type,time_slice,candidate_family,cluster_number,taxonomy_model_sha256,winner_recall,unique_winner_coverage_count,unique_winner_coverage,overlap_winners_with_n_compact,total_signals,evaluable_signals,winner_signals,precision_all_signals,precision_evaluable_signals,gross_mean,net_mean,median,profit_factor,day1_return,day3_return,day5_return,day10_return,mfe5,mae5,mfe10,mae10,mfe_abs_mae,plus10_before_minus5_rate,plus15_before_minus5_rate,top1_removed_count,top1_removed_gross,top1_removed_pf,top5_removed_count,top5_removed_gross,top5_removed_pf,tail_dependent,signals_per_year,signals_per_month,active_signal_dates,median_signals_active_day,p90_signals_active_day,maximum_signals_day,maximum_signal_date,top5_dates_share,maximum_signal_month,maximum_signal_month_share,n_compact_signals_per_month,candidate_plus_n_compact_signals_per_month,candidate_plus_n_compact_unique_signal_dates,positive_gross_years_2020_2025,pf_above_one_years_2020_2025,gross_direction_consistent_all_years
PERIOD,HISTORICAL_DISCOVERY,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6909901107360692,45064,0.6671404038609582,31,257727,256747,46675,0.18110248441180007,0.18179375026777334,-0.0019240115526618345,-0.0076997739367000075,-0.00952380952380949,0.9323896515687109,-0.0024119215093412233,-0.0021150258753984464,-0.0020482171790552946,-0.0014728967228943865,0.024394403013784125,-0.028485559843578975,0.04433661490673207,-0.04701464424123191,0.9430384005298671,0.13003462552629633,0.05949047116422003,1135,-0.0027154199673610443,0.9050011459421667,5673,-0.00542427605469054,0.8136009707287399,False,85909.0,7159.083333333333,735,350.0,434.6,576,20210507,0.010922410147171232,202105,0.040034610265901514,3.361111111111111,7159.194444444444,735,3,3,False
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.7063900820389635,33520,0.682368747837062,34,205019,204618,34700,0.1692526058560426,0.16958429854655993,2.100574281115413e-05,-0.005766197316874006,-0.006711409395973145,1.0008198641442954,-0.0023220030653473287,-0.0011735133773201633,1.1916049305886677e-05,0.0023216888290696984,0.02337262147099433,-0.02471963981811738,0.04294087956988041,-0.039851215576281955,1.077529981179227,0.1218514500190599,0.05816692568591229,918,-0.0007758147656345654,0.9698554306170651,4589,-0.003494826747233531,0.8666544186952106,True,102509.5,8542.458333333334,481,436.0,499.0,611,20240802,0.014637667728356884,202408,0.053994995585774974,3.2916666666666665,8542.625,481,3,3,False
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6286736519294659,14318,0.609847516824261,9,81503,81230,14760,0.18109762830816042,0.18170626615782345,-0.002394454962532697,-0.008167732061239759,-0.012393037372924687,0.9163218473233713,-0.0024229039689563333,-0.002955044424135709,-0.0028683926341382527,-0.0016487538336515646,0.024506117290821534,-0.02981774470002931,0.04536831896674254,-0.04917477479171906,0.9225933247056268,0.1345192662809307,0.06647790225286224,346,-0.003163779722044581,0.8899074790375173,1728,-0.005824992157428163,0.800766503383318,False,81503.0,6791.916666666667,218,378.0,429.3,465,20250314,0.02804804731114192,202503,0.11170140976405776,3.0,6792.25,221,3,3,False
YEAR,2020,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6469167904903418,13457,0.6248606983655275,3,73307,72956,13932,0.19005006343186873,0.19096441690882177,0.0019909363695579893,-0.0038077600471186526,-0.004098360655737654,1.0763737101956554,-0.0018469021167871714,-0.00048485006376192434,0.0005114595352058501,0.0026156183326289046,0.02511374587334244,-0.025905391734916947,0.046245100071765056,-0.044171695296039155,1.0469396694383115,0.1365754701463896,0.06229782334557816,343,0.0011728763283790514,1.0447808255059956,1712,-0.0016103586048864466,0.939675131023046,False,73307.0,6108.916666666667,245,303.0,374.2,423,20201223,0.02844203145675038,202012,0.1199749000777552,1.8333333333333333,6109.083333333333,245,3,3,False
YEAR,2021,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6751638001638002,19154,0.6536309036309036,13,97789,97528,19785,0.20232336970415896,0.2028648183085883,0.001748190509438174,-0.004048744575614579,-0.005617977528090012,1.0644402593247315,-0.002775180119051073,-0.0012927623655914302,-0.00015198777897821661,0.003186270181743107,0.026192395832792828,-0.028224111451389377,0.04878866970902258,-0.04567339026563668,1.0682077556596394,0.14935198096956773,0.07266631121319006,451,0.0009288228756266015,1.0340791263475457,2254,-0.0019229539282742875,0.9307559468168601,False,97789.0,8149.083333333333,244,392.0,475.70000000000005,576,20210507,0.028786468825737047,202105,0.10551288999785252,3.9166666666666665,8149.166666666667,244,3,3,False
YEAR,2022,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.7755566195834331,12453,0.7453315776873354,15,86631,86263,12958,0.1495769412796805,0.1502150400519342,-0.009386787752492107,-0.015119216303140278,-0.020689655172413723,0.7064777194758475,-0.002479084361495578,-0.004423371540378945,-0.006356892222774541,-0.01019831705682948,0.02175323563826719,-0.03096329981702082,0.0376890899602552,-0.050935444595698307,0.7399383721770475,0.10266278705818253,0.042219723404008674,342,-0.010116528430608694,0.6849131005440561,1708,-0.012558258595670812,0.6150819891120054,False,86631.0,7219.25,246,346.5,412.0,471,20220124,0.0265263012085743,202203,0.10182267317703825,4.333333333333333,7219.333333333333,246,3,3,False
YEAR,2023,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.7138229927007299,15059,0.6869981751824817,17,94414,94235,15647,0.16572754040714302,0.16604234095612033,0.004085453272162647,-0.0017253039181494832,-0.001626016260162677,1.1835856508482676,-0.0019910480885395126,2.996643836957944e-05,0.0019335852626891894,0.006255894735848122,0.023020120786116347,-0.0218296543996382,0.042522556866336624,-0.03463023759724021,1.2279025446168286,0.11885180665357882,0.056040749190852654,453,0.0032542375268963023,1.1455308246418507,2263,0.00044335715125727907,1.0194444471476827,False,94414.0,7867.833333333333,239,394.0,467.20000000000005,504,20230811,0.026404982311945262,202308,0.10834198318046052,3.0833333333333335,7867.916666666667,239,3,3,False
YEAR,2024,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.7004006911002463,18461,0.6786383854721906,17,110605,110383,19053,0.1722616518240586,0.17260810088510006,-0.003448851145735433,-0.009215945823698477,-0.01216216216216226,0.8789695664430597,-0.0026045424259326056,-0.002200935357439592,-0.0016286309400237705,-0.0010369795675608028,0.023673554604171334,-0.027186847412678006,0.043298005576316634,-0.044308413331869315,0.9771960293864567,0.12441227362909144,0.05998206245526938,466,-0.004215507907653658,0.8526898335290731,2327,-0.006846541800164096,0.7647995781728424,False,110605.0,9217.083333333334,242,457.0,515.9,611,20240802,0.027132588942633696,202408,0.10008589123457348,3.5,9217.333333333334,242,3,3,False
YEAR,2025,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6286736519294659,14318,0.609847516824261,9,81503,81230,14760,0.18109762830816042,0.18170626615782345,-0.002394454962532697,-0.008167732061239759,-0.012393037372924687,0.9163218473233713,-0.0024229039689563333,-0.002955044424135709,-0.0028683926341382527,-0.0016487538336515646,0.024506117290821534,-0.02981774470002931,0.04536831896674254,-0.04917477479171906,0.9225933247056268,0.1345192662809307,0.06647790225286224,346,-0.003163779722044581,0.8899074790375173,1728,-0.005824992157428163,0.800766503383318,False,81503.0,6791.916666666667,218,378.0,429.3,465,20250314,0.02804804731114192,202503,0.11170140976405776,3.0,6792.25,221,3,3,False
OVERALL,2020_2025,CANDIDATE_1_MIXED_MARKET_STATE,1,ceed1203c524f803f99593d39918dca38c7e70dd1816618e46c90a454eebd96e,0.6859485262113894,92902,0.6628802203369272,74,544249,542595,96135,0.17663789919687495,0.177176346999143,-0.0012609545197343624,-0.007040659233580383,-0.00881834215167554,0.9539988116227074,-0.002379656510624672,-0.0018857283374228767,-0.0013941059382506073,-6.824752162091158e-05,0.024025803330781494,-0.027264830482120722,0.04396472196197353,-0.04463662925408928,0.9849471767168844,0.12762004810217564,0.06003741280328791,2398,-0.002050899543916202,0.9255112995325029,11989,-0.004757546567934816,0.8302737383425924,False,90708.16666666667,7559.013888888889,1434,378.0,469.0,611,20240802,0.00551402023706061,202408,0.020339954689857033,3.2777777777777777,7559.180555555556,1437,3,3,False
