fit_period,winner_state,feature,winner_n,control_n,winner_mean,control_mean,mean_difference,winner_median,control_median,standardized_mean_difference,probability_superiority_minus_half
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,signal_close,67548,61258,89.61194335879671,89.87324349472722,-0.2613001359305116,58.6,60.05,-0.0030472673302917564,-0.003986063665679773
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,average_volume_20,67548,61258,10396443.700233907,8654339.805871885,1742103.8943620212,3804048.15,3732985.4,0.06502025132921022,0.006004668286879955
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,return_3,67548,61258,0.004645691324334563,0.0032118974358735543,0.0014337938884610088,0.0014326647564470996,0.0,0.023507110528376264,0.0025992566201293865
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,return_5,67548,61258,0.00829321768111331,0.00640983895591941,0.0018833787251939004,0.0027247956403269047,0.0013812154696131174,0.02275858730533896,0.00374833882788006
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,return_10,67548,61258,0.019534509022094557,0.013828257952600256,0.005706251069494302,0.007037301162813758,0.0034702151573537954,0.045363099351370374,0.007209471388331168
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,return_20,67548,61258,0.051257922365272934,0.03480203586682331,0.016455886498449625,0.02462250756539408,0.012088245286534072,0.08554687510177607,0.015468404538132141
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,return_60,67548,61258,0.1744566802771117,0.10148559990351587,0.07297108037359583,0.09452395556464255,0.033103230040785636,0.19415254141147967,0.05187146192444125
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,distance_to_prior20_close_high,67548,61258,-0.08796987746232854,-0.06831005245184778,-0.01965982501048076,-0.06557377049180324,-0.053543307086614145,-0.2321353261918879,-0.0502737847737213
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,distance_to_prior60_close_high,67548,61258,-0.13472225044665395,-0.11354951848053442,-0.021172731966119532,-0.1122059380370301,-0.09618447204182645,-0.19533474780517132,-0.04318282791876327
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,drawdown_from_20d_high,67548,61258,-0.11433368273930929,-0.08971511072372099,-0.0246185720155883,-0.0910730549050221,-0.07400722021660655,-0.3044262439177995,-0.07416160559563917
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,drawdown_from_60d_high,67548,61258,-0.1617999612819813,-0.13602769702929352,-0.025772264252687777,-0.13938053097345138,-0.11868859123292957,-0.24629782961287125,-0.05843007997207472
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,close_vs_ma5,67548,61258,0.0018966379279311747,0.0014075456325729923,0.0004890922953581824,0.0009636246214278499,0.000516731045001273,0.012769109958165945,0.003192768420830827
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,close_vs_ma10,67548,61258,0.005259320808648649,0.004075813626054842,0.0011835071825938076,0.002074154380109161,0.0009643978090154715,0.01915737821686618,0.004761961975807916
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,close_vs_ma20,67548,61258,0.01381683943389303,0.010384492416374118,0.003432347017518912,0.008128508142665525,0.004166655854481949,0.0358201986625162,0.007882799656586559
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,close_vs_ma60,67548,61258,0.060507250529247374,0.03727521903546794,0.023232031493779434,0.03818000256078924,0.015892562711286584,0.13255368672124404,0.03412727678836647
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,ma5_slope,67548,61258,0.008536753835698331,0.006307620542345889,0.0022291332933524425,0.003496897073129168,0.001568628415912321,0.031276525720250505,0.0076495810178366375
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,ma10_slope,67548,61258,0.007856973271138382,0.005980150232023206,0.001876823039115176,0.004236121424343153,0.0023500510682206155,0.03248957021991132,0.008305360823601005
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,ma20_slope,67548,61258,0.009801299258752554,0.0069288611260658935,0.00287243813268666,0.006977403547206662,0.0035651223418764477,0.06762545943138754,0.019584203767330055
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,ma60_slope,67523,61244,0.010134508897184764,0.005753335583695682,0.004381173313489082,0.007928164695576001,0.0029051712066904267,0.18871331658828622,0.05547732324539101
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,atr5,67548,61258,0.04996305834329666,0.03906980626979241,0.01089325207350425,0.045630379544492075,0.03482765521898283,0.5029723236824073,0.15069168038377245
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,atr20,67548,61258,0.04928421691751487,0.0394527598759935,0.009831457041521371,0.04690682963564238,0.03711963758836876,0.5413889189809455,0.15664134384837647
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,atr60,67548,61258,0.04599597164999802,0.03812337317254281,0.007872598477455209,0.04473487356805652,0.03655436195737568,0.5045885002920181,0.1464075009345469
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,atr5_atr20,67548,61258,1.0201813246258087,0.9951907985044524,0.024990526121356327,0.9782770632370452,0.9550852432780789,0.08852694973153893,0.025191774077718665
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,range_compression10,67548,61258,0.1515124356655469,0.1110296814122666,0.040482754253280295,0.11538461538461542,0.08717948717948709,0.3863458473476641,0.12123270642558537
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,range_compression20,67548,61258,0.26407200355368976,0.1908708803081761,0.07320112324551367,0.20603015075376874,0.1515792567784231,0.4221187452075091,0.13475813368348488
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,volatility20,67548,61258,0.033511764254370247,0.026917764411810596,0.00659399984255965,0.03186782376871812,0.02510745359269427,0.4969177658385179,0.1435030748769155
HISTORICAL_DISCOVERY_2020_2022_ONLY,ALL_WINNERS,volume_ratio5,67548,61258,1.1031387512211182,1.0857687306959942,0.01737002052512393,0.830148546076678,0.8377959073764656,0.017002893746867292,-0.0028023618333395395
