time_slice_type,time_slice,winner_count,explained_winner_count,unexplained_winner_count,unexplained_winner_share
PERIOD,HISTORICAL_DISCOVERY,67548,3368,64180,0.9501391603008231
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,49123,2539,46584,0.9483134173401462
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,23478,1103,22375,0.9530198483686856
YEAR,2020,21536,1101,20435,0.9488763001485884
YEAR,2021,29304,1382,27922,0.9528392028392029
YEAR,2022,16708,885,15823,0.9470313622216902
YEAR,2023,21920,1204,20716,0.94507299270073
YEAR,2024,27203,1335,25868,0.9509245303826784
YEAR,2025,23478,1103,22375,0.9530198483686856
OVERALL,2020_2025,140149,7010,133139,0.9499818050788803
