time_slice_type,time_slice,setup,all_winners_denominator,total_winner_coverage_count,total_winner_coverage,unique_winner_coverage_count,unique_winner_coverage,incremental_winners_vs_n_compact,incremental_coverage_vs_n_compact,overlap_winners_with_n_compact,overlap_winners_with_momentum
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,67548,34,0.0005033457689346835,0,0.0,0,0.0,34,1
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,67548,229,0.0033901817966483093,192,0.0028424231657488007,195,0.002886836027713626,34,1
PERIOD,HISTORICAL_DISCOVERY,V_REVERSAL,67548,700,0.010363001125125837,696,0.010303783975839403,700,0.010363001125125837,0,4
PERIOD,HISTORICAL_DISCOVERY,MOMENTUM_DIRECTIONAL,67548,1120,0.01658080180020134,1080,0.015988630307337003,1119,0.01656599751287973,1,1120
PERIOD,HISTORICAL_DISCOVERY,TREND_PULLBACK,67548,1289,0.019082726357553148,1248,0.018475750577367205,1289,0.019082726357553148,0,35
PERIOD,HISTORICAL_DISCOVERY,CONSOLIDATION_BREAKOUT_V2,67548,76,0.0011251258364422337,73,0.0010807129744774087,76,0.0011251258364422337,0,0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_COMPACT_RETEST_HYPOTHESIS,49123,38,0.0007735683895527554,0,0.0,0,0.0,38,0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,N_RETEST,49123,144,0.0029314170551472834,105,0.002137491602711561,106,0.002157848665594528,38,0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,V_REVERSAL,49123,413,0.008407466970665472,413,0.008407466970665472,413,0.008407466970665472,0,0
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,MOMENTUM_DIRECTIONAL,49123,805,0.01638743562078863,781,0.01589886611159742,805,0.01638743562078863,0,805
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,TREND_PULLBACK,49123,1134,0.023084909309284855,1107,0.02253526861144474,1134,0.023084909309284855,0,24
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,CONSOLIDATION_BREAKOUT_V2,49123,70,0.0014249944018077073,68,0.0013842802760417727,70,0.0014249944018077073,0,0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_COMPACT_RETEST_HYPOTHESIS,23478,10,0.00042593065848879803,0,0.0,0,0.0,10,0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,N_RETEST,23478,69,0.0029389215435727065,59,0.002512990885083908,59,0.002512990885083908,10,0
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,V_REVERSAL,23478,214,0.009114916091660277,213,0.009072323025811398,214,0.009114916091660277,0,1
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,MOMENTUM_DIRECTIONAL,23478,393,0.01673907487860976,377,0.016057585825027684,393,0.01673907487860976,0,393
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,TREND_PULLBACK,23478,427,0.018187239117471676,411,0.0175057500638896,427,0.018187239117471676,0,15
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,CONSOLIDATION_BREAKOUT_V2,23478,17,0.0007240821194309567,16,0.0006814890535820768,17,0.0007240821194309567,0,0
YEAR,2020,N_COMPACT_RETEST_HYPOTHESIS,21536,5,0.00023216939078751856,0,0.0,0,0.0,5,0
YEAR,2020,N_RETEST,21536,48,0.002228826151560178,41,0.0019037890044576523,43,0.0019966567607726596,5,0
YEAR,2020,V_REVERSAL,21536,189,0.008776002971768202,188,0.008729569093610699,189,0.008776002971768202,0,1
YEAR,2020,MOMENTUM_DIRECTIONAL,21536,394,0.018294947994056465,377,0.0175055720653789,394,0.018294947994056465,0,394
YEAR,2020,TREND_PULLBACK,21536,468,0.021731054977711738,448,0.020802377414561663,468,0.021731054977711738,0,16
YEAR,2020,CONSOLIDATION_BREAKOUT_V2,21536,23,0.0010679791976225853,21,0.000975111441307578,23,0.0010679791976225853,0,0
YEAR,2021,N_COMPACT_RETEST_HYPOTHESIS,29304,13,0.0004436254436254436,0,0.0,0,0.0,13,1
YEAR,2021,N_RETEST,29304,72,0.002457002457002457,58,0.0019792519792519794,59,0.0020133770133770133,13,1
YEAR,2021,V_REVERSAL,29304,270,0.009213759213759214,269,0.00917963417963418,270,0.009213759213759214,0,1
