time_slice_type,time_slice,evaluable_observations,winner_count,winner_base_rate
PERIOD,HISTORICAL_DISCOVERY,328434,67548,0.20566689197829702
PERIOD,RETROSPECTIVE_CONFIRMATION_NOT_BLIND_OOS,258121,49123,0.19030997090511814
PERIOD,STRESS_PREVALENCE_SEEN_NOT_BLIND,115462,23478,0.20333962689023227
YEAR,2020,96132,21536,0.22402529854783007
YEAR,2021,128392,29304,0.22823851953392735
YEAR,2022,103910,16708,0.16079299393706092
YEAR,2023,118878,21920,0.18439071989771025
YEAR,2024,139243,27203,0.19536350121729637
YEAR,2025,115462,23478,0.20333962689023227
OVERALL,2020_2025,702017,140149,0.19963761561329713
