time_slice_type,time_slice,left_setup,right_setup,left_winners,right_winners,intersection_winners,intersection_share_all_winners,winner_jaccard
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,N_COMPACT_RETEST_HYPOTHESIS,34,34,34,0.0005033457689346835,1.0
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,N_RETEST,34,229,34,0.0005033457689346835,0.14847161572052403
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,V_REVERSAL,34,700,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,MOMENTUM_DIRECTIONAL,34,1120,1,1.4804287321608338e-05,0.0008673026886383347
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,TREND_PULLBACK,34,1289,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,N_COMPACT_RETEST_HYPOTHESIS,CONSOLIDATION_BREAKOUT_V2,34,76,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,N_COMPACT_RETEST_HYPOTHESIS,229,34,34,0.0005033457689346835,0.14847161572052403
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,N_RETEST,229,229,229,0.0033901817966483093,1.0
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,V_REVERSAL,229,700,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,MOMENTUM_DIRECTIONAL,229,1120,1,1.4804287321608338e-05,0.000741839762611276
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,TREND_PULLBACK,229,1289,3,4.441286196482501e-05,0.0019801980198019802
PERIOD,HISTORICAL_DISCOVERY,N_RETEST,CONSOLIDATION_BREAKOUT_V2,229,76,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,V_REVERSAL,N_COMPACT_RETEST_HYPOTHESIS,700,34,0,0.0,0.0
PERIOD,HISTORICAL_DISCOVERY,V_REVERSAL,N_RETEST,700,229,0,0.0,0.0
